CAN Message; 0x39:0266952274582983
Timestamp;Amplitude
1739209603.9792778;-45.120503652039325
1739209603.9792829;-38.13080360867914
1739209603.9792879;-38.13080360867914
1739209603.9792929;-38.13080360867914
1739209603.9792979;-45.120503652039325
1739209603.979303;-45.120503652039325
1739209603.979308;-45.120503652039325
1739209603.979313;-38.13080360867914
1739209603.979318;-38.13080360867914
1739209603.9793227;-45.120503652039325
1739209603.9793277;-32.816014438256545
1739209603.9793327;-33.981070128970906
1739209603.9793377;-45.120503652039325
1739209603.9793427;-38.13080360867914
1739209603.9793477;-35.57807855764607
1739209603.9793527;-35.57807855764607
1739209603.9793577;-45.120503652039325
1739209603.9793627;-45.120503652039325
1739209603.9793677;-38.13080360867914
1739209603.9793727;-33.981070128970906
1739209603.9793777;-38.13080360867914
1739209603.9793828;-38.13080360867914
1739209603.9793878;-38.13080360867914
1739209603.9793928;-38.13080360867914
1739209603.9793978;-38.13080360867914
1739209603.9794028;-45.120503652039325
1739209603.9794078;-45.120503652039325
1739209603.9794128;-38.13080360867914
1739209603.9794176;-38.13080360867914
1739209603.9794226;-45.120503652039325
1739209603.9794276;-38.13080360867914
1739209603.9794326;-38.13080360867914
1739209603.9794376;-45.120503652039325
1739209603.9794426;-38.13080360867914
1739209603.9794476;-35.57807855764607
1739209603.9794526;-45.120503652039325
1739209603.9794576;-45.120503652039325
1739209603.9794626;-38.13080360867914
1739209603.9794676;-33.981070128970906
1739209603.9794726;-33.981070128970906
1739209603.9794776;-45.120503652039325
1739209603.9794827;-45.120503652039325
1739209603.9794877;-38.13080360867914
1739209603.9794927;-45.120503652039325
1739209603.9794977;-45.120503652039325
1739209603.9795027;-38.13080360867914
1739209603.9795077;-45.120503652039325
1739209603.9795127;-38.13080360867914
1739209603.9795175;-38.13080360867914
1739209603.9795225;-45.120503652039325
1739209603.9795275;-38.13080360867914
1739209603.9795325;-38.13080360867914
1739209603.9795375;-35.57807855764607
1739209603.9795425;-38.13080360867914
1739209603.9795475;-45.120503652039325
1739209603.9795525;-45.120503652039325
1739209603.9795575;-38.13080360867914
1739209603.9795625;-45.120503652039325
1739209603.9795675;-38.13080360867914
1739209603.9795725;-45.120503652039325
1739209603.9795775;-45.120503652039325
1739209603.9795825;-38.13080360867914
1739209603.9795876;-38.13080360867914
1739209603.9795926;-38.13080360867914
1739209603.9795976;-35.57807855764607
1739209603.9796026;-33.981070128970906
1739209603.9796076;-38.13080360867914
1739209603.9796124;-32.816014438256545
1739209603.9796174;-30.49652367304973
1739209603.9796224;-38.13080360867914
1739209603.9796274;-45.120503652039325
1739209603.9796324;-45.120503652039325
1739209603.9796374;-38.13080360867914
1739209603.9796424;-38.13080360867914
1739209603.9796474;-45.120503652039325
1739209603.9796524;-45.120503652039325
1739209603.9796574;-38.13080360867914
1739209603.9796624;-38.13080360867914
1739209603.9796674;-45.120503652039325
1739209603.9796724;-38.13080360867914
1739209603.9796774;-38.13080360867914
1739209603.9796824;-45.120503652039325
1739209603.9796875;-45.120503652039325
1739209603.9796925;-33.981070128970906
1739209603.9796975;-28.58837851428586
1739209603.9797025;-45.120503652039325
1739209603.9797072;-45.120503652039325
1739209603.9797122;-38.13080360867914
1739209603.9797173;-38.13080360867914
1739209603.9797223;-45.120503652039325
1739209603.9797273;-38.13080360867914
1739209603.9797323;-38.13080360867914
1739209603.9797373;-38.13080360867914
1739209603.9797423;-45.120503652039325
1739209603.9797473;-45.120503652039325
1739209603.9797523;-38.13080360867914
1739209603.9797573;-38.13080360867914
1739209603.9797623;-38.13080360867914
1739209603.9797673;-38.13080360867914
1739209603.9797723;-38.13080360867914
1739209603.9797773;-35.57807855764607
