CAN Message; 0x150:02009dfd666caffb
Timestamp;Amplitude
1739209737.3729696;-38.13080360867914
1739209737.3729744;-38.13080360867914
1739209737.3729794;-35.57807855764607
1739209737.3729842;-45.120503652039325
1739209737.3729892;-38.13080360867914
1739209737.3729942;-45.120503652039325
1739209737.372999;-45.120503652039325
1739209737.373004;-45.120503652039325
1739209737.373009;-45.120503652039325
1739209737.3730137;-38.13080360867914
1739209737.3730187;-38.13080360867914
1739209737.3730235;-38.13080360867914
1739209737.3730285;-45.120503652039325
1739209737.3730335;-33.981070128970906
1739209737.3730383;-45.120503652039325
1739209737.3730433;-45.120503652039325
1739209737.3730483;-38.13080360867914
1739209737.373053;-38.13080360867914
1739209737.373058;-45.120503652039325
1739209737.3730628;-45.120503652039325
1739209737.3730679;-45.120503652039325
1739209737.3730729;-45.120503652039325
1739209737.3730776;-26.487275050834715
1739209737.3730826;-30.49652367304973
1739209737.3730876;-45.120503652039325
1739209737.3730924;-38.13080360867914
1739209737.3730974;-35.57807855764607
1739209737.3731022;-38.13080360867914
1739209737.3731072;-45.120503652039325
1739209737.3731122;-38.13080360867914
1739209737.373117;-45.120503652039325
1739209737.373122;-38.13080360867914
1739209737.373127;-38.13080360867914
1739209737.3731318;-38.13080360867914
1739209737.3731368;-45.120503652039325
1739209737.3731415;-38.13080360867914
1739209737.3731465;-45.120503652039325
1739209737.3731515;-38.13080360867914
1739209737.3731563;-35.57807855764607
1739209737.3731613;-38.13080360867914
1739209737.3731663;-35.57807855764607
1739209737.373171;-38.13080360867914
1739209737.373176;-45.120503652039325
1739209737.3731809;-38.13080360867914
1739209737.3731859;-45.120503652039325
1739209737.3731909;-38.13080360867914
1739209737.3731956;-35.57807855764607
1739209737.3732007;-35.57807855764607
1739209737.3732054;-33.981070128970906
1739209737.3732104;-38.13080360867914
1739209737.3732154;-38.13080360867914
1739209737.3732202;-38.13080360867914
1739209737.3732252;-45.120503652039325
1739209737.3732302;-33.981070128970906
1739209737.373235;-45.120503652039325
1739209737.37324;-45.120503652039325
1739209737.3732448;-33.981070128970906
1739209737.3732498;-38.13080360867914
1739209737.3732548;-45.120503652039325
1739209737.3732595;-38.13080360867914
1739209737.3732646;-45.120503652039325
1739209737.3732696;-38.13080360867914
1739209737.3732743;-30.49652367304973
1739209737.3732793;-33.981070128970906
1739209737.373284;-38.13080360867914
1739209737.373289;-38.13080360867914
1739209737.373294;-35.57807855764607
1739209737.373299;-45.120503652039325
1739209737.373304;-38.13080360867914
