CAN Message; 0x1a7:0000622a39abd17c
Timestamp;Amplitude
1739209802.3387892;-38.13080360867914
1739209802.338799;-45.120503652039325
1739209802.3388088;-38.13080360867914
1739209802.3388188;-32.816014438256545
1739209802.3388286;-38.13080360867914
1739209802.3388383;-45.120503652039325
1739209802.338848;-38.13080360867914
1739209802.338858;-35.57807855764607
1739209802.3388677;-38.13080360867914
1739209802.3388774;-45.120503652039325
1739209802.3388875;-33.981070128970906
1739209802.3388972;-32.816014438256545
1739209802.338907;-38.13080360867914
1739209802.3389168;-45.120503652039325
1739209802.3389266;-38.13080360867914
1739209802.3389363;-38.13080360867914
1739209802.3389463;-45.120503652039325
1739209802.338956;-38.13080360867914
1739209802.338966;-45.120503652039325
1739209802.3389757;-38.13080360867914
1739209802.3389854;-45.120503652039325
1739209802.3389952;-45.120503652039325
1739209802.339005;-45.120503652039325
1739209802.339015;-38.13080360867914
1739209802.3390248;-33.981070128970906
1739209802.3390346;-45.120503652039325
1739209802.3390443;-38.13080360867914
1739209802.339054;-25.826314394896354
1739209802.339064;-38.13080360867914
1739209802.3390737;-45.120503652039325
1739209802.3390837;-38.13080360867914
1739209802.3390934;-35.57807855764607
1739209802.3391032;-38.13080360867914
1739209802.339113;-38.13080360867914
1739209802.3391228;-45.120503652039325
1739209802.3391325;-35.57807855764607
1739209802.3391423;-45.120503652039325
1739209802.3391523;-45.120503652039325
1739209802.339162;-45.120503652039325
1739209802.339172;-45.120503652039325
1739209802.3391817;-35.57807855764607
1739209802.3391914;-38.13080360867914
1739209802.3392012;-38.13080360867914
1739209802.3392112;-28.21854285175415
1739209802.339221;-35.57807855764607
1739209802.3392308;-38.13080360867914
1739209802.3392406;-38.13080360867914
1739209802.3392503;-38.13080360867914
1739209802.33926;-45.120503652039325
1739209802.3392699;-35.57807855764607
1739209802.33928;-38.13080360867914
1739209802.3392897;-32.81601443825658
1739209802.3392994;-45.120503652039325
1739209802.3393092;-32.816014438256545
1739209802.339319;-45.120503652039325
1739209802.3393288;-45.120503652039325
1739209802.3393385;-38.13080360867914
1739209802.3393486;-33.981070128970906
1739209802.3393583;-45.120503652039325
1739209802.339368;-27.8777449560314
1739209802.3393779;-35.57807855764607
1739209802.3393877;-45.120503652039325
1739209802.3393974;-38.13080360867914
1739209802.3394074;-38.13080360867914
1739209802.3394172;-38.13080360867914
1739209802.339427;-35.57807855764607
1739209802.3394368;-35.57807855764607
1739209802.3394465;-45.120503652039325
1739209802.3394563;-38.13080360867914
1739209802.339466;-35.57807855764607
1739209802.339476;-45.120503652039325
1739209802.339486;-45.120503652039325
1739209802.3394957;-45.120503652039325
1739209802.3395054;-45.120503652039325
1739209802.3395152;-38.13080360867914
1739209802.339525;-38.13080360867914
1739209802.3395348;-45.120503652039325
1739209802.3395448;-45.120503652039325
1739209802.3395545;-38.13080360867914
1739209802.3395643;-38.13080360867914
1739209802.339574;-45.120503652039325
1739209802.3395839;-35.57807855764607
1739209802.3395936;-38.13080360867914
1739209802.3396034;-32.816014438256545
1739209802.3396134;-38.13080360867914
1739209802.3396232;-45.120503652039325
1739209802.339633;-38.13080360867914
1739209802.3396428;-32.816014438256545
1739209802.3396525;-35.57807855764607
1739209802.3396623;-45.120503652039325
1739209802.3396723;-33.981070128970906
1739209802.339682;-45.120503652039325
1739209802.3396919;-45.120503652039325
1739209802.3397017;-38.13080360867914
1739209802.3397114;-38.13080360867914
1739209802.3397212;-45.120503652039325
1739209802.339731;-45.120503652039325
1739209802.339741;-38.13080360867914
1739209802.3397508;-45.120503652039325
1739209802.3397605;-45.120503652039325
1739209802.3397703;-45.120503652039325
1739209802.33978;-38.13080360867914
1739209802.3397899;-35.57807855764607
1739209802.3397996;-45.120503652039325
1739209802.3398097;-38.13080360867914
1739209802.3398194;-38.13080360867914
1739209802.3398292;-45.120503652039325
1739209802.339839;-45.120503652039325
