CAN Message; 0x1d3:000066b2f0cd7567
Timestamp;Amplitude
1739209733.4163163;-45.120503652039325
1739209733.4163206;-38.13080360867914
1739209733.416325;-38.13080360867914
1739209733.4163294;-38.13080360867914
1739209733.4163337;-38.13080360867914
1739209733.416338;-35.57807855764607
1739209733.4163423;-35.57807855764607
1739209733.4163468;-38.13080360867914
1739209733.416351;-38.13080360867914
1739209733.4163554;-38.13080360867914
1739209733.4163597;-38.13080360867914
1739209733.416364;-38.13080360867914
1739209733.4163685;-45.120503652039325
1739209733.4163728;-38.13080360867914
1739209733.416377;-33.981070128970906
1739209733.4163814;-45.120503652039325
1739209733.416386;-45.120503652039325
1739209733.4163902;-45.120503652039325
1739209733.4163945;-45.120503652039325
1739209733.4163988;-38.13080360867914
1739209733.416403;-45.120503652039325
1739209733.4164076;-33.981070128970906
1739209733.4164119;-38.13080360867914
1739209733.4164162;-38.13080360867914
1739209733.4164205;-35.57807855764607
1739209733.4164248;-38.13080360867914
1739209733.4164293;-45.120503652039325
1739209733.4164336;-45.120503652039325
1739209733.4164379;-31.141103565318915
1739209733.4164422;-33.981070128970906
1739209733.4164464;-35.57807855764607
1739209733.416451;-45.120503652039325
1739209733.4164553;-45.120503652039325
1739209733.4164596;-38.13080360867914
1739209733.4164639;-38.13080360867914
1739209733.4164681;-38.13080360867914
1739209733.4164727;-32.816014438256545
1739209733.416477;-38.13080360867914
1739209733.4164813;-33.981070128970906
1739209733.4164855;-38.13080360867914
1739209733.4164898;-45.120503652039325
1739209733.4164944;-45.120503652039325
1739209733.4164987;-38.13080360867914
1739209733.416503;-38.13080360867914
1739209733.4165072;-33.981070128970906
1739209733.4165118;-38.13080360867914
1739209733.416516;-45.120503652039325
1739209733.4165204;-45.120503652039325
1739209733.4165246;-45.120503652039325
1739209733.416529;-45.120503652039325
1739209733.4165335;-38.13080360867914
1739209733.4165378;-45.120503652039325
1739209733.416542;-38.13080360867914
1739209733.4165463;-45.120503652039325
1739209733.4165506;-45.120503652039325
1739209733.4165552;-45.120503652039325
1739209733.4165595;-45.120503652039325
1739209733.4165637;-45.120503652039325
1739209733.416568;-38.13080360867914
1739209733.4165723;-38.13080360867914
1739209733.4165769;-38.13080360867914
1739209733.4165812;-38.13080360867914
1739209733.4165854;-45.120503652039325
1739209733.4165897;-38.13080360867914
1739209733.416594;-45.120503652039325
1739209733.4165986;-38.13080360867914
1739209733.4166028;-45.120503652039325
1739209733.4166071;-38.13080360867914
1739209733.4166114;-33.981070128970906
1739209733.4166157;-33.981070128970906
1739209733.4166203;-45.120503652039325
1739209733.4166245;-45.120503652039325
1739209733.4166288;-38.13080360867914
1739209733.4166331;-38.13080360867914
1739209733.4166377;-45.120503652039325
1739209733.416642;-45.120503652039325
1739209733.4166462;-38.13080360867914
1739209733.4166505;-33.981070128970906
1739209733.4166548;-45.120503652039325
1739209733.4166594;-38.13080360867914
1739209733.4166636;-45.120503652039325
1739209733.416668;-45.120503652039325
1739209733.4166722;-38.13080360867914
1739209733.4166765;-38.13080360867914
1739209733.416681;-38.13080360867914
1739209733.4166853;-30.49652367304973
1739209733.4166896;-45.120503652039325
1739209733.416694;-38.13080360867914
1739209733.4166982;-45.120503652039325
1739209733.4167027;-38.13080360867914
1739209733.416707;-38.13080360867914
1739209733.4167113;-45.120503652039325
1739209733.4167156;-33.981070128970906
1739209733.41672;-27.267205301931607
1739209733.4167244;-45.120503652039325
1739209733.4167287;-45.120503652039325
1739209733.416733;-38.13080360867914
1739209733.4167373;-45.120503652039325
1739209733.4167416;-45.120503652039325
1739209733.4167461;-45.120503652039325
1739209733.4167504;-45.120503652039325
1739209733.4167547;-38.13080360867914
1739209733.416759;-45.120503652039325
1739209733.4167635;-45.120503652039325
1739209733.4167678;-45.120503652039325
1739209733.4167721;-38.13080360867914
1739209733.4167764;-35.57807855764607
1739209733.4167807;-38.13080360867914
1739209733.4167852;-38.13080360867914
1739209733.4167895;-38.13080360867914
1739209733.4167938;-33.981070128970906
1739209733.416798;-38.13080360867914
1739209733.4168024;-45.120503652039325
1739209733.416807;-45.120503652039325
1739209733.4168112;-45.120503652039325
1739209733.4168155;-45.120503652039325
1739209733.4168198;-45.120503652039325
1739209733.416824;-33.981070128970906
1739209733.4168286;-38.13080360867914
1739209733.416833;-38.13080360867914
1739209733.4168372;-45.120503652039325
1739209733.4168415;-38.13080360867914
1739209733.4168458;-45.120503652039325
1739209733.4168503;-45.120503652039325
1739209733.4168546;-45.120503652039325
1739209733.416859;-45.120503652039325
1739209733.4168632;-33.981070128970906
1739209733.4168677;-38.13080360867914
1739209733.416872;-45.120503652039325
1739209733.4168763;-38.13080360867914
1739209733.4168806;-32.816014438256545
1739209733.416885;-45.120503652039325
1739209733.4168894;-45.120503652039325
1739209733.4168937;-31.141103565318915
1739209733.416898;-38.13080360867914
1739209733.4169023;-45.120503652039325
1739209733.4169066;-38.13080360867914
1739209733.4169111;-38.13080360867914
1739209733.4169154;-45.120503652039325
1739209733.4169197;-38.13080360867914
1739209733.416924;-38.13080360867914
1739209733.4169283;-38.13080360867914
1739209733.4169328;-45.120503652039325
1739209733.416937;-38.13080360867914
1739209733.4169414;-45.120503652039325
1739209733.4169457;-45.120503652039325
1739209733.41695;-38.13080360867914
1739209733.4169545;-38.13080360867914
1739209733.4169588;-45.120503652039325
1739209733.416963;-35.57807855764607
1739209733.4169674;-38.13080360867914
1739209733.4169717;-38.13080360867914
1739209733.4169762;-35.57807855764607
1739209733.4169805;-45.120503652039325
1739209733.4169848;-45.120503652039325
1739209733.416989;-38.13080360867914
1739209733.4169936;-38.13080360867914
1739209733.416998;-45.120503652039325
1739209733.4170022;-45.120503652039325
1739209733.4170065;-45.120503652039325
1739209733.4170108;-45.120503652039325
1739209733.4170153;-38.13080360867914
1739209733.4170196;-38.13080360867914
1739209733.417024;-45.120503652039325
1739209733.4170282;-45.120503652039325
1739209733.4170325;-35.57807855764607
1739209733.417037;-28.58837851428586
1739209733.4170413;-45.120503652039325
1739209733.4170456;-45.120503652039325
1739209733.41705;-45.120503652039325
1739209733.4170542;-33.981070128970906
1739209733.4170587;-45.120503652039325
1739209733.417063;-45.120503652039325
1739209733.4170673;-38.13080360867914
1739209733.4170716;-45.120503652039325
1739209733.4170759;-38.13080360867914
1739209733.4170804;-45.120503652039325
1739209733.4170847;-35.57807855764607
1739209733.417089;-38.13080360867914
1739209733.4170933;-38.13080360867914
1739209733.4170976;-38.13080360867914
1739209733.417102;-45.120503652039325
1739209733.4171064;-38.13080360867914
1739209733.4171107;-38.13080360867914
1739209733.417115;-38.13080360867914
