CAN Message; 0x1a7:0000524c35c08fb4
Timestamp;Amplitude
1739209835.0488255;-45.120503652039325
1739209835.0488365;-45.120503652039325
1739209835.0488474;-38.13080360867914
1739209835.0488584;-38.13080360867914
1739209835.0488696;-38.13080360867914
1739209835.0488806;-38.13080360867914
1739209835.0488915;-35.57807855764607
1739209835.0489025;-38.13080360867914
1739209835.0489135;-38.13080360867914
1739209835.0489244;-45.120503652039325
1739209835.0489354;-45.120503652039325
1739209835.0489464;-38.13080360867914
1739209835.0489573;-38.13080360867914
1739209835.0489683;-45.120503652039325
1739209835.0489795;-45.120503652039325
1739209835.0489905;-45.120503652039325
1739209835.0490015;-45.120503652039325
1739209835.0490124;-31.141103565318915
1739209835.0490234;-35.57807855764607
1739209835.0490344;-38.13080360867914
1739209835.0490453;-45.120503652039325
1739209835.0490563;-45.120503652039325
1739209835.0490673;-38.13080360867914
1739209835.0490785;-45.120503652039325
1739209835.0490894;-38.13080360867914
1739209835.0491004;-45.120503652039325
1739209835.0491114;-45.120503652039325
1739209835.0491223;-45.120503652039325
1739209835.0491333;-45.120503652039325
1739209835.0491443;-38.13080360867914
1739209835.0491552;-38.13080360867914
1739209835.0491662;-45.120503652039325
1739209835.0491772;-45.120503652039325
1739209835.0491884;-38.13080360867914
1739209835.0491993;-38.13080360867914
1739209835.0492103;-45.120503652039325
1739209835.0492213;-38.13080360867914
1739209835.0492322;-38.13080360867914
1739209835.0492432;-45.120503652039325
1739209835.0492542;-45.120503652039325
1739209835.0492651;-38.13080360867914
1739209835.049276;-33.981070128970906
1739209835.0492873;-35.57807855764607
1739209835.0492983;-38.13080360867914
1739209835.0493093;-45.120503652039325
1739209835.0493202;-38.13080360867914
1739209835.0493312;-38.13080360867914
1739209835.0493422;-45.120503652039325
1739209835.0493531;-45.120503652039325
1739209835.049364;-45.120503652039325
1739209835.049375;-35.57807855764607
1739209835.049386;-45.120503652039325
1739209835.0493972;-45.120503652039325
1739209835.0494082;-45.120503652039325
1739209835.0494192;-45.120503652039325
1739209835.0494301;-45.120503652039325
1739209835.049441;-45.120503652039325
1739209835.049452;-45.120503652039325
1739209835.049463;-33.981070128970906
1739209835.049474;-38.13080360867914
1739209835.049485;-45.120503652039325
1739209835.0494962;-38.13080360867914
1739209835.0495071;-32.816014438256545
1739209835.049518;-38.13080360867914
1739209835.049529;-45.120503652039325
1739209835.04954;-45.120503652039325
1739209835.049551;-45.120503652039325
1739209835.049562;-38.13080360867914
1739209835.049573;-38.13080360867914
1739209835.049584;-38.13080360867914
1739209835.0495949;-45.120503652039325
1739209835.049606;-38.13080360867914
1739209835.049617;-38.13080360867914
1739209835.049628;-45.120503652039325
1739209835.049639;-45.120503652039325
1739209835.04965;-45.120503652039325
1739209835.049661;-45.120503652039325
1739209835.049672;-45.120503652039325
1739209835.0496829;-38.13080360867914
1739209835.0496938;-38.13080360867914
1739209835.049705;-38.13080360867914
1739209835.049716;-38.13080360867914
1739209835.049727;-32.816014438256545
1739209835.049738;-32.816014438256545
1739209835.049749;-38.13080360867914
1739209835.0497599;-45.120503652039325
1739209835.0497708;-38.13080360867914
1739209835.0497818;-45.120503652039325
1739209835.0497928;-45.120503652039325
1739209835.0498037;-45.120503652039325
1739209835.049815;-38.13080360867914
1739209835.049826;-38.13080360867914
1739209835.0498369;-38.13080360867914
1739209835.0498478;-45.120503652039325
1739209835.0498588;-45.120503652039325
1739209835.0498698;-45.120503652039325
1739209835.0498807;-38.13080360867914
1739209835.0498917;-38.13080360867914
1739209835.0499027;-30.49652367304973
1739209835.049914;-32.816014438256545
1739209835.0499249;-38.13080360867914
1739209835.0499358;-35.57807855764607
1739209835.0499468;-38.13080360867914
1739209835.0499578;-45.120503652039325
1739209835.0499687;-45.120503652039325
1739209835.0499797;-45.120503652039325
1739209835.0499907;-45.120503652039325
1739209835.0500016;-38.13080360867914
1739209835.0500126;-33.981070128970906
1739209835.0500238;-35.57807855764607
1739209835.0500348;-38.13080360867914
1739209835.0500457;-45.120503652039325
1739209835.0500567;-33.981070128970906
1739209835.0500677;-45.120503652039325
1739209835.0500786;-32.816014438256545
1739209835.0500896;-32.816014438256545
1739209835.0501006;-38.13080360867914
1739209835.0501115;-32.816014438256545
1739209835.0501227;-35.57807855764607
1739209835.0501337;-45.120503652039325
1739209835.0501447;-38.13080360867914
1739209835.0501556;-38.13080360867914
1739209835.0501666;-45.120503652039325
1739209835.0501776;-45.120503652039325
1739209835.0501885;-45.120503652039325
1739209835.0501995;-45.120503652039325
1739209835.0502105;-45.120503652039325
1739209835.0502214;-45.120503652039325
1739209835.0502326;-45.120503652039325
1739209835.0502436;-45.120503652039325
1739209835.0502546;-38.13080360867914
1739209835.0502656;-45.120503652039325
1739209835.0502765;-38.13080360867914
1739209835.0502875;-38.13080360867914
1739209835.0502985;-38.13080360867914
1739209835.0503094;-45.120503652039325
1739209835.0503204;-38.13080360867914
1739209835.0503316;-35.57807855764607
1739209835.0503426;-32.816014438256545
1739209835.0503535;-28.21854285175415
1739209835.0503645;-38.13080360867914
1739209835.0503755;-45.120503652039325
1739209835.0503864;-35.57807855764607
1739209835.0503974;-30.49652367304973
1739209835.0504084;-45.120503652039325
1739209835.0504193;-35.57807855764607
1739209835.0504305;-38.13080360867914
1739209835.0504415;-35.57807855764607
1739209835.0504525;-45.120503652039325
1739209835.0504634;-38.13080360867914
1739209835.0504744;-45.120503652039325
1739209835.0504854;-45.120503652039325
1739209835.0504963;-35.57807855764607
1739209835.0505073;-35.57807855764607
1739209835.0505183;-38.13080360867914
1739209835.0505292;-31.141103565318893
1739209835.0505404;-38.13080360867914
1739209835.0505514;-38.13080360867914
1739209835.0505624;-38.13080360867914
1739209835.0505733;-38.13080360867914
1739209835.0505843;-45.120503652039325
1739209835.0505953;-32.816014438256545
1739209835.0506063;-45.120503652039325
1739209835.0506172;-45.120503652039325
1739209835.0506282;-45.120503652039325
1739209835.0506394;-45.120503652039325
1739209835.0506504;-45.120503652039325
1739209835.0506613;-38.13080360867914
1739209835.0506723;-38.13080360867914
1739209835.0506833;-38.13080360867914
1739209835.0506942;-45.120503652039325
1739209835.0507052;-45.120503652039325
1739209835.0507162;-45.120503652039325
1739209835.0507271;-38.13080360867914
1739209835.050738;-38.13080360867914
1739209835.0507493;-45.120503652039325
1739209835.0507603;-45.120503652039325
1739209835.0507712;-45.120503652039325
1739209835.0507822;-38.13080360867914
1739209835.0507932;-45.120503652039325
1739209835.0508041;-38.13080360867914
1739209835.050815;-45.120503652039325
1739209835.050826;-38.13080360867914
1739209835.050837;-35.57807855764607
1739209835.0508482;-38.13080360867914
1739209835.0508592;-38.13080360867914
1739209835.0508702;-38.13080360867914
1739209835.0508811;-45.120503652039325
1739209835.050892;-45.120503652039325
1739209835.050903;-38.13080360867914
1739209835.050914;-45.120503652039325
1739209835.050925;-45.120503652039325
1739209835.050936;-38.13080360867914
1739209835.050947;-35.57807855764607
1739209835.0509582;-38.13080360867914
