CAN Message; 0x1a7:0000ce4958370345
Timestamp;Amplitude
1739209639.731174;-38.13080360867914
1739209639.7311802;-45.120503652039325
1739209639.7311862;-38.13080360867914
1739209639.7311924;-38.13080360867914
1739209639.7311983;-38.13080360867914
1739209639.7312045;-38.13080360867914
1739209639.7312105;-35.57807855764607
1739209639.7312167;-45.120503652039325
1739209639.7312226;-45.120503652039325
1739209639.7312286;-38.13080360867914
1739209639.7312348;-45.120503652039325
1739209639.7312407;-33.981070128970906
1739209639.731247;-38.13080360867914
1739209639.731253;-45.120503652039325
1739209639.731259;-33.981070128970906
1739209639.731265;-35.57807855764607
1739209639.7312713;-35.57807855764607
1739209639.7312772;-38.13080360867914
1739209639.7312832;-38.13080360867914
1739209639.7312894;-45.120503652039325
1739209639.7312953;-45.120503652039325
1739209639.7313015;-38.13080360867914
1739209639.7313075;-38.13080360867914
1739209639.7313137;-45.120503652039325
1739209639.7313197;-38.13080360867914
1739209639.7313259;-45.120503652039325
1739209639.7313318;-45.120503652039325
1739209639.7313378;-38.13080360867914
1739209639.731344;-35.57807855764607
1739209639.73135;-45.120503652039325
1739209639.7313561;-45.120503652039325
1739209639.731362;-35.57807855764607
1739209639.7313683;-38.13080360867914
1739209639.7313743;-45.120503652039325
1739209639.7313802;-45.120503652039325
1739209639.7313864;-45.120503652039325
1739209639.7313924;-45.120503652039325
1739209639.7313986;-45.120503652039325
1739209639.7314045;-45.120503652039325
1739209639.7314107;-45.120503652039325
1739209639.7314167;-45.120503652039325
1739209639.731423;-45.120503652039325
1739209639.7314289;-45.120503652039325
1739209639.7314348;-45.120503652039325
1739209639.731441;-45.120503652039325
1739209639.731447;-38.13080360867914
1739209639.7314532;-38.13080360867914
1739209639.7314591;-38.13080360867914
1739209639.7314653;-45.120503652039325
1739209639.7314713;-38.13080360867914
1739209639.7314775;-45.120503652039325
1739209639.7314835;-32.816014438256545
1739209639.7314894;-32.816014438256545
1739209639.7314956;-45.120503652039325
1739209639.7315016;-45.120503652039325
1739209639.7315078;-45.120503652039325
1739209639.7315137;-32.816014438256545
1739209639.73152;-45.120503652039325
1739209639.731526;-38.13080360867914
1739209639.731532;-38.13080360867914
1739209639.731538;-45.120503652039325
1739209639.731544;-38.13080360867914
1739209639.7315502;-45.120503652039325
1739209639.7315562;-45.120503652039325
1739209639.7315624;-38.13080360867914
1739209639.7315683;-38.13080360867914
1739209639.7315745;-45.120503652039325
1739209639.7315805;-35.57807855764607
1739209639.7315867;-31.141103565318893
1739209639.7315927;-38.13080360867914
1739209639.7315986;-45.120503652039325
1739209639.7316048;-35.57807855764607
1739209639.7316108;-32.816014438256545
1739209639.731617;-38.13080360867914
1739209639.731623;-38.13080360867914
1739209639.7316291;-45.120503652039325
1739209639.731635;-45.120503652039325
1739209639.7316413;-38.13080360867914
1739209639.7316473;-45.120503652039325
1739209639.7316532;-45.120503652039325
1739209639.7316594;-45.120503652039325
1739209639.7316654;-45.120503652039325
1739209639.7316716;-45.120503652039325
1739209639.7316775;-38.13080360867914
1739209639.7316837;-32.816014438256545
1739209639.7316897;-45.120503652039325
1739209639.7316957;-45.120503652039325
