CAN Message; 0x1a7:0000f0a329d4fc7c
Timestamp;Amplitude
1739209705.751391;-45.120503652039325
1739209705.7514021;-45.120503652039325
1739209705.751413;-45.120503652039325
1739209705.751424;-45.120503652039325
1739209705.751435;-45.120503652039325
1739209705.7514462;-45.120503652039325
1739209705.7514572;-33.981070128970906
1739209705.7514682;-25.826314394896357
1739209705.7514791;-45.120503652039325
1739209705.7514904;-38.13080360867914
1739209705.7515013;-35.57807855764607
1739209705.7515123;-35.57807855764607
1739209705.7515233;-38.13080360867914
1739209705.7515345;-45.120503652039325
1739209705.7515454;-45.120503652039325
1739209705.7515564;-32.81601443825658
1739209705.7515674;-38.13080360867914
1739209705.7515786;-45.120503652039325
1739209705.7515895;-45.120503652039325
1739209705.7516005;-45.120503652039325
1739209705.7516115;-38.13080360867914
1739209705.7516227;-35.57807855764607
1739209705.7516336;-45.120503652039325
1739209705.7516446;-33.981070128970906
1739209705.7516556;-38.13080360867914
1739209705.7516668;-38.13080360867914
1739209705.7516778;-38.13080360867914
1739209705.7516887;-38.13080360867914
1739209705.7516997;-35.57807855764607
1739209705.751711;-38.13080360867914
1739209705.7517219;-45.120503652039325
1739209705.7517328;-38.13080360867914
1739209705.7517438;-35.57807855764607
1739209705.751755;-38.13080360867914
1739209705.751766;-45.120503652039325
1739209705.751777;-45.120503652039325
1739209705.751788;-45.120503652039325
1739209705.751799;-45.120503652039325
1739209705.75181;-45.120503652039325
1739209705.751821;-38.13080360867914
1739209705.751832;-45.120503652039325
1739209705.751843;-45.120503652039325
1739209705.7518542;-35.57807855764607
1739209705.7518651;-45.120503652039325
1739209705.751876;-45.120503652039325
1739209705.751887;-45.120503652039325
1739209705.7518983;-45.120503652039325
1739209705.7519093;-38.13080360867914
1739209705.7519202;-35.57807855764607
1739209705.7519312;-38.13080360867914
1739209705.7519424;-45.120503652039325
1739209705.7519534;-45.120503652039325
1739209705.7519643;-33.981070128970906
1739209705.7519753;-45.120503652039325
1739209705.7519865;-45.120503652039325
1739209705.7519975;-38.13080360867914
1739209705.7520084;-45.120503652039325
1739209705.7520194;-45.120503652039325
1739209705.7520306;-45.120503652039325
1739209705.7520416;-45.120503652039325
1739209705.7520525;-38.13080360867914
1739209705.7520635;-38.13080360867914
1739209705.7520747;-38.13080360867914
1739209705.7520857;-38.13080360867914
1739209705.7520967;-45.120503652039325
1739209705.7521076;-38.13080360867914
1739209705.7521188;-35.57807855764607
1739209705.7521298;-38.13080360867914
1739209705.7521408;-35.57807855764607
1739209705.7521517;-35.57807855764607
1739209705.752163;-45.120503652039325
1739209705.752174;-38.13080360867914
1739209705.7521849;-30.49652367304973
1739209705.7521958;-38.13080360867914
1739209705.752207;-45.120503652039325
1739209705.752218;-38.13080360867914
1739209705.752229;-35.57807855764607
1739209705.75224;-45.120503652039325
1739209705.7522511;-38.13080360867914
1739209705.752262;-35.57807855764607
1739209705.752273;-45.120503652039325
1739209705.752284;-45.120503652039325
1739209705.752295;-35.57807855764607
1739209705.7523062;-38.13080360867914
1739209705.7523172;-45.120503652039325
1739209705.7523282;-45.120503652039325
1739209705.7523391;-38.13080360867914
1739209705.7523503;-38.13080360867914
1739209705.7523613;-38.13080360867914
1739209705.7523723;-38.13080360867914
1739209705.7523832;-35.57807855764607
1739209705.7523944;-38.13080360867914
1739209705.7524054;-38.13080360867914
1739209705.7524164;-38.13080360867914
1739209705.7524273;-33.981070128970906
1739209705.7524385;-38.13080360867914
1739209705.7524495;-38.13080360867914
1739209705.7524605;-38.13080360867914
1739209705.7524714;-38.13080360867914
1739209705.7524827;-45.120503652039325
1739209705.7524936;-38.13080360867914
1739209705.7525046;-38.13080360867914
1739209705.7525156;-45.120503652039325
1739209705.7525268;-38.13080360867914
1739209705.7525377;-45.120503652039325
1739209705.7525487;-45.120503652039325
1739209705.7525597;-45.120503652039325
1739209705.7525709;-45.120503652039325
1739209705.7525818;-38.13080360867914
1739209705.7525928;-45.120503652039325
1739209705.7526038;-45.120503652039325
1739209705.752615;-38.13080360867914
1739209705.752626;-26.991370085610736
1739209705.752637;-29.438486411369333
1739209705.7526479;-45.120503652039325
1739209705.752659;-38.13080360867914
1739209705.75267;-32.816014438256545
1739209705.752681;-35.57807855764607
1739209705.752692;-45.120503652039325
1739209705.7527032;-45.120503652039325
1739209705.7527142;-38.13080360867914
1739209705.7527251;-45.120503652039325
1739209705.752736;-45.120503652039325
1739209705.752747;-38.13080360867914
1739209705.7527583;-45.120503652039325
1739209705.7527692;-38.13080360867914
1739209705.7527802;-38.13080360867914
1739209705.7527912;-45.120503652039325
1739209705.7528024;-32.816014438256545
1739209705.7528133;-32.816014438256545
1739209705.7528243;-45.120503652039325
1739209705.7528353;-38.13080360867914
1739209705.7528465;-35.57807855764607
1739209705.7528574;-38.13080360867914
1739209705.7528684;-45.120503652039325
1739209705.7528794;-45.120503652039325
1739209705.7528906;-32.816014438256545
1739209705.7529016;-38.13080360867914
1739209705.7529125;-45.120503652039325
1739209705.7529235;-38.13080360867914
1739209705.7529347;-38.13080360867914
1739209705.7529457;-33.981070128970906
1739209705.7529566;-45.120503652039325
1739209705.7529676;-32.816014438256545
1739209705.7529788;-38.13080360867914
1739209705.7529898;-45.120503652039325
1739209705.7530007;-35.57807855764607
1739209705.7530117;-45.120503652039325
1739209705.753023;-45.120503652039325
1739209705.7530339;-45.120503652039325
1739209705.7530448;-32.816014438256545
1739209705.7530558;-35.57807855764607
1739209705.753067;-32.816014438256545
1739209705.753078;-32.816014438256545
1739209705.753089;-45.120503652039325
1739209705.7531;-38.13080360867914
1739209705.7531111;-38.13080360867914
1739209705.753122;-45.120503652039325
1739209705.753133;-38.13080360867914
1739209705.753144;-45.120503652039325
1739209705.7531552;-38.13080360867914
1739209705.7531662;-32.816014438256545
1739209705.7531772;-45.120503652039325
1739209705.7531881;-45.120503652039325
1739209705.7531993;-31.141103565318893
1739209705.7532103;-33.981070128970906
1739209705.7532213;-45.120503652039325
1739209705.7532322;-38.13080360867914
1739209705.7532432;-38.13080360867914
1739209705.7532544;-45.120503652039325
1739209705.7532654;-45.120503652039325
1739209705.7532763;-45.120503652039325
1739209705.7532873;-35.57807855764607
1739209705.7532985;-33.981070128970906
1739209705.7533095;-45.120503652039325
1739209705.7533205;-45.120503652039325
1739209705.7533314;-38.13080360867914
1739209705.7533426;-38.13080360867914
1739209705.7533536;-45.120503652039325
1739209705.7533646;-45.120503652039325
1739209705.7533755;-45.120503652039325
1739209705.7533867;-45.120503652039325
1739209705.7533977;-35.57807855764607
1739209705.7534087;-38.13080360867914
1739209705.7534196;-45.120503652039325
1739209705.7534308;-38.13080360867914
1739209705.7534418;-38.13080360867914
1739209705.7534528;-38.13080360867914
