CAN Message; 0x1bb:000008d0fd7db535
Timestamp;Amplitude
1739209856.856544;-25.826314394896354
1739209856.8565505;-25.077289914212862
1739209856.8565567;-32.816014438256545
1739209856.856563;-38.13080360867914
1739209856.8565695;-33.981070128970906
1739209856.856576;-27.267205301931607
1739209856.8565822;-30.49652367304976
1739209856.8565886;-28.992665084841942
1739209856.856595;-30.49652367304973
1739209856.8566015;-25.826314394896357
1739209856.8566077;-31.141103565318915
1739209856.856614;-28.992665084841942
1739209856.8566206;-45.120503652039325
1739209856.856627;-27.267205301931607
1739209856.8566332;-27.267205301931607
1739209856.8566396;-38.13080360867914
1739209856.856646;-25.826314394896357
1739209856.8566525;-22.740042620751332
1739209856.8566587;-33.981070128970906
1739209856.8566651;-45.120503652039325
1739209856.8566716;-31.141103565318915
1739209856.856678;-45.120503652039325
1739209856.8566844;-28.992665084841942
1739209856.8566906;-30.49652367304973
1739209856.856697;-45.120503652039325
1739209856.8567035;-33.981070128970956
1739209856.85671;-28.218542851754165
1739209856.8567162;-30.49652367304973
1739209856.8567226;-45.120503652039325
1739209856.856729;-32.81601443825658
1739209856.8567355;-45.120503652039325
1739209856.8567417;-26.991370085610722
1739209856.856748;-28.588378514285886
1739209856.8567545;-33.981070128970956
1739209856.856761;-38.13080360867914
1739209856.8567672;-32.816014438256545
1739209856.8567736;-33.981070128970906
1739209856.85678;-33.981070128970956
1739209856.8567865;-31.141103565318893
1739209856.8567927;-31.141103565318943
1739209856.8567991;-38.13080360867914
1739209856.8568056;-23.506823629689542
1739209856.856812;-31.141103565318915
1739209856.8568184;-27.267205301931607
1739209856.8568246;-31.141103565318943
1739209856.856831;-45.120503652039325
1739209856.8568375;-28.992665084841942
1739209856.856844;-38.13080360867914
1739209856.8568501;-33.981070128970906
1739209856.8568566;-33.981070128970906
1739209856.856863;-45.120503652039325
1739209856.8568695;-33.981070128970906
1739209856.8568757;-32.816014438256545
1739209856.856882;-45.120503652039325
1739209856.8568885;-33.981070128970906
1739209856.856895;-29.438486411369333
1739209856.8569012;-26.487275050834715
1739209856.8569076;-26.991370085610736
1739209856.856914;-26.991370085610722
1739209856.8569205;-30.49652367304973
1739209856.8569267;-27.267205301931607
1739209856.856933;-33.981070128970906
1739209856.8569396;-38.13080360867914
1739209856.856946;-33.981070128970906
1739209856.8569524;-30.49652367304973
1739209856.8569586;-33.981070128970906
1739209856.856965;-45.120503652039325
1739209856.8569715;-35.57807855764607
1739209856.856978;-45.120503652039325
1739209856.8569841;-33.981070128970906
1739209856.8569906;-33.981070128970906
1739209856.856997;-38.13080360867914
1739209856.8570035;-30.49652367304973
1739209856.8570096;-31.141103565318915
1739209856.857016;-45.120503652039325
1739209856.8570225;-38.13080360867914
1739209856.857029;-45.120503652039325
1739209856.8570352;-38.13080360867914
1739209856.8570416;-33.981070128970906
1739209856.857048;-25.62660358559016
1739209856.8570545;-28.992665084841942
1739209856.8570607;-45.120503652039325
