CAN Message; 0x150:0000109ce676c48e
Timestamp;Amplitude
1739209802.6307802;-38.13080360867914
1739209802.6307857;-38.13080360867914
1739209802.630791;-45.120503652039325
1739209802.6307962;-38.13080360867914
1739209802.6308017;-45.120503652039325
1739209802.630807;-45.120503652039325
1739209802.6308124;-45.120503652039325
1739209802.6308177;-45.120503652039325
1739209802.630823;-45.120503652039325
1739209802.6308284;-38.13080360867914
1739209802.6308336;-45.120503652039325
1739209802.6308389;-45.120503652039325
1739209802.6308444;-38.13080360867914
1739209802.6308496;-38.13080360867914
1739209802.6308548;-38.13080360867914
1739209802.6308603;-30.49652367304973
1739209802.6308656;-38.13080360867914
1739209802.6308708;-38.13080360867914
1739209802.6308763;-35.57807855764607
1739209802.6308815;-38.13080360867914
1739209802.630887;-38.13080360867914
1739209802.6308923;-45.120503652039325
1739209802.6308975;-38.13080360867914
1739209802.630903;-35.57807855764607
1739209802.6309083;-45.120503652039325
1739209802.6309135;-33.981070128970906
1739209802.630919;-32.816014438256545
1739209802.6309242;-38.13080360867914
1739209802.6309295;-38.13080360867914
1739209802.630935;-45.120503652039325
1739209802.6309402;-45.120503652039325
1739209802.6309457;-28.992665084841942
1739209802.630951;-31.141103565318915
1739209802.6309562;-45.120503652039325
1739209802.6309617;-38.13080360867914
1739209802.630967;-32.816014438256545
1739209802.6309721;-38.13080360867914
1739209802.6309776;-38.13080360867914
1739209802.6309829;-38.13080360867914
1739209802.6309881;-45.120503652039325
1739209802.6309936;-45.120503652039325
1739209802.6309988;-38.13080360867914
1739209802.631004;-45.120503652039325
1739209802.6310096;-45.120503652039325
1739209802.6310148;-32.816014438256545
1739209802.6310203;-45.120503652039325
1739209802.6310256;-45.120503652039325
1739209802.6310308;-31.141103565318915
1739209802.6310363;-30.49652367304973
1739209802.6310415;-38.13080360867914
1739209802.6310468;-38.13080360867914
1739209802.6310523;-38.13080360867914
1739209802.6310575;-45.120503652039325
1739209802.6310627;-45.120503652039325
1739209802.6310682;-35.57807855764607
1739209802.6310735;-45.120503652039325
1739209802.6310787;-45.120503652039325
1739209802.6310842;-35.57807855764607
1739209802.6310894;-45.120503652039325
1739209802.631095;-31.141103565318915
1739209802.6311002;-33.981070128970906
1739209802.6311054;-45.120503652039325
1739209802.631111;-35.57807855764607
1739209802.6311162;-45.120503652039325
1739209802.6311214;-45.120503652039325
1739209802.6311269;-38.13080360867914
1739209802.6311321;-35.57807855764607
1739209802.6311374;-38.13080360867914
1739209802.6311429;-45.120503652039325
1739209802.631148;-33.981070128970906
1739209802.6311536;-45.120503652039325
1739209802.6311588;-38.13080360867914
1739209802.631164;-38.13080360867914
1739209802.6311696;-33.981070128970906
1739209802.6311748;-35.57807855764607
1739209802.63118;-38.13080360867914
1739209802.6311855;-38.13080360867914
1739209802.6311908;-38.13080360867914
