CAN Message; 0x77:1af9198125f62d6e
Timestamp;Amplitude
1739209708.3724666;-38.13080360867914
1739209708.3724704;-45.120503652039325
1739209708.3724742;-45.120503652039325
1739209708.372478;-45.120503652039325
1739209708.3724818;-32.816014438256545
1739209708.3724856;-31.141103565318915
1739209708.3724895;-38.13080360867914
1739209708.3724933;-38.13080360867914
1739209708.372497;-35.57807855764607
1739209708.372501;-38.13080360867914
1739209708.3725047;-35.57807855764607
1739209708.3725085;-38.13080360867914
1739209708.3725123;-45.120503652039325
1739209708.3725162;-33.981070128970906
1739209708.3725202;-38.13080360867914
1739209708.372524;-45.120503652039325
1739209708.3725278;-45.120503652039325
1739209708.3725317;-45.120503652039325
1739209708.3725355;-35.57807855764607
1739209708.3725393;-38.13080360867914
1739209708.372543;-38.13080360867914
1739209708.372547;-30.49652367304973
1739209708.3725507;-33.981070128970906
1739209708.3725545;-33.981070128970906
1739209708.3725584;-45.120503652039325
1739209708.3725622;-38.13080360867914
1739209708.372566;-45.120503652039325
1739209708.3725698;-45.120503652039325
1739209708.3725736;-45.120503652039325
1739209708.3725774;-30.49652367304973
1739209708.3725812;-33.981070128970906
1739209708.372585;-38.13080360867914
1739209708.3725889;-45.120503652039325
1739209708.3725927;-45.120503652039325
1739209708.3725965;-38.13080360867914
1739209708.3726003;-38.13080360867914
1739209708.3726041;-32.816014438256545
1739209708.372608;-33.981070128970906
1739209708.3726118;-38.13080360867914
1739209708.3726156;-45.120503652039325
1739209708.3726194;-38.13080360867914
1739209708.3726232;-38.13080360867914
1739209708.372627;-45.120503652039325
1739209708.372631;-38.13080360867914
1739209708.372635;-38.13080360867914
1739209708.3726387;-38.13080360867914
1739209708.3726425;-38.13080360867914
1739209708.3726463;-38.13080360867914
1739209708.3726501;-38.13080360867914
1739209708.372654;-35.57807855764607
1739209708.3726578;-45.120503652039325
1739209708.3726616;-45.120503652039325
1739209708.3726654;-38.13080360867914
1739209708.3726692;-45.120503652039325
1739209708.372673;-38.13080360867914
1739209708.3726768;-38.13080360867914
1739209708.3726807;-45.120503652039325
1739209708.3726845;-45.120503652039325
1739209708.3726883;-38.13080360867914
1739209708.372692;-45.120503652039325
1739209708.372696;-45.120503652039325
1739209708.3726997;-38.13080360867914
1739209708.3727036;-38.13080360867914
1739209708.3727074;-38.13080360867914
1739209708.3727112;-45.120503652039325
1739209708.372715;-38.13080360867914
1739209708.3727188;-45.120503652039325
1739209708.3727226;-38.13080360867914
1739209708.3727264;-33.981070128970906
1739209708.3727303;-45.120503652039325
1739209708.372734;-38.13080360867914
1739209708.372738;-38.13080360867914
1739209708.3727417;-45.120503652039325
1739209708.3727458;-38.13080360867914
1739209708.3727496;-35.57807855764607
1739209708.3727534;-38.13080360867914
1739209708.3727572;-45.120503652039325
1739209708.372761;-38.13080360867914
1739209708.3727648;-33.981070128970906
1739209708.3727686;-45.120503652039325
1739209708.3727725;-38.13080360867914
1739209708.3727763;-32.816014438256545
1739209708.37278;-45.120503652039325
1739209708.372784;-45.120503652039325
1739209708.3727877;-38.13080360867914
1739209708.3727915;-38.13080360867914
1739209708.3727953;-45.120503652039325
1739209708.3727992;-45.120503652039325
1739209708.372803;-45.120503652039325
1739209708.3728068;-45.120503652039325
1739209708.3728106;-35.57807855764607
1739209708.3728144;-35.57807855764607
1739209708.3728182;-45.120503652039325
1739209708.372822;-38.13080360867914
1739209708.3728259;-38.13080360867914
1739209708.3728297;-45.120503652039325
1739209708.3728335;-45.120503652039325
1739209708.3728373;-38.13080360867914
1739209708.3728411;-38.13080360867914
1739209708.372845;-45.120503652039325
1739209708.3728487;-45.120503652039325
1739209708.3728526;-45.120503652039325
1739209708.3728566;-38.13080360867914
1739209708.3728604;-35.57807855764607
1739209708.3728642;-35.57807855764607
1739209708.372868;-45.120503652039325
1739209708.3728719;-35.57807855764607
1739209708.3728757;-32.816014438256545
1739209708.3728795;-45.120503652039325
1739209708.3728833;-45.120503652039325
1739209708.3728871;-32.816014438256545
1739209708.372891;-38.13080360867914
1739209708.3728948;-45.120503652039325
1739209708.3728986;-45.120503652039325
1739209708.3729024;-45.120503652039325
1739209708.3729062;-45.120503652039325
1739209708.37291;-38.13080360867914
1739209708.3729138;-35.57807855764607
1739209708.3729177;-38.13080360867914
1739209708.3729215;-38.13080360867914
1739209708.3729253;-38.13080360867914
1739209708.372929;-38.13080360867914
1739209708.372933;-38.13080360867914
1739209708.3729367;-45.120503652039325
1739209708.3729405;-32.816014438256545
1739209708.3729444;-32.816014438256545
1739209708.3729482;-45.120503652039325
1739209708.372952;-35.57807855764607
1739209708.3729558;-38.13080360867914
1739209708.3729596;-45.120503652039325
1739209708.3729634;-45.120503652039325
1739209708.3729675;-35.57807855764607
1739209708.3729713;-38.13080360867914
1739209708.372975;-38.13080360867914
1739209708.372979;-33.981070128970906
1739209708.3729827;-45.120503652039325
1739209708.3729866;-45.120503652039325
1739209708.3729904;-38.13080360867914
1739209708.3729942;-38.13080360867914
1739209708.372998;-45.120503652039325
1739209708.3730018;-38.13080360867914
1739209708.3730056;-45.120503652039325
1739209708.3730094;-35.57807855764607
1739209708.3730133;-32.816014438256545
1739209708.373017;-45.120503652039325
1739209708.373021;-45.120503652039325
1739209708.3730247;-45.120503652039325
1739209708.3730285;-38.13080360867914
1739209708.3730323;-45.120503652039325
1739209708.3730361;-45.120503652039325
1739209708.37304;-45.120503652039325
1739209708.3730438;-45.120503652039325
1739209708.3730476;-35.57807855764607
1739209708.3730514;-35.57807855764607
1739209708.3730552;-45.120503652039325
1739209708.373059;-45.120503652039325
1739209708.3730628;-35.57807855764607
1739209708.3730667;-38.13080360867914
1739209708.3730705;-45.120503652039325
1739209708.3730743;-45.120503652039325
1739209708.3730783;-38.13080360867914
1739209708.3730822;-38.13080360867914
1739209708.373086;-38.13080360867914
1739209708.3730898;-38.13080360867914
1739209708.3730936;-45.120503652039325
1739209708.3730974;-38.13080360867914
1739209708.3731012;-38.13080360867914
1739209708.373105;-31.141103565318915
1739209708.3731089;-35.57807855764607
1739209708.3731127;-38.13080360867914
1739209708.3731165;-45.120503652039325
1739209708.3731203;-38.13080360867914
1739209708.3731241;-45.120503652039325
1739209708.373128;-38.13080360867914
1739209708.3731318;-45.120503652039325
1739209708.3731356;-32.81601443825658
1739209708.3731394;-45.120503652039325
1739209708.3731432;-38.13080360867914
1739209708.373147;-38.13080360867914
1739209708.3731508;-38.13080360867914
1739209708.3731546;-45.120503652039325
1739209708.3731585;-45.120503652039325
1739209708.3731623;-33.981070128970906
1739209708.373166;-28.992665084841942
1739209708.37317;-38.13080360867914
1739209708.3731737;-45.120503652039325
1739209708.3731775;-38.13080360867914
1739209708.3731813;-45.120503652039325
1739209708.3731852;-38.13080360867914
1739209708.373189;-38.13080360867914
1739209708.373193;-38.13080360867914
1739209708.3731968;-35.57807855764607
1739209708.3732007;-38.13080360867914
1739209708.3732045;-45.120503652039325
1739209708.3732083;-45.120503652039325
1739209708.373212;-38.13080360867914
1739209708.373216;-38.13080360867914
1739209708.3732197;-45.120503652039325
1739209708.3732235;-38.13080360867914
1739209708.3732274;-45.120503652039325
1739209708.3732312;-38.13080360867914
1739209708.373235;-38.13080360867914
1739209708.3732388;-45.120503652039325
1739209708.3732426;-45.120503652039325
1739209708.3732464;-45.120503652039325
1739209708.3732502;-38.13080360867914
1739209708.373254;-45.120503652039325
1739209708.3732579;-38.13080360867914
1739209708.3732617;-32.816014438256545
1739209708.3732655;-35.57807855764607
1739209708.3732693;-45.120503652039325
1739209708.3732731;-38.13080360867914
1739209708.373277;-35.57807855764607
1739209708.3732808;-45.120503652039325
1739209708.3732846;-33.981070128970906
1739209708.3732884;-30.49652367304973
1739209708.3732922;-33.981070128970906
1739209708.373296;-38.13080360867914
1739209708.3732998;-45.120503652039325
