CAN Message; 0x1d3:00005a74dc933389
Timestamp;Amplitude
1739209668.3686197;-38.13080360867914
1739209668.368628;-38.13080360867914
1739209668.3686361;-45.120503652039325
1739209668.3686442;-38.13080360867914
1739209668.3686523;-38.13080360867914
1739209668.3686607;-45.120503652039325
1739209668.3686688;-38.13080360867914
1739209668.368677;-35.57807855764607
1739209668.368685;-38.13080360867914
1739209668.3686934;-38.13080360867914
1739209668.3687015;-38.13080360867914
1739209668.3687096;-38.13080360867914
1739209668.3687177;-33.981070128970906
1739209668.368726;-35.57807855764607
1739209668.3687341;-38.13080360867914
1739209668.3687422;-45.120503652039325
1739209668.3687503;-38.13080360867914
1739209668.3687587;-33.981070128970906
1739209668.3687668;-38.13080360867914
1739209668.368775;-38.13080360867914
1739209668.368783;-45.120503652039325
1739209668.3687913;-45.120503652039325
1739209668.3687994;-33.981070128970906
1739209668.3688076;-45.120503652039325
1739209668.3688157;-45.120503652039325
1739209668.368824;-45.120503652039325
1739209668.368832;-45.120503652039325
1739209668.3688402;-45.120503652039325
1739209668.3688483;-38.13080360867914
1739209668.3688567;-38.13080360867914
1739209668.3688648;-45.120503652039325
1739209668.368873;-38.13080360867914
1739209668.368881;-45.120503652039325
1739209668.3688893;-38.13080360867914
1739209668.3688974;-45.120503652039325
1739209668.3689055;-45.120503652039325
1739209668.3689137;-45.120503652039325
1739209668.368922;-33.981070128970906
1739209668.36893;-33.981070128970906
1739209668.3689382;-38.13080360867914
1739209668.3689463;-38.13080360867914
1739209668.3689547;-38.13080360867914
1739209668.3689628;-45.120503652039325
1739209668.3689709;-38.13080360867914
1739209668.368979;-45.120503652039325
1739209668.3689873;-45.120503652039325
1739209668.3689954;-38.13080360867914
1739209668.3690035;-38.13080360867914
1739209668.3690116;-45.120503652039325
1739209668.36902;-38.13080360867914
1739209668.369028;-45.120503652039325
1739209668.3690362;-38.13080360867914
1739209668.3690443;-45.120503652039325
1739209668.3690526;-33.981070128970906
1739209668.3690608;-38.13080360867914
1739209668.3690689;-38.13080360867914
1739209668.369077;-35.57807855764607
1739209668.3690853;-38.13080360867914
1739209668.3690934;-35.57807855764607
1739209668.3691015;-45.120503652039325
1739209668.3691096;-32.816014438256545
1739209668.369118;-45.120503652039325
1739209668.369126;-38.13080360867914
