CAN Message; 0x1d3:0000dbdb53700b57
Timestamp;Amplitude
1739209621.6055508;-45.120503652039325
1739209621.6055532;-45.120503652039325
1739209621.6055555;-45.120503652039325
1739209621.6055582;-38.13080360867914
1739209621.6055605;-45.120503652039325
1739209621.605563;-38.13080360867914
1739209621.6055653;-45.120503652039325
1739209621.6055677;-45.120503652039325
1739209621.60557;-38.13080360867914
1739209621.6055725;-38.13080360867914
1739209621.6055748;-45.120503652039325
1739209621.6055775;-45.120503652039325
1739209621.6055799;-45.120503652039325
1739209621.6055822;-45.120503652039325
1739209621.6055846;-45.120503652039325
1739209621.605587;-32.816014438256545
1739209621.6055894;-35.57807855764607
1739209621.6055918;-45.120503652039325
1739209621.6055942;-45.120503652039325
1739209621.6055968;-38.13080360867914
1739209621.6055992;-45.120503652039325
1739209621.6056015;-45.120503652039325
1739209621.605604;-45.120503652039325
1739209621.6056063;-45.120503652039325
1739209621.6056087;-38.13080360867914
1739209621.605611;-45.120503652039325
1739209621.6056137;-45.120503652039325
1739209621.605616;-45.120503652039325
1739209621.6056185;-32.816014438256545
1739209621.6056209;-45.120503652039325
1739209621.6056232;-45.120503652039325
1739209621.6056256;-30.49652367304973
1739209621.605628;-35.57807855764607
1739209621.6056304;-45.120503652039325
1739209621.605633;-45.120503652039325
1739209621.6056354;-33.981070128970906
1739209621.6056378;-45.120503652039325
1739209621.6056402;-45.120503652039325
1739209621.6056426;-45.120503652039325
1739209621.605645;-45.120503652039325
1739209621.6056473;-45.120503652039325
1739209621.6056497;-38.13080360867914
1739209621.6056523;-45.120503652039325
1739209621.6056547;-45.120503652039325
1739209621.605657;-32.816014438256545
1739209621.6056595;-45.120503652039325
1739209621.6056619;-45.120503652039325
1739209621.6056643;-38.13080360867914
1739209621.6056666;-38.13080360867914
1739209621.6056693;-45.120503652039325
1739209621.6056716;-45.120503652039325
1739209621.605674;-38.13080360867914
1739209621.6056764;-38.13080360867914
1739209621.6056788;-45.120503652039325
1739209621.6056812;-38.13080360867914
1739209621.6056836;-38.13080360867914
