CAN Message; 0x77:b55c461475a076e3
Timestamp;Amplitude
1739209735.681169;-33.981070128970906
1739209735.6811721;-31.141103565318915
1739209735.681175;-45.120503652039325
1739209735.681178;-45.120503652039325
1739209735.681181;-38.13080360867914
1739209735.6811838;-38.13080360867914
1739209735.681187;-38.13080360867914
1739209735.6811898;-45.120503652039325
1739209735.6811926;-38.13080360867914
1739209735.6811957;-32.81601443825658
1739209735.6811986;-45.120503652039325
1739209735.6812015;-45.120503652039325
1739209735.6812046;-45.120503652039325
1739209735.6812074;-38.13080360867914
1739209735.6812105;-38.13080360867914
1739209735.6812134;-38.13080360867914
1739209735.6812162;-38.13080360867914
1739209735.6812193;-28.992665084841942
1739209735.6812222;-45.120503652039325
1739209735.6812253;-45.120503652039325
1739209735.6812282;-38.13080360867914
1739209735.681231;-32.816014438256545
1739209735.6812341;-38.13080360867914
1739209735.681237;-45.120503652039325
1739209735.6812398;-45.120503652039325
1739209735.681243;-38.13080360867914
1739209735.6812458;-38.13080360867914
1739209735.6812487;-45.120503652039325
1739209735.6812518;-45.120503652039325
1739209735.6812546;-33.981070128970906
1739209735.6812577;-38.13080360867914
1739209735.6812606;-38.13080360867914
1739209735.6812634;-45.120503652039325
1739209735.6812665;-45.120503652039325
1739209735.6812694;-38.13080360867914
1739209735.6812725;-45.120503652039325
1739209735.6812754;-45.120503652039325
1739209735.6812782;-38.13080360867914
1739209735.6812813;-35.57807855764607
1739209735.6812842;-38.13080360867914
1739209735.681287;-45.120503652039325
1739209735.6812901;-28.992665084841942
1739209735.681293;-38.13080360867914
1739209735.6812959;-45.120503652039325
1739209735.681299;-45.120503652039325
1739209735.6813018;-33.981070128970906
1739209735.681305;-45.120503652039325
1739209735.6813078;-45.120503652039325
1739209735.6813107;-45.120503652039325
1739209735.6813138;-33.981070128970956
1739209735.6813166;-38.13080360867914
1739209735.6813197;-35.57807855764607
1739209735.6813226;-45.120503652039325
1739209735.6813254;-45.120503652039325
1739209735.6813285;-45.120503652039325
1739209735.6813314;-38.13080360867914
1739209735.6813343;-45.120503652039325
1739209735.6813374;-27.8777449560314
1739209735.6813402;-32.816014438256545
1739209735.681343;-45.120503652039325
1739209735.6813462;-45.120503652039325
1739209735.681349;-33.981070128970906
1739209735.6813521;-38.13080360867914
1739209735.681355;-45.120503652039325
1739209735.6813579;-35.57807855764607
1739209735.681361;-38.13080360867914
1739209735.6813638;-45.120503652039325
1739209735.681367;-35.57807855764607
