CAN Message; 0x77:f3d0071f1e98c470
Timestamp;Amplitude
1739209707.7048857;-45.120503652039325
1739209707.7048955;-45.120503652039325
1739209707.7049053;-38.13080360867914
1739209707.704915;-35.57807855764607
1739209707.7049248;-45.120503652039325
1739209707.7049346;-45.120503652039325
1739209707.7049444;-38.13080360867914
1739209707.7049544;-33.981070128970906
1739209707.7049642;-45.120503652039325
1739209707.704974;-45.120503652039325
1739209707.7049837;-38.13080360867914
1739209707.7049935;-45.120503652039325
1739209707.7050033;-45.120503652039325
1739209707.705013;-45.120503652039325
1739209707.7050228;-33.981070128970906
1739209707.7050326;-45.120503652039325
1739209707.7050424;-38.13080360867914
1739209707.7050521;-38.13080360867914
1739209707.705062;-31.141103565318893
1739209707.7050717;-32.816014438256545
1739209707.7050815;-45.120503652039325
1739209707.7050912;-35.57807855764607
1739209707.705101;-38.13080360867914
1739209707.705111;-38.13080360867914
1739209707.7051208;-38.13080360867914
1739209707.7051306;-31.141103565318915
1739209707.7051404;-45.120503652039325
1739209707.7051501;-38.13080360867914
1739209707.70516;-32.816014438256545
1739209707.7051697;-38.13080360867914
1739209707.7051795;-45.120503652039325
1739209707.7051892;-45.120503652039325
1739209707.705199;-38.13080360867914
1739209707.7052088;-33.981070128970906
1739209707.7052186;-45.120503652039325
1739209707.7052283;-45.120503652039325
1739209707.705238;-38.13080360867914
1739209707.7052479;-38.13080360867914
1739209707.705258;-38.13080360867914
1739209707.7052677;-45.120503652039325
1739209707.7052774;-32.816014438256545
1739209707.7052872;-45.120503652039325
1739209707.705297;-30.49652367304973
1739209707.7053068;-27.8777449560314
1739209707.7053165;-45.120503652039325
1739209707.7053263;-45.120503652039325
1739209707.705336;-45.120503652039325
1739209707.7053459;-33.981070128970906
1739209707.7053556;-45.120503652039325
1739209707.7053654;-45.120503652039325
1739209707.7053752;-45.120503652039325
1739209707.705385;-38.13080360867914
1739209707.7053947;-45.120503652039325
1739209707.7054045;-38.13080360867914
1739209707.7054145;-38.13080360867914
1739209707.7054243;-45.120503652039325
1739209707.705434;-45.120503652039325
1739209707.7054439;-38.13080360867914
1739209707.7054536;-38.13080360867914
1739209707.7054634;-31.141103565318915
1739209707.7054732;-38.13080360867914
1739209707.705483;-45.120503652039325
1739209707.7054927;-38.13080360867914
1739209707.7055025;-38.13080360867914
1739209707.7055123;-45.120503652039325
1739209707.705522;-38.13080360867914
1739209707.7055318;-38.13080360867914
1739209707.7055416;-38.13080360867914
1739209707.7055514;-33.981070128970906
1739209707.7055614;-45.120503652039325
1739209707.7055712;-45.120503652039325
