CAN Message; 0x150:030053ad6723a207
Timestamp;Amplitude
1739209649.293128;-38.13080360867914
1739209649.2931414;-45.120503652039325
1739209649.2931547;-38.13080360867914
1739209649.293168;-35.57807855764607
1739209649.2931817;-38.13080360867914
1739209649.293195;-38.13080360867914
1739209649.2932084;-45.120503652039325
1739209649.2932217;-45.120503652039325
1739209649.293235;-38.13080360867914
1739209649.2932484;-38.13080360867914
1739209649.2932618;-45.120503652039325
1739209649.293275;-45.120503652039325
1739209649.2932887;-45.120503652039325
1739209649.293302;-45.120503652039325
1739209649.2933154;-45.120503652039325
1739209649.2933288;-32.816014438256545
1739209649.293342;-38.13080360867914
1739209649.2933555;-45.120503652039325
1739209649.2933688;-38.13080360867914
1739209649.2933822;-45.120503652039325
1739209649.2933955;-45.120503652039325
1739209649.293409;-38.13080360867914
1739209649.2934225;-38.13080360867914
1739209649.2934358;-45.120503652039325
1739209649.2934492;-45.120503652039325
1739209649.2934625;-45.120503652039325
1739209649.2934759;-38.13080360867914
1739209649.2934892;-38.13080360867914
1739209649.2935026;-38.13080360867914
1739209649.293516;-45.120503652039325
1739209649.2935295;-45.120503652039325
1739209649.2935429;-38.13080360867914
1739209649.2935562;-38.13080360867914
1739209649.2935696;-35.57807855764607
1739209649.293583;-38.13080360867914
1739209649.2935963;-38.13080360867914
1739209649.2936096;-45.120503652039325
1739209649.293623;-38.13080360867914
1739209649.2936366;-33.981070128970906
1739209649.29365;-45.120503652039325
1739209649.2936633;-38.13080360867914
1739209649.2936766;-45.120503652039325
1739209649.29369;-38.13080360867914
1739209649.2937033;-32.816014438256545
1739209649.2937167;-45.120503652039325
1739209649.29373;-45.120503652039325
1739209649.2937434;-33.981070128970906
1739209649.293757;-32.816014438256545
1739209649.2937703;-45.120503652039325
1739209649.2937837;-35.57807855764607
1739209649.293797;-35.57807855764607
1739209649.2938104;-45.120503652039325
1739209649.2938237;-45.120503652039325
1739209649.293837;-45.120503652039325
1739209649.2938504;-38.13080360867914
1739209649.293864;-38.13080360867914
1739209649.2938774;-38.13080360867914
1739209649.2938907;-45.120503652039325
1739209649.293904;-45.120503652039325
1739209649.2939174;-45.120503652039325
1739209649.2939308;-45.120503652039325
1739209649.2939441;-45.120503652039325
