CAN Message; 0x77:9a49e2308fbe605c
Timestamp;Amplitude
1739209853.8416693;-45.120503652039325
1739209853.841675;-38.13080360867914
1739209853.841681;-45.120503652039325
1739209853.8416867;-38.13080360867914
1739209853.8416924;-38.13080360867914
1739209853.8416982;-45.120503652039325
1739209853.841704;-45.120503652039325
1739209853.8417096;-45.120503652039325
1739209853.8417156;-38.13080360867914
1739209853.8417213;-45.120503652039325
1739209853.841727;-45.120503652039325
1739209853.8417327;-31.141103565318893
1739209853.8417385;-45.120503652039325
1739209853.8417444;-45.120503652039325
1739209853.8417501;-38.13080360867914
1739209853.8417559;-45.120503652039325
1739209853.8417616;-45.120503652039325
1739209853.8417673;-45.120503652039325
1739209853.8417733;-45.120503652039325
1739209853.841779;-38.13080360867914
1739209853.8417847;-38.13080360867914
1739209853.8417904;-45.120503652039325
1739209853.8417962;-33.981070128970906
1739209853.8418021;-32.816014438256545
1739209853.8418078;-45.120503652039325
1739209853.8418136;-45.120503652039325
1739209853.8418193;-45.120503652039325
1739209853.841825;-45.120503652039325
1739209853.8418307;-45.120503652039325
1739209853.8418367;-45.120503652039325
1739209853.8418424;-45.120503652039325
1739209853.8418481;-38.13080360867914
1739209853.8418539;-33.981070128970906
1739209853.8418596;-45.120503652039325
1739209853.8418655;-45.120503652039325
1739209853.8418713;-35.57807855764607
1739209853.841877;-45.120503652039325
1739209853.8418827;-45.120503652039325
1739209853.8418884;-45.120503652039325
1739209853.8418941;-38.13080360867914
1739209853.8419;-38.13080360867914
1739209853.8419058;-45.120503652039325
1739209853.8419116;-45.120503652039325
1739209853.8419173;-45.120503652039325
1739209853.841923;-38.13080360867914
1739209853.841929;-35.57807855764607
1739209853.8419347;-38.13080360867914
1739209853.8419404;-38.13080360867914
1739209853.8419461;-38.13080360867914
1739209853.8419518;-38.13080360867914
1739209853.8419578;-45.120503652039325
1739209853.8419635;-38.13080360867914
1739209853.8419693;-38.13080360867914
1739209853.841975;-38.13080360867914
1739209853.8419807;-45.120503652039325
1739209853.8419867;-45.120503652039325
1739209853.8419924;-38.13080360867914
1739209853.841998;-38.13080360867914
1739209853.8420038;-38.13080360867914
1739209853.8420095;-35.57807855764607
1739209853.8420153;-38.13080360867914
1739209853.8420212;-45.120503652039325
1739209853.842027;-38.13080360867914
1739209853.8420327;-35.57807855764607
1739209853.8420384;-45.120503652039325
1739209853.842044;-45.120503652039325
1739209853.84205;-38.13080360867914
1739209853.8420558;-38.13080360867914
1739209853.8420615;-33.981070128970906
1739209853.8420672;-45.120503652039325
1739209853.842073;-45.120503652039325
1739209853.8420787;-38.13080360867914
1739209853.8420846;-38.13080360867914
1739209853.8420904;-38.13080360867914
1739209853.842096;-45.120503652039325
1739209853.8421018;-45.120503652039325
1739209853.8421075;-45.120503652039325
1739209853.8421135;-45.120503652039325
1739209853.8421192;-38.13080360867914
1739209853.842125;-38.13080360867914
1739209853.8421307;-45.120503652039325
1739209853.8421364;-45.120503652039325
1739209853.8421423;-45.120503652039325
1739209853.842148;-45.120503652039325
1739209853.8421538;-38.13080360867914
1739209853.8421595;-38.13080360867914
1739209853.8421652;-38.13080360867914
1739209853.8421712;-35.57807855764607
1739209853.842177;-35.57807855764607
1739209853.8421826;-45.120503652039325
1739209853.8421884;-38.13080360867914
1739209853.842194;-38.13080360867914
1739209853.8421998;-38.13080360867914
1739209853.8422058;-38.13080360867914
1739209853.8422115;-38.13080360867914
1739209853.8422172;-45.120503652039325
1739209853.842223;-45.120503652039325
1739209853.8422287;-38.13080360867914
1739209853.8422346;-38.13080360867914
1739209853.8422403;-38.13080360867914
1739209853.842246;-31.141103565318915
1739209853.8422518;-45.120503652039325
1739209853.8422575;-45.120503652039325
1739209853.8422632;-45.120503652039325
1739209853.8422692;-38.13080360867914
1739209853.842275;-38.13080360867914
1739209853.8422806;-38.13080360867914
1739209853.8422863;-45.120503652039325
1739209853.842292;-31.14110356531892
1739209853.842298;-38.13080360867914
1739209853.8423038;-38.13080360867914
1739209853.8423095;-45.120503652039325
1739209853.8423152;-45.120503652039325
1739209853.842321;-38.13080360867914
1739209853.8423269;-38.13080360867914
1739209853.8423326;-45.120503652039325
1739209853.8423383;-38.13080360867914
1739209853.842344;-38.13080360867914
1739209853.8423498;-45.120503652039325
1739209853.8423557;-45.120503652039325
1739209853.8423615;-45.120503652039325
1739209853.8423672;-38.13080360867914
1739209853.842373;-38.13080360867914
1739209853.8423786;-45.120503652039325
1739209853.8423843;-33.981070128970906
1739209853.8423903;-45.120503652039325
1739209853.842396;-45.120503652039325
1739209853.8424017;-45.120503652039325
1739209853.8424075;-38.13080360867914
1739209853.8424132;-38.13080360867914
1739209853.8424191;-45.120503652039325
1739209853.8424249;-38.13080360867914
1739209853.8424306;-38.13080360867914
1739209853.8424363;-45.120503652039325
1739209853.842442;-45.120503652039325
1739209853.8424478;-45.120503652039325
1739209853.8424537;-45.120503652039325
1739209853.8424594;-38.13080360867914
1739209853.8424652;-38.13080360867914
1739209853.842471;-45.120503652039325
1739209853.8424766;-28.992665084841942
1739209853.8424826;-31.141103565318915
1739209853.8424883;-45.120503652039325
1739209853.842494;-38.13080360867914
1739209853.8424997;-38.13080360867914
1739209853.8425055;-45.120503652039325
1739209853.8425114;-45.120503652039325
1739209853.8425171;-35.57807855764607
1739209853.8425229;-35.57807855764607
1739209853.8425286;-45.120503652039325
1739209853.8425343;-38.13080360867914
1739209853.8425403;-45.120503652039325
1739209853.842546;-35.57807855764607
1739209853.8425517;-38.13080360867914
1739209853.8425574;-45.120503652039325
1739209853.8425632;-45.120503652039325
1739209853.8425689;-45.120503652039325
1739209853.8425748;-45.120503652039325
1739209853.8425806;-45.120503652039325
1739209853.8425863;-45.120503652039325
1739209853.842592;-45.120503652039325
1739209853.8425977;-35.57807855764607
1739209853.8426037;-38.13080360867914
1739209853.8426094;-45.120503652039325
1739209853.8426151;-38.13080360867914
1739209853.8426208;-33.981070128970906
1739209853.8426266;-38.13080360867914
1739209853.8426323;-45.120503652039325
1739209853.8426383;-33.981070128970906
1739209853.842644;-45.120503652039325
1739209853.8426497;-45.120503652039325
1739209853.8426554;-45.120503652039325
1739209853.8426611;-45.120503652039325
1739209853.842667;-45.120503652039325
1739209853.8426728;-45.120503652039325
1739209853.8426785;-45.120503652039325
1739209853.8426843;-45.120503652039325
1739209853.84269;-30.49652367304973
1739209853.842696;-38.13080360867914
1739209853.8427017;-45.120503652039325
1739209853.8427074;-33.981070128970906
1739209853.842713;-45.120503652039325
1739209853.8427188;-45.120503652039325
1739209853.8427248;-38.13080360867914
1739209853.8427305;-38.13080360867914
1739209853.8427362;-45.120503652039325
1739209853.842742;-45.120503652039325
1739209853.8427477;-38.13080360867914
1739209853.8427534;-45.120503652039325
1739209853.8427594;-45.120503652039325
1739209853.842765;-38.13080360867914
1739209853.8427708;-45.120503652039325
1739209853.8427765;-45.120503652039325
1739209853.8427823;-38.13080360867914
1739209853.8427882;-38.13080360867914
1739209853.842794;-35.57807855764607
1739209853.8427997;-38.13080360867914
1739209853.8428054;-38.13080360867914
1739209853.842811;-38.13080360867914
1739209853.8428168;-38.13080360867914
1739209853.8428228;-38.13080360867914
1739209853.8428285;-45.120503652039325
1739209853.8428342;-38.13080360867914
1739209853.84284;-38.13080360867914
1739209853.8428457;-38.13080360867914
1739209853.8428516;-45.120503652039325
1739209853.8428574;-38.13080360867914
1739209853.842863;-35.57807855764607
1739209853.8428688;-33.981070128970906
1739209853.8428745;-45.120503652039325
1739209853.8428805;-45.120503652039325
1739209853.8428862;-45.120503652039325
1739209853.842892;-45.120503652039325
1739209853.8428977;-38.13080360867914
1739209853.8429034;-35.57807855764607
1739209853.8429093;-38.13080360867914
1739209853.842915;-45.120503652039325
1739209853.8429208;-38.13080360867914
1739209853.8429265;-38.13080360867914
1739209853.8429322;-45.120503652039325
1739209853.842938;-45.120503652039325
1739209853.842944;-33.981070128970906
1739209853.8429496;-38.13080360867914
1739209853.8429554;-45.120503652039325
1739209853.842961;-38.13080360867914
1739209853.8429668;-38.13080360867914
1739209853.8429728;-45.120503652039325
1739209853.8429785;-45.120503652039325
1739209853.8429842;-35.57807855764607
1739209853.84299;-38.13080360867914
1739209853.8429956;-45.120503652039325
1739209853.8430014;-45.120503652039325
1739209853.8430073;-33.981070128970906
1739209853.843013;-38.13080360867914
1739209853.8430188;-45.120503652039325
1739209853.8430245;-45.120503652039325
1739209853.8430302;-33.981070128970906
1739209853.8430362;-30.49652367304973
1739209853.843042;-28.992665084841942
1739209853.8430476;-45.120503652039325
1739209853.8430533;-38.13080360867914
1739209853.843059;-35.57807855764607
1739209853.843065;-38.13080360867914
1739209853.8430707;-45.120503652039325
1739209853.8430765;-45.120503652039325
1739209853.8430822;-45.120503652039325
1739209853.843088;-45.120503652039325
1739209853.8430939;-45.120503652039325
1739209853.8430996;-38.13080360867914
1739209853.8431053;-38.13080360867914
1739209853.843111;-38.13080360867914
1739209853.8431168;-45.120503652039325
1739209853.8431225;-38.13080360867914
1739209853.8431284;-38.13080360867914
1739209853.8431342;-35.57807855764607
1739209853.84314;-38.13080360867914
1739209853.8431456;-38.13080360867914
1739209853.8431513;-45.120503652039325
1739209853.8431573;-45.120503652039325
1739209853.843163;-33.981070128970906
1739209853.8431687;-38.13080360867914
1739209853.8431745;-33.981070128970906
1739209853.8431802;-31.141103565318915
1739209853.843186;-38.13080360867914
1739209853.8431919;-45.120503652039325
1739209853.8431976;-45.120503652039325
1739209853.8432033;-33.981070128970906
1739209853.843209;-38.13080360867914
1739209853.8432148;-35.57807855764607
1739209853.8432207;-35.57807855764607
1739209853.8432264;-38.13080360867914
1739209853.8432322;-35.57807855764607
1739209853.8432379;-45.120503652039325
1739209853.8432436;-38.13080360867914
1739209853.8432496;-35.57807855764607
1739209853.8432553;-38.13080360867914
1739209853.843261;-45.120503652039325
1739209853.8432667;-35.57807855764607
1739209853.8432724;-45.120503652039325
1739209853.8432784;-45.120503652039325
1739209853.8432841;-45.120503652039325
1739209853.8432899;-45.120503652039325
1739209853.8432956;-45.120503652039325
1739209853.8433013;-45.120503652039325
1739209853.843307;-33.981070128970906
1739209853.843313;-38.13080360867914
1739209853.8433187;-33.981070128970906
1739209853.8433244;-38.13080360867914
1739209853.8433301;-45.120503652039325
1739209853.8433359;-38.13080360867914
1739209853.8433418;-45.120503652039325
1739209853.8433475;-45.120503652039325
1739209853.8433533;-38.13080360867914
1739209853.843359;-33.981070128970906
1739209853.8433647;-35.57807855764607
1739209853.8433704;-32.816014438256545
1739209853.8433764;-38.13080360867914
1739209853.8433821;-38.13080360867914
1739209853.8433878;-33.981070128970906
1739209853.8433936;-45.120503652039325
1739209853.8433993;-45.120503652039325
1739209853.8434052;-38.13080360867914
1739209853.843411;-45.120503652039325
1739209853.8434167;-45.120503652039325
1739209853.8434224;-45.120503652039325
1739209853.8434281;-45.120503652039325
