CAN Message; 0x1bb:0000e81b6bddfece
Timestamp;Amplitude
1739209826.217867;-38.13080360867914
1739209826.2178757;-45.120503652039325
1739209826.2178845;-45.120503652039325
1739209826.2178931;-38.13080360867914
1739209826.217902;-45.120503652039325
1739209826.2179108;-45.120503652039325
1739209826.2179196;-38.13080360867914
1739209826.2179284;-38.13080360867914
1739209826.2179372;-45.120503652039325
1739209826.217946;-38.13080360867914
1739209826.2179549;-35.57807855764607
1739209826.2179635;-38.13080360867914
1739209826.2179723;-38.13080360867914
1739209826.217981;-38.13080360867914
1739209826.21799;-45.120503652039325
1739209826.2179987;-38.13080360867914
1739209826.2180076;-45.120503652039325
1739209826.2180164;-38.13080360867914
1739209826.218025;-35.57807855764607
1739209826.2180338;-38.13080360867914
1739209826.2180426;-45.120503652039325
1739209826.2180514;-38.13080360867914
1739209826.2180603;-35.57807855764607
1739209826.218069;-38.13080360867914
1739209826.218078;-45.120503652039325
1739209826.2180867;-38.13080360867914
1739209826.2180953;-35.57807855764607
1739209826.2181041;-38.13080360867914
1739209826.218113;-45.120503652039325
1739209826.2181218;-45.120503652039325
1739209826.2181306;-35.57807855764607
1739209826.2181394;-38.13080360867914
1739209826.2181482;-45.120503652039325
1739209826.2181568;-45.120503652039325
1739209826.2181656;-45.120503652039325
1739209826.2181745;-45.120503652039325
1739209826.2181833;-45.120503652039325
1739209826.218192;-33.981070128970906
1739209826.218201;-38.13080360867914
1739209826.2182097;-45.120503652039325
1739209826.2182186;-45.120503652039325
1739209826.2182271;-35.57807855764607
1739209826.218236;-38.13080360867914
1739209826.2182448;-45.120503652039325
1739209826.2182536;-35.57807855764607
1739209826.2182624;-38.13080360867914
1739209826.2182713;-45.120503652039325
1739209826.21828;-45.120503652039325
1739209826.2182887;-45.120503652039325
1739209826.2182975;-45.120503652039325
1739209826.2183063;-45.120503652039325
1739209826.2183151;-33.981070128970906
1739209826.218324;-38.13080360867914
1739209826.2183328;-35.57807855764607
1739209826.2183416;-38.13080360867914
1739209826.2183504;-38.13080360867914
1739209826.218359;-32.816014438256545
1739209826.2183678;-38.13080360867914
