CAN Message; 0x1b8:00000155f1b4985c
Timestamp;Amplitude
1739209903.355798;-35.57807855764607
1739209903.3557985;-38.13080360867914
1739209903.355799;-35.57807855764607
1739209903.3557994;-45.120503652039325
1739209903.3558;-45.120503652039325
1739209903.3558002;-38.13080360867914
1739209903.3558006;-45.120503652039325
1739209903.355801;-45.120503652039325
1739209903.3558016;-35.57807855764607
1739209903.355802;-38.13080360867914
1739209903.3558025;-45.120503652039325
1739209903.355803;-38.13080360867914
1739209903.3558035;-35.57807855764607
1739209903.355804;-38.13080360867914
1739209903.3558044;-45.120503652039325
1739209903.355805;-45.120503652039325
1739209903.3558052;-45.120503652039325
1739209903.3558056;-38.13080360867914
1739209903.355806;-45.120503652039325
1739209903.3558066;-45.120503652039325
1739209903.355807;-38.13080360867914
1739209903.3558075;-38.13080360867914
1739209903.355808;-32.816014438256545
1739209903.3558085;-38.13080360867914
1739209903.355809;-38.13080360867914
1739209903.3558095;-38.13080360867914
1739209903.3558097;-38.13080360867914
1739209903.3558102;-38.13080360867914
1739209903.3558106;-45.120503652039325
1739209903.355811;-33.981070128970906
1739209903.3558116;-45.120503652039325
1739209903.355812;-38.13080360867914
1739209903.3558125;-45.120503652039325
1739209903.355813;-38.13080360867914
1739209903.3558135;-45.120503652039325
1739209903.355814;-45.120503652039325
1739209903.3558145;-35.57807855764607
1739209903.3558147;-38.13080360867914
1739209903.3558152;-32.816014438256545
1739209903.3558156;-35.57807855764607
1739209903.3558161;-45.120503652039325
1739209903.3558166;-38.13080360867914
1739209903.355817;-32.816014438256545
1739209903.3558176;-33.981070128970906
1739209903.355818;-38.13080360867914
1739209903.3558185;-35.57807855764607
1739209903.355819;-38.13080360867914
1739209903.3558192;-33.981070128970906
1739209903.3558197;-45.120503652039325
1739209903.3558202;-38.13080360867914
1739209903.3558207;-45.120503652039325
1739209903.3558211;-45.120503652039325
1739209903.3558216;-35.57807855764607
1739209903.355822;-38.13080360867914
1739209903.3558226;-45.120503652039325
1739209903.355823;-45.120503652039325
1739209903.3558235;-45.120503652039325
1739209903.355824;-45.120503652039325
1739209903.3558242;-33.981070128970906
1739209903.3558247;-45.120503652039325
1739209903.3558252;-45.120503652039325
1739209903.3558257;-45.120503652039325
1739209903.3558261;-29.438486411369333
1739209903.3558266;-30.49652367304973
1739209903.355827;-45.120503652039325
1739209903.3558276;-38.13080360867914
1739209903.355828;-33.981070128970906
1739209903.3558285;-33.981070128970906
1739209903.355829;-33.981070128970906
1739209903.3558292;-38.13080360867914
1739209903.3558297;-38.13080360867914
1739209903.3558302;-45.120503652039325
1739209903.3558307;-45.120503652039325
1739209903.3558311;-38.13080360867914
1739209903.3558316;-45.120503652039325
1739209903.355832;-45.120503652039325
1739209903.3558326;-38.13080360867914
1739209903.355833;-38.13080360867914
1739209903.3558335;-38.13080360867914
1739209903.355834;-38.13080360867914
1739209903.3558342;-45.120503652039325
1739209903.3558347;-45.120503652039325
1739209903.3558352;-38.13080360867914
1739209903.3558357;-45.120503652039325
1739209903.3558362;-45.120503652039325
1739209903.3558366;-38.13080360867914
1739209903.355837;-38.13080360867914
1739209903.3558376;-38.13080360867914
1739209903.355838;-45.120503652039325
1739209903.3558385;-45.120503652039325
1739209903.3558388;-45.120503652039325
1739209903.3558393;-38.13080360867914
1739209903.3558397;-38.13080360867914
1739209903.3558402;-33.981070128970906
1739209903.3558407;-45.120503652039325
1739209903.3558412;-38.13080360867914
1739209903.3558416;-35.57807855764607
1739209903.355842;-38.13080360867914
1739209903.3558426;-45.120503652039325
1739209903.355843;-45.120503652039325
1739209903.3558435;-38.13080360867914
1739209903.3558438;-38.13080360867914
1739209903.3558443;-32.816014438256545
1739209903.3558447;-27.267205301931607
1739209903.3558452;-35.57807855764607
1739209903.3558457;-38.13080360867914
1739209903.3558462;-45.120503652039325
1739209903.3558466;-38.13080360867914
1739209903.3558471;-45.120503652039325
1739209903.3558476;-45.120503652039325
1739209903.355848;-45.120503652039325
1739209903.3558483;-35.57807855764607
1739209903.3558488;-38.13080360867914
1739209903.3558493;-38.13080360867914
1739209903.3558497;-45.120503652039325
1739209903.3558502;-45.120503652039325
1739209903.3558507;-45.120503652039325
1739209903.3558512;-38.13080360867914
1739209903.3558517;-38.13080360867914
1739209903.3558521;-38.13080360867914
1739209903.3558526;-38.13080360867914
1739209903.355853;-38.13080360867914
1739209903.3558533;-45.120503652039325
1739209903.3558538;-38.13080360867914
1739209903.3558543;-38.13080360867914
1739209903.3558547;-33.981070128970906
1739209903.3558552;-45.120503652039325
1739209903.3558557;-35.57807855764607
1739209903.3558562;-35.57807855764607
1739209903.3558567;-38.13080360867914
1739209903.3558571;-38.13080360867914
1739209903.3558576;-35.57807855764607
1739209903.355858;-33.981070128970906
1739209903.3558583;-38.13080360867914
1739209903.3558588;-38.13080360867914
1739209903.3558593;-38.13080360867914
1739209903.3558598;-45.120503652039325
1739209903.3558602;-38.13080360867914
1739209903.3558607;-38.13080360867914
