CAN Message; 0x77:a4cd9a0e4d17182a
Timestamp;Amplitude
1739209590.9221199;-45.120503652039325
1739209590.9221256;-38.13080360867914
1739209590.922131;-45.120503652039325
1739209590.9221368;-38.13080360867914
1739209590.9221425;-45.120503652039325
1739209590.9221482;-45.120503652039325
1739209590.922154;-45.120503652039325
1739209590.9221597;-38.13080360867914
1739209590.9221652;-35.57807855764607
1739209590.9221709;-45.120503652039325
1739209590.9221766;-45.120503652039325
1739209590.9221823;-38.13080360867914
1739209590.922188;-45.120503652039325
1739209590.9221935;-45.120503652039325
1739209590.9221992;-45.120503652039325
1739209590.922205;-38.13080360867914
1739209590.9222107;-38.13080360867914
1739209590.9222164;-38.13080360867914
1739209590.9222221;-38.13080360867914
1739209590.9222276;-38.13080360867914
1739209590.9222333;-38.13080360867914
1739209590.922239;-38.13080360867914
1739209590.9222448;-35.57807855764607
1739209590.9222505;-35.57807855764607
1739209590.922256;-38.13080360867914
1739209590.9222617;-45.120503652039325
1739209590.9222674;-33.981070128970906
1739209590.9222732;-31.141103565318915
1739209590.922279;-38.13080360867914
1739209590.9222844;-38.13080360867914
1739209590.92229;-38.13080360867914
1739209590.9222958;-38.13080360867914
1739209590.9223015;-35.57807855764607
1739209590.9223073;-35.57807855764607
1739209590.922313;-38.13080360867914
1739209590.9223185;-38.13080360867914
1739209590.9223242;-38.13080360867914
1739209590.92233;-38.13080360867914
1739209590.9223356;-45.120503652039325
1739209590.9223413;-33.981070128970906
1739209590.9223468;-31.141103565318915
1739209590.9223526;-38.13080360867914
1739209590.9223583;-38.13080360867914
1739209590.922364;-33.981070128970906
1739209590.9223697;-45.120503652039325
1739209590.9223754;-45.120503652039325
1739209590.922381;-38.13080360867914
1739209590.9223866;-33.981070128970906
1739209590.9223924;-33.981070128970906
1739209590.922398;-38.13080360867914
1739209590.9224038;-38.13080360867914
1739209590.9224093;-45.120503652039325
1739209590.922415;-38.13080360867914
1739209590.9224207;-45.120503652039325
1739209590.9224265;-45.120503652039325
1739209590.9224322;-38.13080360867914
1739209590.922438;-31.141103565318915
1739209590.9224434;-45.120503652039325
1739209590.922449;-45.120503652039325
1739209590.9224548;-38.13080360867914
1739209590.9224606;-38.13080360867914
1739209590.9224663;-38.13080360867914
1739209590.9224718;-45.120503652039325
1739209590.9224775;-38.13080360867914
1739209590.9224832;-32.816014438256545
1739209590.922489;-38.13080360867914
1739209590.9224946;-38.13080360867914
1739209590.9225004;-45.120503652039325
1739209590.9225059;-38.13080360867914
1739209590.9225116;-38.13080360867914
1739209590.9225173;-35.57807855764607
1739209590.922523;-33.981070128970906
1739209590.9225287;-31.141103565318915
1739209590.9225342;-38.13080360867914
1739209590.92254;-45.120503652039325
1739209590.9225457;-45.120503652039325
1739209590.9225514;-33.981070128970906
1739209590.922557;-45.120503652039325
1739209590.9225626;-45.120503652039325
1739209590.9225683;-45.120503652039325
1739209590.922574;-35.57807855764607
1739209590.9225798;-38.13080360867914
1739209590.9225855;-45.120503652039325
1739209590.9225912;-45.120503652039325
1739209590.9225967;-45.120503652039325
1739209590.9226024;-45.120503652039325
1739209590.9226081;-38.13080360867914
1739209590.9226139;-38.13080360867914
1739209590.9226196;-27.267205301931607
1739209590.922625;-38.13080360867914
1739209590.9226308;-45.120503652039325
1739209590.9226365;-45.120503652039325
1739209590.9226422;-33.981070128970906
1739209590.922648;-38.13080360867914
1739209590.9226537;-38.13080360867914
1739209590.9226592;-38.13080360867914
1739209590.9226649;-32.81601443825658
1739209590.9226706;-33.981070128970906
1739209590.9226763;-38.13080360867914
1739209590.922682;-45.120503652039325
1739209590.9226875;-45.120503652039325
1739209590.9226933;-38.13080360867914
1739209590.922699;-38.13080360867914
1739209590.9227047;-38.13080360867914
1739209590.9227104;-28.992665084841942
1739209590.9227161;-38.13080360867914
1739209590.9227216;-45.120503652039325
1739209590.9227273;-38.13080360867914
1739209590.922733;-32.816014438256545
1739209590.9227388;-45.120503652039325
1739209590.9227445;-38.13080360867914
1739209590.92275;-45.120503652039325
1739209590.9227557;-33.981070128970956
1739209590.9227614;-38.13080360867914
1739209590.9227672;-38.13080360867914
1739209590.922773;-45.120503652039325
1739209590.9227786;-45.120503652039325
1739209590.922784;-45.120503652039325
1739209590.9227898;-38.13080360867914
1739209590.9227955;-45.120503652039325
1739209590.9228013;-32.816014438256545
1739209590.922807;-38.13080360867914
1739209590.9228125;-38.13080360867914
1739209590.9228182;-38.13080360867914
1739209590.922824;-45.120503652039325
1739209590.9228296;-38.13080360867914
1739209590.9228354;-45.120503652039325
1739209590.922841;-45.120503652039325
1739209590.9228466;-45.120503652039325
1739209590.9228523;-38.13080360867914
1739209590.922858;-45.120503652039325
1739209590.9228637;-45.120503652039325
1739209590.9228694;-45.120503652039325
1739209590.922875;-45.120503652039325
1739209590.9228806;-45.120503652039325
1739209590.9228864;-38.13080360867914
1739209590.922892;-38.13080360867914
1739209590.9228978;-38.13080360867914
1739209590.9229033;-45.120503652039325
1739209590.922909;-45.120503652039325
1739209590.9229147;-35.57807855764607
1739209590.9229205;-38.13080360867914
1739209590.9229262;-38.13080360867914
1739209590.922932;-45.120503652039325
1739209590.9229374;-32.816014438256545
1739209590.922943;-35.57807855764607
1739209590.9229488;-45.120503652039325
1739209590.9229546;-38.13080360867914
1739209590.9229603;-45.120503652039325
1739209590.9229658;-45.120503652039325
1739209590.9229715;-45.120503652039325
1739209590.9229772;-45.120503652039325
1739209590.922983;-45.120503652039325
1739209590.9229887;-45.120503652039325
1739209590.9229944;-38.13080360867914
1739209590.9229999;-45.120503652039325
1739209590.9230056;-38.13080360867914
1739209590.9230113;-38.13080360867914
1739209590.923017;-38.13080360867914
1739209590.9230227;-45.120503652039325
1739209590.9230282;-32.816014438256545
1739209590.923034;-32.816014438256545
1739209590.9230397;-45.120503652039325
1739209590.9230454;-45.120503652039325
1739209590.923051;-35.57807855764607
1739209590.9230568;-38.13080360867914
1739209590.9230623;-38.13080360867914
1739209590.923068;-32.816014438256545
1739209590.9230738;-38.13080360867914
1739209590.9230795;-38.13080360867914
1739209590.9230852;-35.57807855764607
1739209590.9230907;-38.13080360867914
1739209590.9230964;-38.13080360867914
1739209590.9231021;-38.13080360867914
1739209590.9231079;-38.13080360867914
1739209590.9231136;-45.120503652039325
1739209590.9231193;-31.141103565318893
1739209590.9231248;-27.8777449560314
1739209590.9231305;-45.120503652039325
1739209590.9231362;-45.120503652039325
1739209590.923142;-38.13080360867914
1739209590.9231477;-38.13080360867914
1739209590.9231532;-45.120503652039325
1739209590.923159;-35.57807855764607
1739209590.9231646;-45.120503652039325
1739209590.9231703;-33.981070128970956
1739209590.923176;-35.57807855764607
1739209590.9231815;-35.57807855764607
1739209590.9231873;-38.13080360867914
1739209590.923193;-38.13080360867914
1739209590.9231987;-38.13080360867914
1739209590.9232044;-45.120503652039325
1739209590.9232101;-38.13080360867914
1739209590.9232156;-31.141103565318915
1739209590.9232213;-38.13080360867914
1739209590.923227;-38.13080360867914
1739209590.9232328;-33.981070128970906
1739209590.9232385;-38.13080360867914
1739209590.923244;-38.13080360867914
1739209590.9232497;-45.120503652039325
1739209590.9232554;-45.120503652039325
1739209590.9232612;-45.120503652039325
1739209590.923267;-38.13080360867914
1739209590.9232726;-38.13080360867914
1739209590.923278;-38.13080360867914
1739209590.9232838;-45.120503652039325
1739209590.9232895;-38.13080360867914
1739209590.9232953;-38.13080360867914
1739209590.923301;-45.120503652039325
