CAN Message; 0x62:05c27dc988d59ffd
Timestamp;Amplitude
1739209715.3503523;-45.120503652039325
1739209715.3503587;-45.120503652039325
1739209715.350365;-38.13080360867914
1739209715.3503714;-45.120503652039325
1739209715.3503776;-38.13080360867914
1739209715.350384;-45.120503652039325
1739209715.3503902;-45.120503652039325
1739209715.3503966;-38.13080360867914
1739209715.3504028;-45.120503652039325
1739209715.3504093;-45.120503652039325
1739209715.3504155;-25.826314394896354
1739209715.350422;-32.816014438256545
1739209715.350428;-45.120503652039325
1739209715.3504345;-45.120503652039325
1739209715.3504407;-35.57807855764607
1739209715.3504472;-35.57807855764607
1739209715.3504534;-45.120503652039325
1739209715.3504598;-38.13080360867914
1739209715.350466;-45.120503652039325
1739209715.3504725;-45.120503652039325
1739209715.3504786;-38.13080360867914
1739209715.350485;-45.120503652039325
1739209715.3504913;-45.120503652039325
1739209715.3504977;-45.120503652039325
1739209715.350504;-32.816014438256545
1739209715.3505104;-38.13080360867914
1739209715.3505166;-45.120503652039325
1739209715.350523;-45.120503652039325
1739209715.3505292;-45.120503652039325
1739209715.3505356;-45.120503652039325
1739209715.3505418;-45.120503652039325
1739209715.3505483;-45.120503652039325
1739209715.3505545;-38.13080360867914
1739209715.350561;-38.13080360867914
1739209715.350567;-38.13080360867914
1739209715.3505735;-35.57807855764607
1739209715.3505797;-45.120503652039325
1739209715.3505862;-45.120503652039325
1739209715.3505924;-38.13080360867914
1739209715.3505988;-38.13080360867914
1739209715.350605;-45.120503652039325
1739209715.3506114;-33.981070128970906
1739209715.3506176;-45.120503652039325
1739209715.350624;-33.981070128970956
1739209715.3506303;-38.13080360867914
1739209715.3506367;-45.120503652039325
1739209715.350643;-45.120503652039325
1739209715.3506494;-45.120503652039325
1739209715.3506556;-45.120503652039325
1739209715.350662;-45.120503652039325
1739209715.3506682;-38.13080360867914
1739209715.3506746;-35.57807855764607
1739209715.3506808;-38.13080360867914
1739209715.3506873;-45.120503652039325
1739209715.3506935;-45.120503652039325
1739209715.3507;-38.13080360867914
1739209715.350706;-45.120503652039325
1739209715.3507125;-38.13080360867914
1739209715.3507187;-38.13080360867914
1739209715.3507252;-38.13080360867914
1739209715.3507314;-45.120503652039325
1739209715.3507378;-45.120503652039325
1739209715.350744;-45.120503652039325
1739209715.3507504;-45.120503652039325
1739209715.3507566;-45.120503652039325
1739209715.350763;-33.981070128970906
1739209715.3507693;-45.120503652039325
1739209715.3507757;-45.120503652039325
1739209715.350782;-45.120503652039325
1739209715.3507884;-45.120503652039325
1739209715.3507946;-38.13080360867914
1739209715.350801;-45.120503652039325
1739209715.3508072;-38.13080360867914
1739209715.3508136;-45.120503652039325
1739209715.3508198;-38.13080360867914
1739209715.3508263;-35.57807855764607
1739209715.3508325;-38.13080360867914
1739209715.350839;-35.57807855764607
1739209715.350845;-35.57807855764607
1739209715.3508515;-38.13080360867914
1739209715.3508577;-45.120503652039325
1739209715.3508642;-45.120503652039325
1739209715.3508704;-45.120503652039325
1739209715.3508768;-38.13080360867914
1739209715.350883;-45.120503652039325
1739209715.3508894;-38.13080360867914
1739209715.3508956;-35.57807855764607
1739209715.350902;-38.13080360867914
1739209715.3509083;-38.13080360867914
1739209715.3509147;-38.13080360867914
1739209715.350921;-45.120503652039325
1739209715.3509274;-38.13080360867914
1739209715.3509336;-45.120503652039325
1739209715.35094;-45.120503652039325
1739209715.3509462;-35.57807855764607
1739209715.3509526;-45.120503652039325
1739209715.3509588;-45.120503652039325
1739209715.3509653;-38.13080360867914
1739209715.3509715;-35.57807855764607
1739209715.350978;-33.981070128970906
1739209715.350984;-33.981070128970906
1739209715.3509905;-38.13080360867914
1739209715.3509967;-38.13080360867914
1739209715.3510032;-45.120503652039325
1739209715.3510094;-32.816014438256545
1739209715.3510158;-38.13080360867914
1739209715.351022;-45.120503652039325
1739209715.3510284;-38.13080360867914
1739209715.3510346;-33.981070128970906
1739209715.351041;-38.13080360867914
1739209715.3510473;-38.13080360867914
1739209715.3510537;-45.120503652039325
1739209715.35106;-38.13080360867914
1739209715.3510664;-38.13080360867914
1739209715.3510725;-38.13080360867914
1739209715.351079;-38.13080360867914
1739209715.3510852;-31.141103565318915
1739209715.3510916;-35.57807855764607
1739209715.3510978;-45.120503652039325
1739209715.3511043;-38.13080360867914
1739209715.3511105;-31.141103565318915
1739209715.351117;-38.13080360867914
1739209715.351123;-45.120503652039325
1739209715.3511295;-45.120503652039325
1739209715.3511357;-35.57807855764607
1739209715.3511422;-31.141103565318915
1739209715.3511484;-45.120503652039325
1739209715.3511548;-38.13080360867914
1739209715.351161;-38.13080360867914
1739209715.3511672;-38.13080360867914
1739209715.3511736;-45.120503652039325
1739209715.3511798;-45.120503652039325
1739209715.3511863;-38.13080360867914
1739209715.3511925;-38.13080360867914
1739209715.351199;-45.120503652039325
1739209715.351205;-38.13080360867914
1739209715.3512115;-35.57807855764607
1739209715.3512177;-35.57807855764607
1739209715.3512242;-45.120503652039325
1739209715.3512304;-33.981070128970906
1739209715.3512368;-25.826314394896357
1739209715.351243;-38.13080360867914
1739209715.3512495;-45.120503652039325
1739209715.3512557;-38.13080360867914
1739209715.351262;-35.57807855764607
1739209715.3512683;-38.13080360867914
1739209715.3512747;-38.13080360867914
1739209715.351281;-45.120503652039325
1739209715.3512874;-32.81601443825658
1739209715.3512936;-38.13080360867914
1739209715.3513;-45.120503652039325
1739209715.3513062;-38.13080360867914
1739209715.3513126;-45.120503652039325
1739209715.3513188;-45.120503652039325
1739209715.3513253;-35.57807855764607
1739209715.3513315;-38.13080360867914
1739209715.351338;-45.120503652039325
1739209715.351344;-38.13080360867914
1739209715.3513505;-30.49652367304973
1739209715.3513567;-32.816014438256545
1739209715.3513632;-38.13080360867914
1739209715.3513694;-38.13080360867914
1739209715.3513758;-38.13080360867914
1739209715.351382;-38.13080360867914
1739209715.3513885;-38.13080360867914
1739209715.3513947;-38.13080360867914
1739209715.351401;-38.13080360867914
1739209715.3514073;-33.981070128970906
1739209715.3514137;-45.120503652039325
1739209715.35142;-45.120503652039325
1739209715.3514264;-32.816014438256545
1739209715.3514326;-38.13080360867914
1739209715.351439;-28.992665084841967
1739209715.3514452;-45.120503652039325
1739209715.3514516;-35.57807855764607
1739209715.3514578;-38.13080360867914
1739209715.3514643;-38.13080360867914
1739209715.3514705;-38.13080360867914
1739209715.351477;-45.120503652039325
1739209715.351483;-45.120503652039325
1739209715.3514895;-30.49652367304973
1739209715.3514957;-35.57807855764607
1739209715.3515022;-45.120503652039325
1739209715.3515084;-45.120503652039325
1739209715.3515148;-38.13080360867914
1739209715.351521;-45.120503652039325
1739209715.3515275;-35.57807855764607
1739209715.3515337;-35.57807855764607
1739209715.35154;-45.120503652039325
1739209715.3515463;-45.120503652039325
1739209715.3515527;-45.120503652039325
1739209715.351559;-45.120503652039325
1739209715.3515654;-32.816014438256545
1739209715.3515716;-32.816014438256545
1739209715.351578;-45.120503652039325
1739209715.3515842;-45.120503652039325
1739209715.3515906;-32.816014438256545
1739209715.3515968;-38.13080360867914
1739209715.3516033;-45.120503652039325
1739209715.3516095;-38.13080360867914
1739209715.351616;-45.120503652039325
1739209715.351622;-33.981070128970906
1739209715.3516285;-45.120503652039325
1739209715.3516347;-45.120503652039325
1739209715.3516412;-32.816014438256545
1739209715.3516474;-35.57807855764607
1739209715.3516538;-45.120503652039325
1739209715.35166;-45.120503652039325
1739209715.3516665;-32.816014438256545
1739209715.3516726;-45.120503652039325
1739209715.351679;-38.13080360867914
1739209715.3516853;-33.981070128970906
1739209715.3516917;-45.120503652039325
1739209715.351698;-38.13080360867914
1739209715.3517044;-45.120503652039325
1739209715.3517106;-45.120503652039325
1739209715.351717;-35.57807855764607
1739209715.3517232;-33.981070128970906
1739209715.3517296;-45.120503652039325
1739209715.3517358;-38.13080360867914
1739209715.3517423;-35.57807855764607
1739209715.3517485;-35.57807855764607
1739209715.351755;-45.120503652039325
1739209715.351761;-45.120503652039325
