CAN Message; 0x98:0000ca9779d7a02a
Timestamp;Amplitude
1739209751.17553;-38.13080360867914
1739209751.1755347;-33.981070128970906
1739209751.1755395;-45.120503652039325
1739209751.1755443;-38.13080360867914
1739209751.175549;-38.13080360867914
1739209751.1755538;-38.13080360867914
1739209751.1755586;-45.120503652039325
1739209751.1755633;-45.120503652039325
1739209751.1755679;-45.120503652039325
1739209751.1755726;-45.120503652039325
1739209751.1755774;-38.13080360867914
1739209751.1755822;-45.120503652039325
1739209751.175587;-32.816014438256545
1739209751.1755917;-26.487275050834715
1739209751.1755965;-38.13080360867914
1739209751.1756012;-38.13080360867914
1739209751.175606;-38.13080360867914
1739209751.1756108;-31.141103565318915
1739209751.1756155;-45.120503652039325
1739209751.1756203;-45.120503652039325
1739209751.175625;-38.13080360867914
1739209751.1756299;-38.13080360867914
1739209751.1756346;-45.120503652039325
1739209751.1756392;-45.120503652039325
1739209751.175644;-45.120503652039325
1739209751.1756487;-45.120503652039325
1739209751.1756535;-45.120503652039325
1739209751.1756582;-45.120503652039325
1739209751.175663;-38.13080360867914
1739209751.1756678;-31.141103565318915
1739209751.1756725;-38.13080360867914
1739209751.1756773;-45.120503652039325
1739209751.175682;-45.120503652039325
1739209751.1756868;-38.13080360867914
1739209751.1756916;-38.13080360867914
1739209751.1756964;-45.120503652039325
1739209751.1757011;-45.120503652039325
1739209751.175706;-38.13080360867914
1739209751.1757107;-45.120503652039325
1739209751.1757154;-45.120503652039325
1739209751.17572;-38.13080360867914
1739209751.1757247;-45.120503652039325
1739209751.1757295;-38.13080360867914
1739209751.1757343;-38.13080360867914
1739209751.175739;-45.120503652039325
1739209751.1757438;-45.120503652039325
1739209751.1757486;-45.120503652039325
1739209751.1757534;-38.13080360867914
1739209751.1757581;-38.13080360867914
1739209751.175763;-38.13080360867914
1739209751.1757677;-38.13080360867914
1739209751.1757724;-38.13080360867914
1739209751.1757772;-45.120503652039325
1739209751.175782;-31.141103565318915
1739209751.1757867;-33.981070128970906
1739209751.1757913;-45.120503652039325
1739209751.175796;-45.120503652039325
1739209751.1758008;-38.13080360867914
1739209751.1758056;-38.13080360867914
1739209751.1758103;-38.13080360867914
1739209751.175815;-38.13080360867914
1739209751.1758199;-30.49652367304973
1739209751.1758246;-33.981070128970906
1739209751.1758294;-38.13080360867914
1739209751.1758342;-45.120503652039325
1739209751.175839;-45.120503652039325
1739209751.1758437;-35.57807855764607
1739209751.1758485;-33.981070128970906
1739209751.1758533;-45.120503652039325
1739209751.175858;-31.141103565318915
1739209751.1758628;-33.981070128970906
1739209751.1758676;-38.13080360867914
1739209751.175872;-38.13080360867914
1739209751.1758769;-45.120503652039325
1739209751.1758816;-35.57807855764607
1739209751.1758864;-45.120503652039325
1739209751.1758912;-45.120503652039325
1739209751.175896;-38.13080360867914
1739209751.1759007;-38.13080360867914
1739209751.1759055;-45.120503652039325
1739209751.1759102;-38.13080360867914
1739209751.175915;-45.120503652039325
1739209751.1759198;-45.120503652039325
1739209751.1759245;-45.120503652039325
1739209751.1759293;-38.13080360867914
1739209751.175934;-35.57807855764607
1739209751.1759388;-38.13080360867914
1739209751.1759434;-45.120503652039325
1739209751.1759481;-33.981070128970906
1739209751.175953;-35.57807855764607
1739209751.1759577;-38.13080360867914
1739209751.1759624;-38.13080360867914
1739209751.1759672;-38.13080360867914
1739209751.175972;-45.120503652039325
1739209751.1759768;-45.120503652039325
1739209751.1759815;-45.120503652039325
1739209751.1759863;-38.13080360867914
1739209751.175991;-33.981070128970906
1739209751.1759958;-38.13080360867914
1739209751.1760006;-38.13080360867914
1739209751.1760054;-33.981070128970906
1739209751.1760101;-33.981070128970906
1739209751.176015;-45.120503652039325
1739209751.1760197;-45.120503652039325
1739209751.1760242;-35.57807855764607
1739209751.176029;-38.13080360867914
1739209751.1760337;-45.120503652039325
1739209751.1760385;-45.120503652039325
1739209751.1760433;-38.13080360867914
1739209751.176048;-38.13080360867914
1739209751.1760528;-38.13080360867914
1739209751.1760576;-45.120503652039325
1739209751.1760623;-33.981070128970906
1739209751.176067;-35.57807855764607
1739209751.176072;-32.816014438256545
1739209751.1760767;-38.13080360867914
1739209751.1760814;-38.13080360867914
1739209751.1760862;-38.13080360867914
1739209751.176091;-38.13080360867914
1739209751.1760955;-45.120503652039325
1739209751.1761003;-45.120503652039325
1739209751.176105;-38.13080360867914
1739209751.1761098;-45.120503652039325
1739209751.1761146;-45.120503652039325
1739209751.1761193;-45.120503652039325
1739209751.176124;-45.120503652039325
1739209751.1761289;-38.13080360867914
1739209751.1761336;-45.120503652039325
1739209751.1761384;-45.120503652039325
1739209751.1761432;-45.120503652039325
1739209751.176148;-32.816014438256545
1739209751.1761527;-35.57807855764607
1739209751.1761575;-45.120503652039325
1739209751.1761622;-45.120503652039325
1739209751.176167;-38.13080360867914
1739209751.1761718;-45.120503652039325
1739209751.1761763;-45.120503652039325
1739209751.176181;-45.120503652039325
1739209751.1761858;-45.120503652039325
1739209751.1761906;-38.13080360867914
1739209751.1761954;-38.13080360867914
1739209751.1762002;-45.120503652039325
1739209751.176205;-35.57807855764607
1739209751.1762097;-35.57807855764607
1739209751.1762145;-38.13080360867914
1739209751.1762192;-45.120503652039325
1739209751.176224;-32.816014438256545
1739209751.1762288;-33.981070128970906
1739209751.1762335;-45.120503652039325
1739209751.1762383;-45.120503652039325
1739209751.176243;-38.13080360867914
1739209751.1762476;-33.981070128970906
1739209751.1762524;-45.120503652039325
1739209751.1762571;-45.120503652039325
1739209751.176262;-45.120503652039325
1739209751.1762667;-45.120503652039325
1739209751.1762714;-45.120503652039325
1739209751.1762762;-38.13080360867914
1739209751.176281;-38.13080360867914
1739209751.1762857;-38.13080360867914
1739209751.1762905;-38.13080360867914
1739209751.1762953;-45.120503652039325
1739209751.1763;-38.13080360867914
1739209751.1763048;-45.120503652039325
1739209751.1763096;-45.120503652039325
1739209751.1763144;-45.120503652039325
1739209751.1763191;-35.57807855764607
1739209751.176324;-35.57807855764607
1739209751.1763284;-35.57807855764607
1739209751.1763332;-32.816014438256545
1739209751.176338;-45.120503652039325
1739209751.1763427;-38.13080360867914
1739209751.1763475;-35.57807855764607
1739209751.1763523;-35.57807855764607
1739209751.176357;-45.120503652039325
1739209751.1763618;-45.120503652039325
1739209751.1763666;-33.981070128970906
1739209751.1763713;-38.13080360867914
1739209751.176376;-38.13080360867914
1739209751.1763809;-38.13080360867914
1739209751.1763856;-31.141103565318915
1739209751.1763904;-38.13080360867914
1739209751.1763952;-35.57807855764607
1739209751.1763997;-35.57807855764607
1739209751.1764045;-38.13080360867914
1739209751.1764092;-35.57807855764607
1739209751.176414;-38.13080360867914
1739209751.1764188;-38.13080360867914
1739209751.1764235;-38.13080360867914
1739209751.1764283;-35.57807855764607
1739209751.176433;-38.13080360867914
1739209751.1764379;-38.13080360867914
1739209751.1764426;-38.13080360867914
1739209751.1764474;-38.13080360867914
1739209751.1764522;-45.120503652039325
1739209751.176457;-45.120503652039325
1739209751.1764617;-32.816014438256545
1739209751.1764665;-35.57807855764607
1739209751.1764712;-45.120503652039325
1739209751.176476;-45.120503652039325
1739209751.1764805;-45.120503652039325
1739209751.1764853;-45.120503652039325
1739209751.17649;-38.13080360867914
1739209751.1764948;-45.120503652039325
1739209751.1764996;-45.120503652039325
1739209751.1765044;-45.120503652039325
1739209751.1765091;-45.120503652039325
1739209751.176514;-31.141103565318915
1739209751.1765187;-38.13080360867914
1739209751.1765234;-45.120503652039325
1739209751.1765282;-45.120503652039325
1739209751.176533;-45.120503652039325
1739209751.1765378;-45.120503652039325
1739209751.1804001;-38.13080360867914
1739209751.1804075;-45.120503652039325
1739209751.180415;-45.120503652039325
1739209751.1804223;-45.120503652039325
1739209751.1804297;-45.120503652039325
1739209751.1804368;-38.13080360867914
1739209751.1804442;-45.120503652039325
1739209751.1804516;-45.120503652039325
1739209751.180459;-45.120503652039325
1739209751.1804664;-45.120503652039325
1739209751.1804738;-38.13080360867914
1739209751.1804812;-38.13080360867914
1739209751.1804886;-38.13080360867914
1739209751.180496;-45.120503652039325
1739209751.1805034;-38.13080360867914
1739209751.1805108;-45.120503652039325
1739209751.180518;-30.49652367304973
1739209751.1805253;-32.816014438256545
1739209751.1805327;-45.120503652039325
1739209751.18054;-38.13080360867914
1739209751.1805475;-38.13080360867914
1739209751.1805549;-35.57807855764607
1739209751.1805623;-38.13080360867914
1739209751.1805696;-35.57807855764607
1739209751.180577;-45.120503652039325
1739209751.1805844;-38.13080360867914
1739209751.1805916;-38.13080360867914
1739209751.180599;-45.120503652039325
1739209751.1806064;-45.120503652039325
1739209751.1806138;-45.120503652039325
1739209751.1806211;-45.120503652039325
1739209751.1806285;-45.120503652039325
1739209751.180636;-38.13080360867914
1739209751.1806433;-38.13080360867914
1739209751.1806507;-38.13080360867914
1739209751.180658;-45.120503652039325
1739209751.1806655;-38.13080360867914
1739209751.1806726;-38.13080360867914
1739209751.18068;-45.120503652039325
1739209751.1806874;-45.120503652039325
1739209751.1806948;-32.816014438256545
1739209751.1807022;-30.49652367304973
1739209751.1807096;-45.120503652039325
1739209751.180717;-45.120503652039325
1739209751.1807244;-45.120503652039325
1739209751.1807318;-35.57807855764607
1739209751.1807392;-38.13080360867914
1739209751.1807466;-35.57807855764607
1739209751.1807537;-38.13080360867914
1739209751.180761;-38.13080360867914
1739209751.1807685;-45.120503652039325
1739209751.180776;-38.13080360867914
1739209751.1807833;-33.981070128970906
1739209751.1807907;-45.120503652039325
1739209751.180798;-38.13080360867914
1739209751.1808054;-38.13080360867914
1739209751.1808128;-32.816014438256545
1739209751.1808202;-26.991370085610722
1739209751.1808276;-45.120503652039325
1739209751.1808348;-38.13080360867914
