CAN Message; 0x1bb:000044b899a566a2
Timestamp;Amplitude
1739209793.2913191;-45.120503652039325
1739209793.2913296;-38.13080360867914
1739209793.2913399;-38.13080360867914
1739209793.2913504;-45.120503652039325
1739209793.2913606;-45.120503652039325
1739209793.2913709;-45.120503652039325
1739209793.2913814;-35.57807855764607
1739209793.2913916;-35.57807855764607
1739209793.291402;-45.120503652039325
1739209793.2914124;-45.120503652039325
1739209793.2914228;-35.57807855764607
1739209793.291433;-45.120503652039325
1739209793.2914433;-38.13080360867914
1739209793.2914538;-35.57807855764607
1739209793.291464;-45.120503652039325
1739209793.2914746;-45.120503652039325
1739209793.2914848;-45.120503652039325
1739209793.291495;-45.120503652039325
1739209793.2915056;-45.120503652039325
1739209793.2915158;-45.120503652039325
1739209793.2915263;-38.13080360867914
1739209793.2915366;-45.120503652039325
1739209793.291547;-31.141103565318893
1739209793.2915573;-38.13080360867914
1739209793.2915676;-38.13080360867914
1739209793.291578;-38.13080360867914
1739209793.2915883;-45.120503652039325
1739209793.2915988;-38.13080360867914
1739209793.291609;-32.816014438256545
1739209793.2916193;-38.13080360867914
1739209793.2916298;-35.57807855764607
1739209793.29164;-38.13080360867914
1739209793.2916505;-38.13080360867914
1739209793.2916608;-38.13080360867914
1739209793.291671;-38.13080360867914
1739209793.2916815;-38.13080360867914
1739209793.2916918;-38.13080360867914
1739209793.2917023;-32.816014438256545
1739209793.2917125;-45.120503652039325
1739209793.291723;-45.120503652039325
1739209793.2917333;-35.57807855764607
1739209793.2917435;-33.981070128970906
1739209793.291754;-45.120503652039325
1739209793.2917643;-38.13080360867914
1739209793.2917747;-33.981070128970906
1739209793.291785;-45.120503652039325
1739209793.2917953;-31.141103565318893
1739209793.2918057;-38.13080360867914
1739209793.291816;-38.13080360867914
1739209793.2918265;-38.13080360867914
1739209793.2918367;-38.13080360867914
1739209793.291847;-45.120503652039325
1739209793.2918575;-45.120503652039325
1739209793.2918677;-38.13080360867914
1739209793.2918782;-45.120503652039325
1739209793.2918885;-45.120503652039325
1739209793.291899;-38.13080360867914
1739209793.2919092;-45.120503652039325
1739209793.2919195;-35.57807855764607
1739209793.29193;-35.57807855764607
1739209793.2919402;-45.120503652039325
1739209793.2919507;-45.120503652039325
1739209793.291961;-38.13080360867914
1739209793.2919712;-38.13080360867914
1739209793.2919817;-45.120503652039325
1739209793.291992;-45.120503652039325
1739209793.2920024;-38.13080360867914
1739209793.2920127;-38.13080360867914
1739209793.2920232;-38.13080360867914
1739209793.2920334;-38.13080360867914
1739209793.2920437;-45.120503652039325
1739209793.2920542;-38.13080360867914
1739209793.2920644;-45.120503652039325
1739209793.292075;-38.13080360867914
1739209793.2920852;-32.816014438256545
1739209793.2920954;-35.57807855764607
1739209793.292106;-45.120503652039325
1739209793.2921162;-45.120503652039325
1739209793.2921267;-38.13080360867914
1739209793.292137;-31.141103565318915
1739209793.2921472;-38.13080360867914
1739209793.2921576;-45.120503652039325
1739209793.292168;-45.120503652039325
1739209793.2921784;-38.13080360867914
1739209793.2921886;-38.13080360867914
1739209793.2921991;-45.120503652039325
1739209793.2922094;-45.120503652039325
1739209793.2922196;-38.13080360867914
1739209793.2922301;-45.120503652039325
1739209793.2922404;-38.13080360867914
1739209793.2922509;-45.120503652039325
1739209793.2922611;-38.13080360867914
1739209793.2922714;-38.13080360867914
1739209793.2922819;-45.120503652039325
1739209793.292292;-45.120503652039325
1739209793.2923026;-45.120503652039325
1739209793.2923129;-45.120503652039325
1739209793.292323;-45.120503652039325
1739209793.2923336;-45.120503652039325
1739209793.2923439;-45.120503652039325
1739209793.2923543;-35.57807855764607
1739209793.2923646;-38.13080360867914
1739209793.292375;-45.120503652039325
1739209793.2923853;-38.13080360867914
1739209793.2923956;-38.13080360867914
1739209793.292406;-38.13080360867914
1739209793.2924163;-38.13080360867914
1739209793.2924268;-38.13080360867914
1739209793.292437;-35.57807855764607
1739209793.2924473;-35.57807855764607
1739209793.2924578;-45.120503652039325
1739209793.292468;-31.141103565318915
1739209793.2924786;-33.981070128970906
1739209793.2924888;-38.13080360867914
1739209793.2924993;-45.120503652039325
1739209793.2925096;-38.13080360867914
1739209793.2925198;-38.13080360867914
1739209793.2925303;-38.13080360867914
1739209793.2925406;-38.13080360867914
1739209793.292551;-32.816014438256545
1739209793.2925613;-31.141103565318915
1739209793.2925715;-32.816014438256545
1739209793.292582;-45.120503652039325
1739209793.2925923;-38.13080360867914
1739209793.2926028;-38.13080360867914
1739209793.292613;-38.13080360867914
1739209793.2926233;-38.13080360867914
1739209793.2926338;-38.13080360867914
1739209793.292644;-33.981070128970906
1739209793.2926545;-45.120503652039325
1739209793.2926648;-38.13080360867914
1739209793.2926753;-38.13080360867914
1739209793.2926855;-45.120503652039325
1739209793.2926958;-38.13080360867914
1739209793.2927063;-33.981070128970906
1739209793.2927165;-45.120503652039325
1739209793.292727;-45.120503652039325
1739209793.2927372;-45.120503652039325
1739209793.2927475;-45.120503652039325
1739209793.292758;-38.13080360867914
1739209793.2927682;-45.120503652039325
1739209793.2927787;-45.120503652039325
1739209793.292789;-38.13080360867914
1739209793.2927992;-38.13080360867914
1739209793.2928097;-45.120503652039325
1739209793.29282;-45.120503652039325
1739209793.2928305;-35.57807855764607
1739209793.2928407;-38.13080360867914
1739209793.2928512;-45.120503652039325
1739209793.2928615;-38.13080360867914
1739209793.2928717;-35.57807855764607
1739209793.2928822;-32.816014438256545
1739209793.2928925;-28.992665084841942
1739209793.292903;-45.120503652039325
1739209793.2929132;-38.13080360867914
1739209793.2929235;-35.57807855764607
1739209793.292934;-45.120503652039325
1739209793.2929442;-45.120503652039325
1739209793.2929547;-32.816014438256545
1739209793.292965;-38.13080360867914
1739209793.2929754;-31.141103565318943
1739209793.2929857;-45.120503652039325
1739209793.292996;-45.120503652039325
1739209793.2930064;-38.13080360867914
1739209793.2930167;-38.13080360867914
1739209793.2930272;-38.13080360867914
1739209793.2930374;-45.120503652039325
1739209793.2930477;-38.13080360867914
1739209793.2930582;-30.49652367304973
1739209793.2930684;-45.120503652039325
1739209793.293079;-45.120503652039325
1739209793.2930892;-45.120503652039325
1739209793.2930994;-45.120503652039325
1739209793.29311;-45.120503652039325
1739209793.2931201;-45.120503652039325
1739209793.2931306;-45.120503652039325
1739209793.293141;-45.120503652039325
1739209793.2931514;-45.120503652039325
1739209793.2931616;-45.120503652039325
1739209793.293172;-45.120503652039325
1739209793.2931824;-35.57807855764607
1739209793.2931926;-38.13080360867914
1739209793.293203;-45.120503652039325
1739209793.2932134;-45.120503652039325
1739209793.2932236;-35.57807855764607
1739209793.293234;-31.141103565318915
1739209793.2932444;-45.120503652039325
1739209793.2932549;-45.120503652039325
1739209793.293265;-38.13080360867914
1739209793.2932754;-33.981070128970906
1739209793.2932858;-45.120503652039325
1739209793.293296;-38.13080360867914
1739209793.2933066;-31.141103565318915
1739209793.2933168;-45.120503652039325
1739209793.2933273;-45.120503652039325
1739209793.2933376;-38.13080360867914
1739209793.2933478;-33.981070128970906
1739209793.2933583;-38.13080360867914
1739209793.2933686;-45.120503652039325
1739209793.293379;-45.120503652039325
1739209793.2933893;-45.120503652039325
1739209793.2933996;-38.13080360867914
1739209793.29341;-45.120503652039325
1739209793.2934203;-45.120503652039325
1739209793.2934308;-45.120503652039325
1739209793.293441;-33.981070128970906
1739209793.2934515;-45.120503652039325
1739209793.2934618;-38.13080360867914
1739209793.293472;-35.57807855764607
1739209793.2934825;-45.120503652039325
1739209793.2934928;-38.13080360867914
1739209793.2935033;-38.13080360867914
1739209793.2935135;-45.120503652039325
1739209793.2935238;-45.120503652039325
1739209793.2935343;-38.13080360867914
1739209793.2935445;-38.13080360867914
1739209793.293555;-45.120503652039325
1739209793.2935653;-45.120503652039325
1739209793.2935755;-38.13080360867914
1739209793.293586;-38.13080360867914
1739209793.2935963;-38.13080360867914
1739209793.2936068;-38.13080360867914
1739209793.293617;-45.120503652039325
1739209793.2936275;-45.120503652039325
1739209793.2936378;-38.13080360867914
1739209793.293648;-38.13080360867914
1739209793.2936585;-45.120503652039325
1739209793.2936687;-38.13080360867914
1739209793.2936792;-45.120503652039325
1739209793.2936895;-38.13080360867914
1739209793.2936997;-38.13080360867914
1739209793.2937102;-45.120503652039325
1739209793.2937205;-38.13080360867914
1739209793.293731;-38.13080360867914
1739209793.2937412;-38.13080360867914
1739209793.2937515;-45.120503652039325
1739209793.293762;-45.120503652039325
1739209793.2937722;-45.120503652039325
1739209793.2937827;-45.120503652039325
1739209793.293793;-45.120503652039325
1739209793.2938035;-38.13080360867914
1739209793.2938137;-33.981070128970906
1739209793.293824;-45.120503652039325
1739209793.2938344;-45.120503652039325
1739209793.2938447;-38.13080360867914
1739209793.2938552;-38.13080360867914
1739209793.2938654;-45.120503652039325
1739209793.2938757;-45.120503652039325
1739209793.2938862;-45.120503652039325
1739209793.2938964;-45.120503652039325
1739209793.293907;-45.120503652039325
1739209793.2939172;-45.120503652039325
1739209793.2939277;-45.120503652039325
1739209793.293938;-45.120503652039325
1739209793.2939482;-45.120503652039325
1739209793.2939587;-45.120503652039325
1739209793.293969;-45.120503652039325
1739209793.2939794;-45.120503652039325
1739209793.2939897;-45.120503652039325
1739209793.294;-45.120503652039325
1739209793.2940104;-35.57807855764607
1739209793.2940207;-35.57807855764607
1739209793.2940311;-45.120503652039325
1739209793.2940414;-45.120503652039325
1739209793.2940516;-38.13080360867914
1739209793.2940621;-27.267205301931607
1739209793.2940724;-45.120503652039325
1739209793.2940829;-38.13080360867914
1739209793.2940931;-35.57807855764607
1739209793.2941036;-33.981070128970906
1739209793.2941139;-45.120503652039325
1739209793.2941241;-45.120503652039325
1739209793.2941346;-35.57807855764607
1739209793.2941449;-30.49652367304973
1739209793.2941554;-45.120503652039325
1739209793.2941656;-45.120503652039325
1739209793.2941759;-45.120503652039325
1739209793.2941864;-38.13080360867914
1739209793.2941966;-45.120503652039325
1739209793.294207;-38.13080360867914
1739209793.2942173;-38.13080360867914
1739209793.2942276;-31.141103565318915
1739209793.294238;-38.13080360867914
1739209793.2942483;-45.120503652039325
1739209793.2942588;-35.57807855764607
1739209793.294269;-31.141103565318915
1739209793.2942796;-45.120503652039325
