CAN Message; 0x77:8139792eda371f0a
Timestamp;Amplitude
1739209634.6018834;-31.141103565318915
1739209634.6018865;-35.57807855764607
1739209634.6018896;-45.120503652039325
1739209634.6018927;-45.120503652039325
1739209634.6018958;-35.57807855764607
1739209634.601899;-38.13080360867914
1739209634.601902;-45.120503652039325
1739209634.601905;-33.981070128970906
1739209634.6019082;-38.13080360867914
1739209634.6019113;-45.120503652039325
1739209634.6019144;-32.816014438256545
1739209634.6019175;-28.21854285175415
1739209634.6019206;-45.120503652039325
1739209634.6019237;-45.120503652039325
1739209634.6019268;-38.13080360867914
1739209634.60193;-38.13080360867914
1739209634.601933;-45.120503652039325
1739209634.601936;-45.120503652039325
1739209634.6019392;-45.120503652039325
1739209634.6019423;-45.120503652039325
1739209634.6019454;-45.120503652039325
1739209634.6019485;-45.120503652039325
1739209634.6019516;-38.13080360867914
1739209634.6019547;-32.816014438256545
1739209634.6019578;-35.57807855764607
1739209634.601961;-45.120503652039325
1739209634.601964;-38.13080360867914
1739209634.601967;-35.57807855764607
1739209634.6019702;-45.120503652039325
1739209634.6019733;-45.120503652039325
1739209634.6019764;-38.13080360867914
1739209634.6019795;-38.13080360867914
1739209634.6019826;-35.57807855764607
1739209634.6019857;-38.13080360867914
1739209634.6019888;-38.13080360867914
1739209634.601992;-35.57807855764607
1739209634.601995;-45.120503652039325
1739209634.601998;-45.120503652039325
1739209634.6020012;-35.57807855764607
1739209634.6020043;-32.816014438256545
1739209634.6020074;-45.120503652039325
1739209634.6020105;-35.57807855764607
1739209634.6020136;-35.57807855764607
1739209634.6020167;-45.120503652039325
1739209634.6020198;-38.13080360867914
1739209634.602023;-38.13080360867914
1739209634.602026;-45.120503652039325
1739209634.602029;-45.120503652039325
1739209634.6020322;-38.13080360867914
1739209634.6020353;-45.120503652039325
1739209634.6020384;-45.120503652039325
1739209634.6020415;-32.816014438256545
1739209634.6020446;-38.13080360867914
1739209634.6020477;-45.120503652039325
1739209634.6020508;-38.13080360867914
1739209634.6020539;-35.57807855764607
1739209634.6020572;-45.120503652039325
1739209634.6020603;-45.120503652039325
1739209634.6020634;-45.120503652039325
1739209634.6020665;-45.120503652039325
1739209634.6020696;-45.120503652039325
1739209634.6020727;-38.13080360867914
1739209634.6020758;-38.13080360867914
1739209634.602079;-45.120503652039325
1739209634.602082;-45.120503652039325
1739209634.602085;-45.120503652039325
1739209634.6020882;-45.120503652039325
1739209634.6020913;-45.120503652039325
1739209634.6020944;-38.13080360867914
1739209634.6020975;-38.13080360867914
1739209634.6021006;-45.120503652039325
1739209634.6021037;-38.13080360867914
1739209634.6021068;-45.120503652039325
1739209634.60211;-35.57807855764607
1739209634.602113;-38.13080360867914
1739209634.602116;-38.13080360867914
1739209634.6021192;-38.13080360867914
1739209634.6021223;-45.120503652039325
1739209634.6021254;-45.120503652039325
1739209634.6021285;-38.13080360867914
1739209634.6021316;-38.13080360867914
1739209634.6021347;-35.57807855764607
1739209634.6021378;-35.57807855764607
1739209634.602141;-45.120503652039325
1739209634.602144;-38.13080360867914
1739209634.602147;-38.13080360867914
1739209634.6021502;-45.120503652039325
1739209634.6021533;-45.120503652039325
1739209634.6021564;-45.120503652039325
1739209634.6021595;-38.13080360867914
1739209634.6021626;-38.13080360867914
1739209634.6021657;-35.57807855764607
1739209634.6021688;-33.981070128970906
1739209634.602172;-38.13080360867914
1739209634.602175;-45.120503652039325
1739209634.602178;-45.120503652039325
1739209634.6021812;-38.13080360867914
1739209634.6021843;-38.13080360867914
1739209634.6021874;-38.13080360867914
1739209634.6021905;-45.120503652039325
1739209634.6021936;-38.13080360867914
1739209634.6021967;-33.981070128970906
1739209634.6021998;-38.13080360867914
1739209634.602203;-45.120503652039325
1739209634.602206;-45.120503652039325
1739209634.602209;-45.120503652039325
1739209634.6022122;-45.120503652039325
1739209634.6022153;-45.120503652039325
1739209634.6022184;-33.981070128970906
1739209634.6022215;-45.120503652039325
1739209634.6022246;-35.57807855764607
1739209634.6022277;-35.57807855764607
1739209634.6022308;-31.141103565318915
1739209634.602234;-38.13080360867914
1739209634.602237;-38.13080360867914
1739209634.60224;-45.120503652039325
1739209634.6022432;-45.120503652039325
1739209634.6022463;-45.120503652039325
1739209634.6022494;-45.120503652039325
