CAN Message; 0x77:f9203e6fb7a44f79
Timestamp;Amplitude
1739209789.9295893;-32.816014438256545
1739209789.9295928;-45.120503652039325
1739209789.9295967;-45.120503652039325
1739209789.9296002;-35.57807855764607
1739209789.929604;-35.57807855764607
1739209789.9296076;-38.13080360867914
1739209789.9296112;-35.57807855764607
1739209789.929615;-45.120503652039325
1739209789.9296186;-45.120503652039325
1739209789.9296224;-45.120503652039325
1739209789.929626;-38.13080360867914
1739209789.9296298;-45.120503652039325
1739209789.9296334;-45.120503652039325
1739209789.9296372;-45.120503652039325
1739209789.9296408;-45.120503652039325
1739209789.9296446;-45.120503652039325
1739209789.9296482;-45.120503652039325
1739209789.929652;-38.13080360867914
1739209789.9296556;-38.13080360867914
1739209789.9296594;-45.120503652039325
1739209789.929663;-45.120503652039325
1739209789.9296665;-45.120503652039325
1739209789.9296703;-45.120503652039325
1739209789.929674;-31.141103565318893
1739209789.9296777;-25.252786309376837
1739209789.9296813;-45.120503652039325
1739209789.929685;-38.13080360867914
1739209789.9296887;-38.13080360867914
1739209789.9296925;-38.13080360867914
1739209789.929696;-45.120503652039325
1739209789.9297;-45.120503652039325
1739209789.9297035;-45.120503652039325
1739209789.9297073;-45.120503652039325
1739209789.9297109;-45.120503652039325
1739209789.9297147;-45.120503652039325
1739209789.9297183;-45.120503652039325
1739209789.929722;-33.981070128970906
1739209789.9297256;-45.120503652039325
1739209789.9297292;-45.120503652039325
1739209789.929733;-35.57807855764607
1739209789.9297366;-45.120503652039325
1739209789.9297404;-38.13080360867914
1739209789.929744;-38.13080360867914
1739209789.9297478;-45.120503652039325
1739209789.9297514;-45.120503652039325
1739209789.9297552;-38.13080360867914
1739209789.9297588;-38.13080360867914
1739209789.9297626;-38.13080360867914
1739209789.9297662;-35.57807855764607
1739209789.92977;-45.120503652039325
1739209789.9297736;-45.120503652039325
1739209789.9297774;-35.57807855764607
1739209789.929781;-35.57807855764607
1739209789.9297848;-38.13080360867914
1739209789.9297884;-33.981070128970906
1739209789.929792;-38.13080360867914
1739209789.9297957;-45.120503652039325
1739209789.9297993;-45.120503652039325
1739209789.9298031;-33.981070128970906
1739209789.9298067;-45.120503652039325
1739209789.9298105;-45.120503652039325
1739209789.929814;-35.57807855764607
1739209789.929818;-38.13080360867914
1739209789.9298215;-45.120503652039325
