CAN Message; 0x150:0300f6d480615e93
Timestamp;Amplitude
1739209595.9474537;-45.120503652039325
1739209595.9474614;-35.57807855764607
1739209595.947469;-32.816014438256545
1739209595.9474766;-45.120503652039325
1739209595.947484;-45.120503652039325
1739209595.9474916;-35.57807855764607
1739209595.9474993;-38.13080360867914
1739209595.947507;-35.57807855764607
1739209595.9475143;-35.57807855764607
1739209595.947522;-45.120503652039325
1739209595.9475296;-35.57807855764607
1739209595.9475372;-38.13080360867914
1739209595.9475448;-35.57807855764607
1739209595.9475522;-45.120503652039325
1739209595.9475598;-45.120503652039325
1739209595.9475675;-45.120503652039325
1739209595.947575;-45.120503652039325
1739209595.9475825;-38.13080360867914
1739209595.94759;-45.120503652039325
1739209595.9475977;-35.57807855764607
1739209595.9476054;-32.816014438256545
1739209595.9476128;-45.120503652039325
1739209595.9476204;-45.120503652039325
1739209595.947628;-33.981070128970906
1739209595.9476357;-38.13080360867914
1739209595.9476433;-45.120503652039325
1739209595.9476507;-38.13080360867914
1739209595.9476583;-38.13080360867914
1739209595.947666;-38.13080360867914
1739209595.9476736;-38.13080360867914
1739209595.947681;-45.120503652039325
1739209595.9476886;-45.120503652039325
1739209595.9476962;-45.120503652039325
1739209595.9477038;-45.120503652039325
1739209595.9477112;-38.13080360867914
1739209595.9477189;-38.13080360867914
1739209595.9477265;-33.981070128970906
1739209595.947734;-45.120503652039325
1739209595.9477417;-38.13080360867914
1739209595.9477491;-38.13080360867914
1739209595.9477568;-38.13080360867914
1739209595.9477644;-45.120503652039325
1739209595.947772;-45.120503652039325
1739209595.9477794;-35.57807855764607
1739209595.947787;-35.57807855764607
1739209595.9477947;-45.120503652039325
1739209595.9478023;-45.120503652039325
1739209595.9478097;-38.13080360867914
1739209595.9478173;-38.13080360867914
1739209595.947825;-33.981070128970906
1739209595.9478326;-38.13080360867914
1739209595.94784;-45.120503652039325
1739209595.9478476;-33.981070128970906
1739209595.9478552;-38.13080360867914
1739209595.9478629;-45.120503652039325
1739209595.9478705;-38.13080360867914
1739209595.947878;-38.13080360867914
1739209595.9478855;-38.13080360867914
1739209595.9478931;-38.13080360867914
1739209595.9479008;-38.13080360867914
1739209595.9479082;-45.120503652039325
1739209595.9479158;-45.120503652039325
1739209595.9479234;-38.13080360867914
1739209595.947931;-38.13080360867914
1739209595.9479384;-38.13080360867914
1739209595.947946;-33.981070128970906
1739209595.9479537;-38.13080360867914
1739209595.9479613;-45.120503652039325
1739209595.947969;-33.981070128970906
1739209595.9479764;-38.13080360867914
