CAN Message; 0x1b8:0000075a8ff17a94
Timestamp;Amplitude
1739209904.782074;-45.120503652039325
1739209904.7820792;-45.120503652039325
1739209904.7820845;-38.13080360867914
1739209904.7820897;-35.57807855764607
1739209904.782095;-45.120503652039325
1739209904.7821;-45.120503652039325
1739209904.7821052;-38.13080360867914
1739209904.7821105;-38.13080360867914
1739209904.7821157;-45.120503652039325
1739209904.782121;-38.13080360867914
1739209904.7821262;-38.13080360867914
1739209904.7821314;-45.120503652039325
1739209904.7821367;-35.57807855764607
1739209904.782142;-45.120503652039325
1739209904.7821472;-38.13080360867914
1739209904.7821522;-45.120503652039325
1739209904.7821574;-45.120503652039325
1739209904.7821627;-45.120503652039325
1739209904.782168;-33.981070128970906
1739209904.7821732;-33.981070128970906
1739209904.7821784;-45.120503652039325
1739209904.7821836;-45.120503652039325
1739209904.782189;-45.120503652039325
1739209904.7821941;-38.13080360867914
1739209904.7821994;-38.13080360867914
1739209904.7822046;-45.120503652039325
1739209904.7822096;-45.120503652039325
1739209904.7822149;-45.120503652039325
1739209904.7822201;-45.120503652039325
1739209904.7822254;-33.981070128970906
1739209904.7822306;-45.120503652039325
1739209904.7822359;-45.120503652039325
1739209904.782241;-38.13080360867914
1739209904.7822464;-45.120503652039325
1739209904.7822516;-45.120503652039325
1739209904.7822568;-45.120503652039325
1739209904.782262;-45.120503652039325
1739209904.782267;-38.13080360867914
1739209904.7822723;-38.13080360867914
1739209904.7822776;-33.981070128970906
1739209904.7822828;-45.120503652039325
1739209904.782288;-38.13080360867914
1739209904.7822933;-38.13080360867914
1739209904.7822986;-31.141103565318893
1739209904.7823038;-35.57807855764607
1739209904.782309;-38.13080360867914
1739209904.7823143;-45.120503652039325
1739209904.7823195;-33.981070128970906
1739209904.7823246;-38.13080360867914
1739209904.7823298;-45.120503652039325
1739209904.782335;-38.13080360867914
1739209904.7823403;-38.13080360867914
1739209904.7823455;-45.120503652039325
1739209904.7823508;-35.57807855764607
1739209904.782356;-38.13080360867914
1739209904.7823613;-45.120503652039325
1739209904.7823665;-45.120503652039325
1739209904.7823718;-38.13080360867914
1739209904.7823768;-45.120503652039325
1739209904.782382;-29.438486411369333
1739209904.7823873;-32.816014438256545
1739209904.7823925;-45.120503652039325
1739209904.7823977;-45.120503652039325
1739209904.782403;-45.120503652039325
1739209904.7824082;-38.13080360867914
1739209904.7824135;-38.13080360867914
1739209904.7824187;-38.13080360867914
1739209904.782424;-38.13080360867914
1739209904.7824292;-45.120503652039325
1739209904.7824342;-45.120503652039325
1739209904.7824395;-45.120503652039325
1739209904.7824447;-45.120503652039325
1739209904.78245;-45.120503652039325
1739209904.7824552;-35.57807855764607
1739209904.7824605;-35.57807855764607
1739209904.7824657;-31.141103565318893
1739209904.782471;-31.141103565318893
1739209904.7824762;-38.13080360867914
1739209904.7824814;-35.57807855764607
1739209904.7824864;-35.57807855764607
1739209904.7824917;-35.57807855764607
1739209904.782497;-45.120503652039325
1739209904.7825022;-38.13080360867914
1739209904.7825074;-45.120503652039325
1739209904.7825127;-38.13080360867914
1739209904.782518;-38.13080360867914
1739209904.7825232;-38.13080360867914
1739209904.7825284;-38.13080360867914
1739209904.7825336;-45.120503652039325
1739209904.782539;-45.120503652039325
1739209904.782544;-38.13080360867914
1739209904.7825491;-38.13080360867914
1739209904.7825544;-45.120503652039325
1739209904.7825596;-38.13080360867914
1739209904.7825649;-45.120503652039325
1739209904.7825701;-45.120503652039325
1739209904.7825754;-45.120503652039325
1739209904.7825806;-45.120503652039325
1739209904.7825859;-45.120503652039325
1739209904.782591;-38.13080360867914
1739209904.7825963;-32.816014438256545
1739209904.7826014;-38.13080360867914
1739209904.7826066;-45.120503652039325
1739209904.7826118;-38.13080360867914
1739209904.782617;-32.816014438256545
1739209904.7826223;-45.120503652039325
1739209904.7826276;-45.120503652039325
1739209904.7826328;-45.120503652039325
1739209904.782638;-33.981070128970956
1739209904.7826433;-45.120503652039325
1739209904.7826486;-45.120503652039325
1739209904.7826538;-45.120503652039325
1739209904.7826588;-45.120503652039325
1739209904.782664;-38.13080360867914
1739209904.7826693;-38.13080360867914
1739209904.7826746;-38.13080360867914
1739209904.7826798;-28.58837851428586
1739209904.782685;-38.13080360867914
1739209904.7826903;-45.120503652039325
1739209904.7826955;-35.57807855764607
1739209904.7827008;-38.13080360867914
1739209904.782706;-45.120503652039325
1739209904.782711;-45.120503652039325
1739209904.7827163;-45.120503652039325
1739209904.7827215;-45.120503652039325
1739209904.7827268;-38.13080360867914
1739209904.782732;-45.120503652039325
1739209904.7827373;-45.120503652039325
1739209904.7827425;-38.13080360867914
1739209904.7827477;-38.13080360867914
1739209904.782753;-38.13080360867914
1739209904.7827582;-38.13080360867914
1739209904.7827635;-38.13080360867914
1739209904.7827685;-38.13080360867914
1739209904.7827737;-45.120503652039325
1739209904.782779;-45.120503652039325
