CAN Message; 0x150:02001a81b3d946da
Timestamp;Amplitude
1739209715.0545917;-33.981070128970906
1739209715.0545976;-38.13080360867914
1739209715.0546033;-45.120503652039325
1739209715.054609;-38.13080360867914
1739209715.054615;-38.13080360867914
1739209715.0546207;-38.13080360867914
1739209715.0546265;-45.120503652039325
1739209715.0546324;-45.120503652039325
1739209715.0546381;-45.120503652039325
1739209715.0546439;-38.13080360867914
1739209715.0546498;-38.13080360867914
1739209715.0546556;-38.13080360867914
1739209715.0546613;-38.13080360867914
1739209715.0546672;-38.13080360867914
1739209715.054673;-38.13080360867914
1739209715.0546787;-38.13080360867914
1739209715.0546846;-32.816014438256545
1739209715.0546904;-45.120503652039325
1739209715.054696;-45.120503652039325
1739209715.054702;-45.120503652039325
1739209715.0547078;-38.13080360867914
1739209715.0547135;-38.13080360867914
1739209715.0547194;-45.120503652039325
1739209715.0547252;-45.120503652039325
1739209715.054731;-45.120503652039325
1739209715.0547369;-35.57807855764607
1739209715.0547426;-38.13080360867914
1739209715.0547483;-45.120503652039325
1739209715.0547543;-38.13080360867914
1739209715.05476;-38.13080360867914
1739209715.0547657;-38.13080360867914
1739209715.0547717;-38.13080360867914
1739209715.0547774;-45.120503652039325
1739209715.054783;-38.13080360867914
1739209715.054789;-35.57807855764607
1739209715.0547948;-38.13080360867914
1739209715.0548005;-38.13080360867914
1739209715.0548065;-33.981070128970906
1739209715.0548122;-38.13080360867914
1739209715.054818;-45.120503652039325
1739209715.0548239;-45.120503652039325
1739209715.0548296;-38.13080360867914
1739209715.0548353;-38.13080360867914
1739209715.0548413;-45.120503652039325
1739209715.054847;-45.120503652039325
1739209715.0548527;-31.141103565318915
1739209715.0548587;-32.816014438256545
1739209715.0548644;-45.120503652039325
1739209715.0548701;-38.13080360867914
1739209715.054876;-35.57807855764607
1739209715.0548818;-35.57807855764607
1739209715.0548875;-32.816014438256545
1739209715.0548935;-31.141103565318915
1739209715.0548992;-31.141103565318915
1739209715.054905;-35.57807855764607
1739209715.054911;-35.57807855764607
1739209715.0549166;-38.13080360867914
1739209715.0549223;-31.141103565318915
1739209715.0549283;-45.120503652039325
1739209715.054934;-38.13080360867914
1739209715.0549397;-45.120503652039325
1739209715.0549457;-33.981070128970906
1739209715.0549514;-35.57807855764607
1739209715.0549572;-38.13080360867914
1739209715.054963;-45.120503652039325
1739209715.0549688;-38.13080360867914
1739209715.0549746;-35.57807855764607
1739209715.0549805;-38.13080360867914
1739209715.0549862;-45.120503652039325
1739209715.054992;-38.13080360867914
1739209715.054998;-38.13080360867914
1739209715.0550036;-38.13080360867914
1739209715.0550094;-45.120503652039325
1739209715.055015;-45.120503652039325
1739209715.055021;-35.57807855764607
1739209715.0550268;-45.120503652039325
1739209715.0550325;-45.120503652039325
1739209715.0550385;-33.981070128970906
1739209715.0550442;-38.13080360867914
1739209715.05505;-45.120503652039325
1739209715.0550559;-45.120503652039325
1739209715.0550616;-45.120503652039325
1739209715.0550673;-45.120503652039325
1739209715.0550733;-35.57807855764607
1739209715.055079;-35.57807855764607
1739209715.0550847;-32.81601443825658
1739209715.0550907;-45.120503652039325
1739209715.0550964;-38.13080360867914
1739209715.055102;-45.120503652039325
1739209715.055108;-45.120503652039325
1739209715.0551138;-45.120503652039325
1739209715.0551195;-35.57807855764607
1739209715.0551255;-38.13080360867914
1739209715.0551312;-28.992665084841942
1739209715.055137;-35.57807855764607
1739209715.0551429;-38.13080360867914
1739209715.0551486;-33.981070128970906
1739209715.0551543;-33.981070128970906
1739209715.0551603;-38.13080360867914
1739209715.055166;-45.120503652039325
1739209715.0551717;-38.13080360867914
1739209715.0551777;-32.81601443825658
1739209715.0551834;-45.120503652039325
1739209715.0551891;-32.816014438256545
1739209715.055195;-33.981070128970906
1739209715.0552008;-35.57807855764607
1739209715.0552065;-35.57807855764607
1739209715.0552125;-45.120503652039325
1739209715.0552182;-38.13080360867914
1739209715.055224;-38.13080360867914
1739209715.05523;-45.120503652039325
1739209715.0552356;-38.13080360867914
1739209715.0552413;-38.13080360867914
1739209715.0552473;-38.13080360867914
1739209715.055253;-38.13080360867914
1739209715.0552588;-45.120503652039325
1739209715.0552647;-45.120503652039325
1739209715.0552704;-33.981070128970906
1739209715.0552762;-45.120503652039325
1739209715.055282;-45.120503652039325
1739209715.0552878;-38.13080360867914
1739209715.0552936;-38.13080360867914
1739209715.0552995;-45.120503652039325
1739209715.0553052;-38.13080360867914
1739209715.055311;-38.13080360867914
1739209715.055317;-45.120503652039325
1739209715.0553226;-45.120503652039325
1739209715.0553284;-38.13080360867914
1739209715.0553343;-45.120503652039325
1739209715.05534;-45.120503652039325
1739209715.0553458;-38.13080360867914
1739209715.0553517;-45.120503652039325
1739209715.0553575;-45.120503652039325
1739209715.0553632;-33.981070128970906
1739209715.0553691;-45.120503652039325
1739209715.0553749;-38.13080360867914
1739209715.0553806;-38.13080360867914
1739209715.0553865;-45.120503652039325
1739209715.0553923;-45.120503652039325
1739209715.055398;-45.120503652039325
1739209715.055404;-45.120503652039325
1739209715.0554097;-38.13080360867914
1739209715.0554154;-35.57807855764607
1739209715.0554214;-38.13080360867914
1739209715.055427;-45.120503652039325
1739209715.0554328;-31.141103565318915
1739209715.0554388;-35.57807855764607
1739209715.0554445;-45.120503652039325
1739209715.0554502;-45.120503652039325
1739209715.0554562;-38.13080360867914
1739209715.055462;-32.816014438256545
1739209715.0554676;-38.13080360867914
1739209715.0554736;-38.13080360867914
1739209715.0554793;-33.981070128970906
1739209715.055485;-33.981070128970906
1739209715.055491;-45.120503652039325
1739209715.0554967;-45.120503652039325
1739209715.0555024;-35.57807855764607
1739209715.0555084;-38.13080360867914
1739209715.055514;-45.120503652039325
1739209715.0555198;-45.120503652039325
1739209715.0555258;-35.57807855764607
1739209715.0555315;-35.57807855764607
1739209715.0555372;-45.120503652039325
1739209715.0555432;-38.13080360867914
1739209715.055549;-33.981070128970906
1739209715.0555546;-32.816014438256545
1739209715.0555606;-45.120503652039325
1739209715.0555663;-45.120503652039325
1739209715.055572;-45.120503652039325
1739209715.055578;-33.981070128970906
1739209715.0555837;-35.57807855764607
1739209715.0555894;-45.120503652039325
1739209715.0555954;-45.120503652039325
1739209715.0556011;-45.120503652039325
1739209715.0556068;-38.13080360867914
1739209715.0556128;-38.13080360867914
1739209715.0556185;-45.120503652039325
1739209715.0556242;-45.120503652039325
1739209715.0556302;-45.120503652039325
1739209715.055636;-45.120503652039325
1739209715.0556417;-38.13080360867914
1739209715.0556476;-35.57807855764607
1739209715.0556533;-38.13080360867914
1739209715.055659;-38.13080360867914
1739209715.055665;-35.57807855764607
1739209715.0556707;-38.13080360867914
1739209715.0556765;-38.13080360867914
1739209715.0556824;-45.120503652039325
1739209715.0556881;-45.120503652039325
1739209715.0556939;-33.981070128970906
1739209715.0556998;-38.13080360867914
1739209715.0557055;-45.120503652039325
1739209715.0557113;-45.120503652039325
1739209715.0557172;-45.120503652039325
1739209715.055723;-38.13080360867914
1739209715.0557287;-45.120503652039325
1739209715.0557346;-38.13080360867914
1739209715.0557404;-32.81601443825658
1739209715.055746;-38.13080360867914
1739209715.055752;-33.981070128970906
1739209715.0557578;-45.120503652039325
1739209715.0557635;-38.13080360867914
1739209715.0557694;-45.120503652039325
1739209715.0557752;-38.13080360867914
1739209715.055781;-45.120503652039325
1739209715.0557868;-31.141103565318915
1739209715.0557926;-35.57807855764607
1739209715.0557983;-38.13080360867914
1739209715.0558043;-45.120503652039325
1739209715.05581;-38.13080360867914
1739209715.0558157;-38.13080360867914
1739209715.0558217;-38.13080360867914
1739209715.0558274;-38.13080360867914
1739209715.055833;-38.13080360867914
1739209715.055839;-45.120503652039325
1739209715.0558448;-45.120503652039325
1739209715.0558505;-45.120503652039325
1739209715.0558565;-45.120503652039325
1739209715.0558622;-38.13080360867914
1739209715.055868;-33.981070128970906
1739209715.0558736;-38.13080360867914
1739209715.0558796;-33.981070128970906
1739209715.0558853;-33.981070128970906
1739209715.055891;-35.57807855764607
1739209715.055897;-45.120503652039325
1739209715.0559027;-38.13080360867914
1739209715.0559084;-38.13080360867914
1739209715.0559144;-45.120503652039325
1739209715.0559201;-45.120503652039325
1739209715.0559258;-38.13080360867914
