CAN Message; 0x1d3:00005adc284b002b
Timestamp;Amplitude
1739209818.0823212;-28.992665084841942
1739209818.0823243;-28.58837851428586
1739209818.0823271;-30.49652367304976
1739209818.08233;-27.267205301931607
1739209818.082333;-28.58837851428586
1739209818.082336;-26.487275050834725
1739209818.082339;-26.991370085610722
1739209818.082342;-29.438486411369333
1739209818.0823448;-35.57807855764607
1739209818.0823479;-38.13080360867914
1739209818.0823507;-30.49652367304973
1739209818.0823536;-45.120503652039325
1739209818.0823567;-28.21854285175415
1739209818.0823596;-26.991370085610722
1739209818.0823627;-30.49652367304973
1739209818.0823655;-31.141103565318943
1739209818.0823684;-33.981070128970906
1739209818.0823715;-28.58837851428586
1739209818.0823743;-30.49652367304973
1739209818.0823772;-31.141103565318915
1739209818.0823803;-31.141103565318915
1739209818.0823832;-23.16150712794695
1739209818.082386;-28.218542851754165
1739209818.082389;-45.120503652039325
1739209818.082392;-32.816014438256545
1739209818.082395;-28.992665084841942
1739209818.082398;-28.992665084841967
1739209818.0824008;-33.981070128970906
1739209818.082404;-28.58837851428586
1739209818.0824068;-38.13080360867914
1739209818.0824096;-33.981070128970956
1739209818.0824127;-30.49652367304973
1739209818.0824156;-28.992665084841942
1739209818.0824184;-27.8777449560314
1739209818.0824215;-26.991370085610754
1739209818.0824244;-31.141103565318915
1739209818.0824275;-32.81601443825658
1739209818.0824304;-38.13080360867914
1739209818.0824332;-29.438486411369333
1739209818.0824363;-31.141103565318915
1739209818.0824392;-45.120503652039325
1739209818.082442;-35.57807855764607
1739209818.0824451;-35.57807855764607
1739209818.082448;-45.120503652039325
1739209818.082451;-38.13080360867914
1739209818.082454;-45.120503652039325
1739209818.0824568;-38.13080360867914
1739209818.08246;-45.120503652039325
1739209818.0824628;-38.13080360867914
1739209818.0824656;-38.13080360867914
1739209818.0824687;-45.120503652039325
1739209818.0824716;-38.13080360867914
1739209818.0824745;-35.57807855764607
1739209818.0824776;-38.13080360867914
1739209818.0824804;-38.13080360867914
1739209818.0824835;-33.981070128970906
1739209818.0824864;-38.13080360867914
1739209818.0824893;-38.13080360867914
1739209818.0824924;-32.816014438256545
1739209818.0824952;-31.141103565318915
1739209818.082498;-31.141103565318915
1739209818.0825012;-38.13080360867914
1739209818.082504;-35.57807855764607
1739209818.0825071;-38.13080360867914
