CAN Message; 0x1a7:00009820d17d2b28
Timestamp;Amplitude
1739209644.4270802;-45.120503652039325
1739209644.427089;-38.13080360867914
1739209644.4270976;-45.120503652039325
1739209644.4271064;-45.120503652039325
1739209644.427115;-33.981070128970906
1739209644.4271235;-45.120503652039325
1739209644.4271324;-35.57807855764607
1739209644.427141;-35.57807855764607
1739209644.4271498;-38.13080360867914
1739209644.4271584;-38.13080360867914
1739209644.427167;-38.13080360867914
1739209644.4271758;-38.13080360867914
1739209644.4271843;-35.57807855764607
1739209644.4271932;-35.57807855764607
1739209644.4272017;-35.57807855764607
1739209644.4272103;-32.816014438256545
1739209644.4272192;-45.120503652039325
1739209644.4272277;-38.13080360867914
1739209644.4272366;-35.57807855764607
1739209644.4272451;-35.57807855764607
1739209644.4272537;-45.120503652039325
1739209644.4272625;-35.57807855764607
1739209644.4272711;-38.13080360867914
1739209644.4272797;-45.120503652039325
1739209644.4272885;-38.13080360867914
1739209644.427297;-35.57807855764607
1739209644.427306;-45.120503652039325
1739209644.4273145;-45.120503652039325
1739209644.427323;-38.13080360867914
1739209644.427332;-35.57807855764607
1739209644.4273405;-38.13080360867914
1739209644.4273493;-32.816014438256545
1739209644.427358;-45.120503652039325
1739209644.4273665;-38.13080360867914
1739209644.4273753;-45.120503652039325
1739209644.427384;-45.120503652039325
1739209644.4273927;-45.120503652039325
1739209644.4274013;-33.981070128970906
1739209644.42741;-38.13080360867914
1739209644.4274187;-38.13080360867914
1739209644.4274273;-45.120503652039325
1739209644.427436;-38.13080360867914
1739209644.4274447;-35.57807855764607
1739209644.4274533;-38.13080360867914
1739209644.427462;-38.13080360867914
1739209644.4274707;-45.120503652039325
1739209644.4274795;-38.13080360867914
1739209644.427488;-38.13080360867914
1739209644.4274967;-38.13080360867914
1739209644.4275055;-38.13080360867914
1739209644.427514;-38.13080360867914
1739209644.427523;-45.120503652039325
1739209644.4275315;-45.120503652039325
1739209644.42754;-38.13080360867914
1739209644.427549;-45.120503652039325
1739209644.4275575;-38.13080360867914
1739209644.4275663;-38.13080360867914
1739209644.4275749;-38.13080360867914
1739209644.4275835;-38.13080360867914
1739209644.4275923;-32.816014438256545
1739209644.4276009;-38.13080360867914
1739209644.4276097;-45.120503652039325
1739209644.4276183;-38.13080360867914
1739209644.4276268;-38.13080360867914
1739209644.4276357;-38.13080360867914
1739209644.4276443;-45.120503652039325
1739209644.4276528;-38.13080360867914
1739209644.4276617;-45.120503652039325
1739209644.4276702;-38.13080360867914
1739209644.427679;-45.120503652039325
1739209644.4276876;-38.13080360867914
1739209644.4276962;-38.13080360867914
1739209644.427705;-33.981070128970906
1739209644.4277136;-45.120503652039325
1739209644.4277225;-38.13080360867914
1739209644.427731;-38.13080360867914
1739209644.4277396;-33.981070128970906
1739209644.4277484;-38.13080360867914
1739209644.427757;-38.13080360867914
1739209644.4277658;-45.120503652039325
1739209644.4277744;-38.13080360867914
1739209644.427783;-35.57807855764607
1739209644.4277918;-45.120503652039325
1739209644.4278004;-33.981070128970906
1739209644.4278092;-38.13080360867914
1739209644.4278178;-45.120503652039325
1739209644.4278264;-45.120503652039325
1739209644.4278352;-45.120503652039325
1739209644.4278438;-45.120503652039325
1739209644.4278526;-45.120503652039325
1739209644.4278612;-38.13080360867914
1739209644.4278698;-38.13080360867914
1739209644.4278786;-45.120503652039325
1739209644.4278872;-38.13080360867914
1739209644.427896;-38.13080360867914
1739209644.4279046;-38.13080360867914
1739209644.4279132;-33.981070128970906
1739209644.427922;-38.13080360867914
1739209644.4279306;-38.13080360867914
1739209644.4279394;-38.13080360867914
1739209644.427948;-38.13080360867914
1739209644.4279566;-45.120503652039325
1739209644.4279654;-45.120503652039325
1739209644.427974;-45.120503652039325
1739209644.4279828;-33.981070128970906
1739209644.4279914;-45.120503652039325
