CAN Message; 0x39:08f51742250a2f0d
Timestamp;Amplitude
1739209674.4777188;-35.57807855764607
1739209674.4777246;-30.49652367304973
1739209674.47773;-45.120503652039325
1739209674.4777358;-38.13080360867914
1739209674.4777412;-35.57807855764607
1739209674.4777467;-33.981070128970906
1739209674.4777524;-45.120503652039325
1739209674.477758;-38.13080360867914
1739209674.4777637;-35.57807855764607
1739209674.4777691;-31.141103565318915
1739209674.4777749;-45.120503652039325
1739209674.4777803;-38.13080360867914
1739209674.4777858;-45.120503652039325
1739209674.4777915;-38.13080360867914
1739209674.477797;-38.13080360867914
1739209674.4778028;-45.120503652039325
1739209674.4778082;-45.120503652039325
1739209674.4778137;-38.13080360867914
1739209674.4778194;-45.120503652039325
1739209674.477825;-45.120503652039325
1739209674.4778306;-38.13080360867914
1739209674.4778361;-38.13080360867914
1739209674.4778419;-45.120503652039325
1739209674.4778473;-45.120503652039325
1739209674.4778528;-38.13080360867914
1739209674.4778585;-38.13080360867914
1739209674.477864;-45.120503652039325
1739209674.4778697;-45.120503652039325
1739209674.4778752;-45.120503652039325
1739209674.4778807;-45.120503652039325
1739209674.4778864;-45.120503652039325
1739209674.477892;-45.120503652039325
1739209674.4778976;-38.13080360867914
1739209674.4779031;-28.992665084841942
1739209674.4779086;-33.981070128970906
1739209674.4779143;-45.120503652039325
1739209674.4779198;-45.120503652039325
1739209674.4779255;-33.981070128970906
1739209674.477931;-45.120503652039325
1739209674.4779367;-45.120503652039325
1739209674.4779422;-38.13080360867914
1739209674.4779477;-33.981070128970956
1739209674.4779534;-45.120503652039325
1739209674.477959;-45.120503652039325
1739209674.4779646;-45.120503652039325
1739209674.4779701;-38.13080360867914
1739209674.4779756;-38.13080360867914
1739209674.4779813;-45.120503652039325
1739209674.4779868;-45.120503652039325
1739209674.4779925;-27.267205301931607
1739209674.477998;-31.141103565318915
1739209674.4780037;-45.120503652039325
1739209674.4780092;-45.120503652039325
1739209674.4780147;-38.13080360867914
