CAN Message; 0x62:00f6b83585f5feab
Timestamp;Amplitude
1739209691.8815978;-33.981070128970906
1739209691.8816023;-45.120503652039325
1739209691.8816068;-38.13080360867914
1739209691.8816113;-33.981070128970906
1739209691.8816159;-38.13080360867914
1739209691.8816204;-45.120503652039325
1739209691.881625;-45.120503652039325
1739209691.8816295;-35.57807855764607
1739209691.881634;-38.13080360867914
1739209691.8816385;-45.120503652039325
1739209691.881643;-38.13080360867914
1739209691.8816476;-45.120503652039325
1739209691.881652;-31.141103565318915
1739209691.8816566;-38.13080360867914
1739209691.8816612;-45.120503652039325
1739209691.8816655;-38.13080360867914
1739209691.88167;-33.981070128970906
1739209691.8816745;-45.120503652039325
1739209691.881679;-38.13080360867914
1739209691.8816836;-45.120503652039325
1739209691.881688;-38.13080360867914
1739209691.8816926;-45.120503652039325
1739209691.8816972;-45.120503652039325
1739209691.8817017;-38.13080360867914
1739209691.8817062;-45.120503652039325
1739209691.8817108;-45.120503652039325
1739209691.8817153;-45.120503652039325
1739209691.8817198;-38.13080360867914
1739209691.8817244;-33.981070128970906
1739209691.881729;-38.13080360867914
1739209691.8817334;-38.13080360867914
1739209691.881738;-38.13080360867914
1739209691.8817425;-38.13080360867914
1739209691.881747;-45.120503652039325
1739209691.8817515;-45.120503652039325
1739209691.881756;-45.120503652039325
1739209691.8817606;-28.992665084841942
1739209691.8817651;-38.13080360867914
1739209691.8817697;-38.13080360867914
1739209691.8817742;-38.13080360867914
1739209691.8817787;-33.981070128970906
1739209691.8817832;-45.120503652039325
1739209691.8817878;-45.120503652039325
1739209691.8817923;-38.13080360867914
1739209691.8817968;-33.981070128970906
1739209691.8818011;-38.13080360867914
1739209691.8818057;-45.120503652039325
1739209691.8818102;-45.120503652039325
1739209691.8818147;-38.13080360867914
1739209691.8818192;-35.57807855764607
1739209691.8818238;-38.13080360867914
1739209691.8818283;-45.120503652039325
1739209691.8818328;-38.13080360867914
1739209691.8818374;-38.13080360867914
1739209691.881842;-45.120503652039325
1739209691.8818464;-45.120503652039325
1739209691.881851;-38.13080360867914
1739209691.8818555;-35.57807855764607
1739209691.88186;-38.13080360867914
1739209691.8818645;-33.981070128970906
1739209691.881869;-33.981070128970906
1739209691.8818736;-33.981070128970906
1739209691.8818781;-38.13080360867914
1739209691.8818827;-45.120503652039325
1739209691.8818872;-38.13080360867914
1739209691.8818917;-38.13080360867914
1739209691.8818963;-38.13080360867914
1739209691.8819008;-45.120503652039325
1739209691.8819053;-31.141103565318915
1739209691.8819098;-31.141103565318915
1739209691.8819144;-45.120503652039325
1739209691.881919;-45.120503652039325
1739209691.8819234;-38.13080360867914
1739209691.881928;-38.13080360867914
1739209691.8819325;-45.120503652039325
1739209691.8819368;-45.120503652039325
1739209691.8819413;-38.13080360867914
1739209691.8819458;-38.13080360867914
1739209691.8819504;-45.120503652039325
1739209691.881955;-45.120503652039325
1739209691.8819594;-38.13080360867914
1739209691.881964;-32.816014438256545
1739209691.8819685;-38.13080360867914
1739209691.881973;-45.120503652039325
1739209691.8819776;-45.120503652039325
1739209691.881982;-45.120503652039325
1739209691.8819866;-45.120503652039325
1739209691.8819911;-38.13080360867914
1739209691.8819957;-38.13080360867914
1739209691.8820002;-45.120503652039325
1739209691.8820047;-45.120503652039325
1739209691.8820093;-38.13080360867914
1739209691.8820138;-35.57807855764607
1739209691.8820183;-38.13080360867914
1739209691.8820229;-45.120503652039325
1739209691.8820274;-35.57807855764607
1739209691.882032;-32.816014438256545
1739209691.8820364;-45.120503652039325
1739209691.882041;-45.120503652039325
1739209691.8820455;-38.13080360867914
1739209691.88205;-38.13080360867914
1739209691.8820546;-38.13080360867914
1739209691.882059;-35.57807855764607
1739209691.8820636;-35.57807855764607
1739209691.8820682;-38.13080360867914
1739209691.8820724;-38.13080360867914
1739209691.882077;-38.13080360867914
1739209691.8820815;-35.57807855764607
1739209691.882086;-35.57807855764607
1739209691.8820906;-38.13080360867914
1739209691.882095;-38.13080360867914
1739209691.8820996;-32.816014438256545
1739209691.8821042;-38.13080360867914
1739209691.8821087;-38.13080360867914
1739209691.8821132;-33.981070128970906
