CAN Message; 0x98:0000e2999a5cfede
Timestamp;Amplitude
1739209916.0601645;-33.981070128970906
1739209916.0601685;-35.57807855764607
1739209916.0601726;-38.13080360867914
1739209916.0601764;-32.816014438256545
1739209916.0601804;-31.141103565318915
1739209916.0601845;-35.57807855764607
1739209916.0601885;-45.120503652039325
1739209916.0601926;-38.13080360867914
1739209916.0601964;-38.13080360867914
1739209916.0602005;-33.981070128970906
1739209916.0602045;-45.120503652039325
1739209916.0602086;-45.120503652039325
1739209916.0602126;-35.57807855764607
1739209916.0602164;-38.13080360867914
1739209916.0602205;-45.120503652039325
1739209916.0602245;-45.120503652039325
1739209916.0602286;-33.981070128970906
1739209916.0602324;-35.57807855764607
1739209916.0602365;-38.13080360867914
1739209916.0602405;-35.57807855764607
1739209916.0602446;-38.13080360867914
1739209916.0602486;-45.120503652039325
1739209916.0602524;-45.120503652039325
1739209916.0602565;-35.57807855764607
1739209916.0602605;-38.13080360867914
1739209916.0602646;-45.120503652039325
1739209916.0602686;-38.13080360867914
1739209916.0602725;-45.120503652039325
1739209916.0602765;-38.13080360867914
1739209916.0602806;-35.57807855764607
1739209916.0602846;-45.120503652039325
1739209916.0602884;-45.120503652039325
1739209916.0602925;-45.120503652039325
1739209916.0602965;-38.13080360867914
1739209916.0603006;-38.13080360867914
1739209916.0603046;-45.120503652039325
1739209916.0603085;-38.13080360867914
1739209916.0603125;-38.13080360867914
1739209916.0603166;-45.120503652039325
1739209916.0603206;-45.120503652039325
1739209916.0603247;-33.981070128970906
1739209916.0603285;-38.13080360867914
1739209916.0603325;-38.13080360867914
1739209916.0603366;-38.13080360867914
1739209916.0603406;-33.981070128970906
1739209916.0603445;-45.120503652039325
1739209916.0603485;-45.120503652039325
1739209916.0603526;-38.13080360867914
1739209916.0603566;-35.57807855764607
1739209916.0603607;-45.120503652039325
1739209916.0603645;-45.120503652039325
1739209916.0603685;-45.120503652039325
1739209916.0603726;-45.120503652039325
1739209916.0603766;-45.120503652039325
1739209916.0603805;-45.120503652039325
1739209916.0603845;-45.120503652039325
1739209916.0603886;-45.120503652039325
1739209916.0603926;-33.981070128970906
1739209916.0603967;-38.13080360867914
1739209916.0604005;-38.13080360867914
1739209916.0604045;-31.141103565318915
1739209916.0604086;-38.13080360867914
1739209916.0604126;-45.120503652039325
1739209916.0604167;-38.13080360867914
1739209916.0604205;-32.816014438256545
1739209916.0604246;-38.13080360867914
1739209916.0604286;-45.120503652039325
1739209916.0604327;-45.120503652039325
1739209916.0604365;-45.120503652039325
1739209916.0604405;-45.120503652039325
1739209916.0604446;-45.120503652039325
1739209916.0604486;-38.13080360867914
1739209916.0604527;-38.13080360867914
1739209916.0604565;-45.120503652039325
1739209916.0604606;-38.13080360867914
1739209916.0604646;-38.13080360867914
1739209916.0604687;-38.13080360867914
1739209916.0604727;-38.13080360867914
1739209916.0604765;-38.13080360867914
1739209916.0604806;-45.120503652039325
1739209916.0604846;-38.13080360867914
1739209916.0604887;-38.13080360867914
1739209916.0604925;-38.13080360867914
1739209916.0604966;-45.120503652039325
1739209916.0605006;-27.267205301931607
1739209916.0605047;-45.120503652039325
1739209916.0605087;-45.120503652039325
1739209916.0605125;-45.120503652039325
1739209916.0605166;-45.120503652039325
1739209916.0605206;-45.120503652039325
1739209916.0605247;-45.120503652039325
1739209916.0605285;-38.13080360867914
1739209916.0605326;-38.13080360867914
1739209916.0605366;-38.13080360867914
1739209916.0605407;-38.13080360867914
1739209916.0605447;-45.120503652039325
1739209916.0605485;-38.13080360867914
1739209916.0605526;-38.13080360867914
1739209916.0605567;-45.120503652039325
1739209916.0605607;-45.120503652039325
1739209916.0605648;-30.49652367304973
1739209916.0605686;-32.816014438256545
1739209916.0605726;-38.13080360867914
1739209916.0605767;-38.13080360867914
1739209916.0605807;-33.981070128970906
1739209916.0605845;-31.141103565318893
1739209916.0605886;-45.120503652039325
1739209916.0605927;-45.120503652039325
1739209916.0605967;-45.120503652039325
1739209916.0606008;-45.120503652039325
1739209916.0606046;-45.120503652039325
1739209916.0606086;-45.120503652039325
1739209916.0606127;-45.120503652039325
1739209916.0606167;-45.120503652039325
1739209916.0606208;-45.120503652039325
1739209916.0606246;-45.120503652039325
1739209916.0606287;-45.120503652039325
1739209916.0606327;-38.13080360867914
1739209916.0606368;-38.13080360867914
1739209916.0606406;-45.120503652039325
1739209916.0606446;-45.120503652039325
1739209916.0606487;-38.13080360867914
1739209916.0606527;-38.13080360867914
1739209916.0606568;-45.120503652039325
1739209916.0606606;-30.49652367304973
1739209916.0606647;-32.816014438256545
1739209916.0606687;-38.13080360867914
1739209916.0606728;-45.120503652039325
1739209916.0606768;-38.13080360867914
1739209916.0606806;-38.13080360867914
1739209916.0606847;-45.120503652039325
1739209916.0606887;-38.13080360867914
1739209916.0606928;-45.120503652039325
1739209916.0606966;-38.13080360867914
1739209916.0607007;-38.13080360867914
1739209916.0607047;-38.13080360867914
1739209916.0607088;-45.120503652039325
1739209916.0607128;-33.981070128970906
1739209916.0607166;-45.120503652039325
1739209916.0607207;-45.120503652039325
1739209916.0607247;-32.816014438256545
1739209916.0607288;-32.816014438256545
1739209916.0607326;-38.13080360867914
1739209916.0607367;-38.13080360867914
1739209916.0607407;-33.981070128970906
1739209916.0607448;-45.120503652039325
1739209916.0607488;-45.120503652039325
1739209916.0607526;-38.13080360867914
1739209916.0607567;-45.120503652039325
1739209916.0607607;-45.120503652039325
1739209916.0607648;-45.120503652039325
1739209916.0607688;-45.120503652039325
1739209916.0607727;-35.57807855764607
1739209916.0607767;-35.57807855764607
1739209916.0607808;-38.13080360867914
1739209916.0607848;-38.13080360867914
1739209916.0607886;-45.120503652039325
1739209916.0607927;-45.120503652039325
1739209916.0607967;-35.57807855764607
1739209916.0608008;-35.57807855764607
1739209916.0608048;-38.13080360867914
1739209916.0608087;-33.981070128970906
1739209916.0608127;-32.816014438256545
1739209916.0608168;-45.120503652039325
1739209916.0608208;-38.13080360867914
1739209916.0608249;-35.57807855764607
1739209916.0608287;-38.13080360867914
1739209916.0608327;-45.120503652039325
1739209916.0608368;-33.981070128970906
1739209916.0608408;-38.13080360867914
1739209916.0608447;-38.13080360867914
1739209916.0608487;-38.13080360867914
1739209916.0608528;-45.120503652039325
1739209916.0608568;-45.120503652039325
1739209916.0608609;-45.120503652039325
1739209916.0608647;-45.120503652039325
1739209916.0608687;-38.13080360867914
1739209916.0608728;-45.120503652039325
1739209916.0608768;-38.13080360867914
1739209916.060881;-45.120503652039325
1739209916.0608847;-38.13080360867914
1739209916.0608888;-45.120503652039325
1739209916.0608928;-45.120503652039325
1739209916.0608969;-38.13080360867914
1739209916.0609007;-38.13080360867914
1739209916.0609047;-45.120503652039325
1739209916.0609088;-45.120503652039325
1739209916.0609128;-38.13080360867914
1739209916.060917;-38.13080360867914
1739209916.0609207;-45.120503652039325
1739209916.0609248;-45.120503652039325
1739209916.0609288;-38.13080360867914
1739209916.0609329;-45.120503652039325
1739209916.0609367;-45.120503652039325
1739209916.0609407;-35.57807855764607
1739209916.0609448;-38.13080360867914
1739209916.0609488;-38.13080360867914
1739209916.060953;-38.13080360867914
1739209916.0609567;-38.13080360867914
1739209916.0609608;-38.13080360867914
1739209916.0609648;-38.13080360867914
1739209916.0609689;-45.120503652039325
1739209916.060973;-45.120503652039325
1739209916.0609767;-35.57807855764607
1739209916.0609808;-35.57807855764607
1739209916.0609848;-38.13080360867914
1739209916.060989;-33.981070128970906
1739209916.0609927;-45.120503652039325
1739209916.0609968;-38.13080360867914
1739209916.0610008;-38.13080360867914
1739209916.0610049;-38.13080360867914
1739209916.061009;-38.13080360867914
1739209916.0610127;-38.13080360867914
1739209916.0610168;-38.13080360867914
1739209916.0610209;-38.13080360867914
1739209916.061025;-35.57807855764607
1739209916.061029;-35.57807855764607
1739209916.0610328;-45.120503652039325
1739209916.0610368;-38.13080360867914
1739209916.0610409;-38.13080360867914
1739209916.061045;-38.13080360867914
1739209916.0610487;-33.981070128970906
1739209916.0610528;-30.49652367304973
1739209916.0610569;-45.120503652039325
1739209916.061061;-45.120503652039325
1739209916.061065;-45.120503652039325
1739209916.0610688;-38.13080360867914
1739209916.0610728;-45.120503652039325
1739209916.0610769;-38.13080360867914
1739209916.061081;-45.120503652039325
1739209916.0610847;-38.13080360867914
1739209916.0610888;-38.13080360867914
1739209916.0610929;-38.13080360867914
1739209916.061097;-45.120503652039325
1739209916.061101;-45.120503652039325
1739209916.0611048;-38.13080360867914
1739209916.0611088;-38.13080360867914
1739209916.0611129;-45.120503652039325
1739209916.061117;-33.981070128970906
1739209916.061121;-45.120503652039325
1739209916.0611248;-45.120503652039325
1739209916.0611289;-38.13080360867914
1739209916.061133;-38.13080360867914
1739209916.061137;-35.57807855764607
1739209916.0611408;-38.13080360867914
1739209916.0611448;-45.120503652039325
1739209916.061149;-38.13080360867914
1739209916.061153;-45.120503652039325
1739209916.061157;-45.120503652039325
1739209916.0611608;-45.120503652039325
1739209916.0611649;-45.120503652039325
1739209916.061169;-32.816014438256545
1739209916.061173;-38.13080360867914
1739209916.061177;-45.120503652039325
1739209916.0611808;-33.981070128970906
1739209916.061185;-32.816014438256545
1739209916.061189;-35.57807855764607
1739209916.061193;-45.120503652039325
1739209916.0611968;-38.13080360867914
1739209916.0612009;-38.13080360867914
1739209916.061205;-45.120503652039325
1739209916.061209;-45.120503652039325
1739209916.061213;-45.120503652039325
1739209916.0612168;-38.13080360867914
1739209916.061221;-45.120503652039325
1739209916.061225;-45.120503652039325
1739209916.061229;-38.13080360867914
1739209916.061233;-32.816014438256545
1739209916.0612369;-38.13080360867914
1739209916.061241;-45.120503652039325
1739209916.061245;-45.120503652039325
1739209916.061249;-45.120503652039325
1739209916.0612528;-38.13080360867914
1739209916.061257;-38.13080360867914
1739209916.061261;-33.981070128970906
1739209916.061265;-35.57807855764607
1739209916.061269;-38.13080360867914
1739209916.0612729;-38.13080360867914
1739209916.061277;-28.992665084841942
1739209916.061281;-33.981070128970906
1739209916.061285;-45.120503652039325
1739209916.0612888;-45.120503652039325
1739209916.061293;-38.13080360867914
1739209916.061297;-35.57807855764607
1739209916.061301;-32.816014438256545
1739209916.061305;-32.816014438256545
1739209916.0613089;-38.13080360867914
1739209916.061313;-38.13080360867914
1739209916.061317;-38.13080360867914
1739209916.061321;-45.120503652039325
1739209916.061325;-38.13080360867914
1739209916.061329;-45.120503652039325
1739209916.061333;-38.13080360867914
1739209916.061337;-45.120503652039325
1739209916.061341;-27.267205301931607
1739209916.0613449;-32.816014438256545
1739209916.061349;-38.13080360867914
1739209916.061353;-45.120503652039325
1739209916.061357;-38.13080360867914
1739209916.061361;-35.57807855764607
1739209916.061365;-38.13080360867914
1739209916.061369;-38.13080360867914
1739209916.061373;-45.120503652039325
1739209916.061377;-45.120503652039325
1739209916.061381;-45.120503652039325
1739209916.061385;-45.120503652039325
1739209916.061389;-45.120503652039325
1739209916.061393;-45.120503652039325
1739209916.061397;-38.13080360867914
1739209916.061401;-45.120503652039325
1739209916.061405;-33.981070128970906
1739209916.061409;-32.816014438256545
1739209916.061413;-45.120503652039325
1739209916.061417;-45.120503652039325
1739209916.061421;-33.981070128970906
1739209916.061425;-35.57807855764607
1739209916.061429;-35.57807855764607
1739209916.061433;-45.120503652039325
1739209916.0614371;-35.57807855764607
1739209916.061441;-31.141103565318893
1739209916.061445;-45.120503652039325
1739209916.061449;-45.120503652039325
1739209916.061453;-35.57807855764607
1739209916.061457;-32.816014438256545
1739209916.061461;-45.120503652039325
1739209916.061465;-45.120503652039325
1739209916.061469;-45.120503652039325
1739209916.0614731;-45.120503652039325
1739209916.061477;-35.57807855764607
1739209916.061481;-45.120503652039325
1739209916.061485;-45.120503652039325
1739209916.061489;-38.13080360867914
1739209916.061493;-38.13080360867914
1739209916.061497;-45.120503652039325
1739209916.061501;-32.816014438256545
1739209916.061505;-28.21854285175415
1739209916.0615091;-45.120503652039325
1739209916.061513;-45.120503652039325
1739209916.061517;-45.120503652039325
1739209916.061521;-45.120503652039325
1739209916.061525;-45.120503652039325
1739209916.0615292;-45.120503652039325
1739209916.061533;-45.120503652039325
1739209916.061537;-45.120503652039325
1739209916.061541;-38.13080360867914
1739209916.0615451;-45.120503652039325
1739209916.061549;-45.120503652039325
1739209916.061553;-33.981070128970906
1739209916.061557;-45.120503652039325
1739209916.061561;-38.13080360867914
1739209916.0615652;-38.13080360867914
1739209916.061569;-45.120503652039325
1739209916.061573;-38.13080360867914
1739209916.061577;-45.120503652039325
1739209916.0615811;-38.13080360867914
1739209916.0615852;-33.981070128970906
1739209916.061589;-33.981070128970906
1739209916.061593;-45.120503652039325
1739209916.061597;-35.57807855764607
1739209916.0616012;-35.57807855764607
