CAN Message; 0x150:0700e823d87f2d2e
Timestamp;Amplitude
1739209717.4858663;-38.13080360867914
1739209717.4858732;-38.13080360867914
1739209717.4858804;-31.141103565318893
1739209717.4858873;-32.81601443825658
1739209717.4858944;-45.120503652039325
1739209717.4859014;-38.13080360867914
1739209717.4859085;-38.13080360867914
1739209717.4859154;-45.120503652039325
1739209717.4859226;-45.120503652039325
1739209717.4859295;-33.981070128970906
1739209717.4859366;-38.13080360867914
1739209717.4859436;-30.49652367304973
1739209717.4859507;-31.141103565318915
1739209717.4859579;-45.120503652039325
1739209717.4859648;-38.13080360867914
1739209717.485972;-38.13080360867914
1739209717.4859788;-45.120503652039325
1739209717.485986;-45.120503652039325
1739209717.485993;-38.13080360867914
1739209717.486;-38.13080360867914
1739209717.486007;-38.13080360867914
1739209717.4860141;-45.120503652039325
1739209717.486021;-38.13080360867914
1739209717.4860282;-35.57807855764607
1739209717.4860353;-38.13080360867914
1739209717.4860423;-38.13080360867914
1739209717.4860494;-38.13080360867914
1739209717.4860563;-38.13080360867914
1739209717.4860635;-38.13080360867914
1739209717.4860704;-45.120503652039325
1739209717.4860775;-45.120503652039325
1739209717.4860845;-45.120503652039325
1739209717.4860916;-38.13080360867914
1739209717.4860985;-31.141103565318915
1739209717.4861057;-38.13080360867914
1739209717.4861126;-38.13080360867914
1739209717.4861197;-31.141103565318893
1739209717.486127;-38.13080360867914
1739209717.4861338;-35.57807855764607
1739209717.486141;-38.13080360867914
1739209717.4861479;-45.120503652039325
1739209717.486155;-45.120503652039325
1739209717.486162;-45.120503652039325
1739209717.486169;-45.120503652039325
1739209717.486176;-45.120503652039325
1739209717.4861832;-38.13080360867914
1739209717.48619;-45.120503652039325
1739209717.4861972;-35.57807855764607
1739209717.4862044;-35.57807855764607
1739209717.4862113;-38.13080360867914
1739209717.4862185;-35.57807855764607
1739209717.4862254;-38.13080360867914
1739209717.4862325;-33.981070128970906
1739209717.4862394;-38.13080360867914
1739209717.4862466;-35.57807855764607
1739209717.4862535;-26.487275050834715
1739209717.4862607;-33.981070128970906
1739209717.4862676;-31.141103565318915
1739209717.4862747;-27.8777449560314
1739209717.4862816;-45.120503652039325
1739209717.4862888;-22.44878636800916
1739209717.486296;-27.8777449560314
1739209717.4863029;-31.141103565318943
1739209717.48631;-28.218542851754165
1739209717.486317;-28.58837851428586
1739209717.486324;-45.120503652039325
1739209717.486331;-45.120503652039325
1739209717.4863381;-29.438486411369333
1739209717.486345;-33.981070128970956
1739209717.4863522;-29.438486411369333
1739209717.4863591;-27.267205301931607
1739209717.4863663;-38.13080360867914
1739209717.4863732;-33.981070128970956
1739209717.4863803;-30.49652367304973
1739209717.4863875;-30.49652367304973
1739209717.4863944;-25.826314394896354
1739209717.4864016;-24.589719217205094
1739209717.4864085;-35.57807855764607
1739209717.4864156;-22.175841390423358
1739209717.4864225;-29.438486411369354
1739209717.4864297;-35.57807855764607
1739209717.4864366;-38.13080360867914
1739209717.4864438;-31.141103565318915
1739209717.4864507;-25.25278630937684
1739209717.4864578;-32.81601443825658
1739209717.486465;-24.589719217205094
1739209717.486472;-33.981070128970956
1739209717.486479;-28.588378514285886
1739209717.486486;-33.981070128970956
1739209717.486493;-28.992665084841942
1739209717.4865;-28.58837851428586
1739209717.4865072;-30.49652367304976
1739209717.486514;-33.981070128970906
1739209717.4865212;-28.992665084841942
1739209717.4865282;-45.120503652039325
1739209717.4865353;-27.267205301931607
1739209717.4865422;-30.49652367304973
1739209717.4865494;-28.58837851428586
1739209717.4865565;-26.991370085610736
1739209717.4865634;-31.141103565318915
1739209717.4865706;-30.49652367304973
1739209717.4865775;-28.992665084841942
1739209717.4865847;-33.981070128970906
1739209717.4865916;-35.57807855764607
1739209717.4865987;-32.81601443825658
1739209717.4866056;-32.816014438256545
1739209717.4866128;-26.487275050834715
1739209717.4866197;-27.8777449560314
1739209717.4866269;-45.120503652039325
1739209717.486634;-26.487275050834725
1739209717.486641;-28.21854285175415
1739209717.486648;-45.120503652039325
1739209717.486655;-31.141103565318915
1739209717.4866621;-26.991370085610722
1739209717.486669;-23.16150712794695
1739209717.4866762;-27.877744956031417
1739209717.4866831;-32.81601443825658
1739209717.4866903;-24.589719217205094
1739209717.4866972;-33.981070128970956
1739209717.4867043;-27.877744956031414
1739209717.4867113;-45.120503652039325
1739209717.4867184;-28.992665084841942
1739209717.4867256;-28.58837851428586
1739209717.4867325;-45.120503652039325
1739209717.4867396;-45.120503652039325
1739209717.4867465;-33.981070128970906
1739209717.4867537;-27.8777449560314
1739209717.4867606;-27.877744956031417
1739209717.4867678;-45.120503652039325
1739209717.4867747;-35.57807855764607
1739209717.4867818;-38.13080360867914
1739209717.4867887;-32.816014438256545
1739209717.486796;-31.141103565318915
1739209717.4868028;-31.141103565318943
1739209717.48681;-25.826314394896357
1739209717.4868171;-27.267205301931607
1739209717.486824;-45.120503652039325
1739209717.4868312;-27.267205301931607
1739209717.486838;-28.588378514285886
1739209717.4868453;-29.438486411369354
1739209717.4868522;-23.50682362968953
1739209717.4868593;-23.50682362968953
1739209717.4868662;-32.81601443825658
1739209717.4868734;-29.438486411369333
1739209717.4868803;-33.981070128970906
1739209717.4868875;-45.120503652039325
1739209717.4868946;-38.13080360867914
1739209717.4869015;-32.816014438256545
1739209717.4869087;-26.487275050834715
1739209717.4869156;-32.81601443825658
1739209717.4869227;-27.8777449560314
1739209717.4869297;-23.75329798047523
1739209717.4869368;-32.81601443825658
1739209717.4869437;-27.267205301931607
1739209717.4869509;-28.992665084841942
1739209717.4869578;-38.13080360867914
1739209717.486965;-25.252786309376837
1739209717.4869719;-35.57807855764607
1739209717.486979;-31.14110356531892
1739209717.4869862;-25.62660358559016
1739209717.486993;-27.267205301931607
1739209717.4870002;-32.81601443825658
1739209717.4870071;-29.438486411369354
1739209717.4870143;-28.58837851428586
1739209717.4870212;-33.981070128970906
1739209717.4870284;-28.58837851428586
1739209717.4870353;-26.991370085610722
1739209717.4870424;-32.816014438256545
1739209717.4870493;-24.292649948874775
1739209717.4870565;-31.141103565318915
1739209717.4870636;-27.267205301931607
1739209717.4870706;-38.13080360867914
1739209717.4870777;-26.991370085610722
1739209717.4870846;-31.141103565318915
1739209717.4870918;-26.035653463252796
1739209717.4870987;-38.13080360867914
1739209717.4871058;-24.438645034577675
1739209717.4871128;-25.826314394896357
1739209717.48712;-31.141103565318943
1739209717.4871268;-32.816014438256545
1739209717.487134;-33.981070128970906
1739209717.487141;-23.506823629689542
1739209717.487148;-45.120503652039325
1739209717.4871552;-28.992665084841942
1739209717.487162;-27.267205301931607
1739209717.4871693;-45.120503652039325
1739209717.4871762;-31.141103565318943
1739209717.4871833;-38.13080360867914
1739209717.4871902;-28.992665084841942
1739209717.4871974;-27.267205301931607
1739209717.4872043;-45.120503652039325
1739209717.4872115;-28.58837851428586
1739209717.4872184;-38.13080360867914
1739209717.4872255;-30.49652367304973
1739209717.4872324;-26.991370085610722
1739209717.4872396;-32.81601443825658
1739209717.4872468;-45.120503652039325
1739209717.4872537;-28.992665084841942
1739209717.4872608;-28.58837851428586
1739209717.4872677;-29.438486411369347
1739209717.487275;-38.13080360867914
1739209717.4872818;-31.14110356531892
1739209717.487289;-32.81601443825658
1739209717.4872959;-30.49652367304973
1739209717.487303;-32.81601443825658
1739209717.48731;-31.141103565318915
1739209717.487317;-38.13080360867914
1739209717.4873242;-45.120503652039325
1739209717.4873312;-38.13080360867914
1739209717.4873383;-38.13080360867914
1739209717.4873452;-30.49652367304973
1739209717.4873524;-28.992665084841942
1739209717.4873593;-45.120503652039325
1739209717.4873664;-38.13080360867914
1739209717.4873734;-35.57807855764607
1739209717.4873805;-32.816014438256545
1739209717.4873874;-38.13080360867914
1739209717.4873946;-45.120503652039325
1739209717.4874015;-32.816014438256545
1739209717.4874086;-38.13080360867914
1739209717.4874158;-45.120503652039325
1739209717.4874227;-33.981070128970906
1739209717.4874299;-28.992665084841942
1739209717.4874368;-29.438486411369333
1739209717.487444;-30.49652367304973
1739209717.4874508;-45.120503652039325
1739209717.487458;-26.991370085610722
1739209717.487465;-32.816014438256545
1739209717.487472;-45.120503652039325
1739209717.487479;-31.141103565318915
1739209717.4874861;-38.13080360867914
1739209717.4874933;-45.120503652039325
1739209717.4875002;-28.992665084841967
1739209717.4875073;-26.035653463252796
1739209717.4875143;-35.57807855764607
1739209717.4875214;-33.981070128970906
1739209717.4875283;-31.141103565318915
1739209717.4875355;-38.13080360867914
1739209717.4875424;-35.57807855764607
1739209717.4875495;-38.13080360867914
1739209717.4875565;-33.981070128970956
1739209717.4875636;-28.992665084841942
1739209717.4875705;-24.151403521958727
1739209717.4875777;-33.981070128970906
1739209717.4875848;-33.981070128970906
1739209717.4875917;-29.438486411369333
1739209717.487599;-32.81601443825658
1739209717.4876058;-29.438486411369354
1739209717.487613;-26.991370085610736
1739209717.4876199;-28.992665084841942
1739209717.487627;-38.13080360867914
1739209717.487634;-31.14110356531892
1739209717.487641;-32.81601443825658
