CAN Message; 0x1b8:02003074c21cc7e8
Timestamp;Amplitude
1739209624.0794241;-45.120503652039325
1739209624.0794294;-45.120503652039325
1739209624.0794344;-45.120503652039325
1739209624.0794396;-45.120503652039325
1739209624.0794446;-38.13080360867914
1739209624.07945;-38.13080360867914
1739209624.079455;-35.57807855764607
1739209624.07946;-38.13080360867914
1739209624.0794652;-45.120503652039325
1739209624.0794702;-45.120503652039325
1739209624.0794754;-32.816014438256545
1739209624.0794804;-31.141103565318915
1739209624.0794857;-38.13080360867914
1739209624.0794907;-35.57807855764607
1739209624.0794957;-32.816014438256545
1739209624.079501;-35.57807855764607
1739209624.079506;-45.120503652039325
1739209624.0795112;-38.13080360867914
1739209624.0795162;-45.120503652039325
1739209624.0795214;-33.981070128970906
1739209624.0795264;-28.58837851428586
1739209624.0795317;-33.981070128970906
1739209624.0795367;-45.120503652039325
1739209624.0795417;-33.981070128970906
1739209624.079547;-38.13080360867914
1739209624.079552;-45.120503652039325
1739209624.0795572;-45.120503652039325
1739209624.0795622;-45.120503652039325
1739209624.0795674;-33.981070128970956
1739209624.0795724;-38.13080360867914
1739209624.0795774;-45.120503652039325
1739209624.0795827;-45.120503652039325
1739209624.0795877;-33.981070128970906
1739209624.079593;-35.57807855764607
1739209624.079598;-45.120503652039325
1739209624.0796032;-38.13080360867914
1739209624.0796082;-28.992665084841942
1739209624.0796132;-45.120503652039325
1739209624.0796185;-45.120503652039325
1739209624.0796235;-38.13080360867914
1739209624.0796287;-45.120503652039325
1739209624.0796337;-45.120503652039325
1739209624.079639;-38.13080360867914
1739209624.079644;-38.13080360867914
1739209624.079649;-45.120503652039325
1739209624.0796542;-38.13080360867914
1739209624.0796592;-38.13080360867914
1739209624.0796645;-38.13080360867914
1739209624.0796695;-45.120503652039325
1739209624.0796747;-45.120503652039325
1739209624.0796797;-35.57807855764607
1739209624.0796847;-45.120503652039325
1739209624.07969;-45.120503652039325
1739209624.079695;-35.57807855764607
1739209624.0797002;-38.13080360867914
1739209624.0797052;-45.120503652039325
1739209624.0797105;-38.13080360867914
1739209624.0797155;-32.816014438256545
1739209624.0797207;-38.13080360867914
1739209624.0797257;-45.120503652039325
1739209624.0797307;-38.13080360867914
1739209624.079736;-45.120503652039325
1739209624.079741;-45.120503652039325
1739209624.0797462;-38.13080360867914
1739209624.0797513;-38.13080360867914
1739209624.0797565;-45.120503652039325
1739209624.0797615;-38.13080360867914
1739209624.0797665;-38.13080360867914
1739209624.0797718;-38.13080360867914
1739209624.0797768;-38.13080360867914
1739209624.079782;-45.120503652039325
1739209624.079787;-38.13080360867914
1739209624.0797923;-38.13080360867914
1739209624.0797973;-38.13080360867914
1739209624.0798023;-38.13080360867914
1739209624.0798075;-45.120503652039325
1739209624.0798125;-45.120503652039325
1739209624.0798178;-45.120503652039325
1739209624.0798228;-45.120503652039325
1739209624.079828;-45.120503652039325
