CAN Message; 0x1b8:03005a0266706cdb
Timestamp;Amplitude
1739209901.6829853;-33.981070128970906
1739209901.6829906;-38.13080360867914
1739209901.6829956;-38.13080360867914
1739209901.6830006;-45.120503652039325
1739209901.6830058;-45.120503652039325
1739209901.6830108;-45.120503652039325
1739209901.6830158;-45.120503652039325
1739209901.6830208;-35.57807855764607
1739209901.683026;-38.13080360867914
1739209901.683031;-45.120503652039325
1739209901.683036;-45.120503652039325
1739209901.6830413;-38.13080360867914
1739209901.6830463;-45.120503652039325
1739209901.6830513;-26.991370085610736
1739209901.6830566;-31.141103565318893
1739209901.6830616;-45.120503652039325
1739209901.6830666;-33.981070128970906
1739209901.6830716;-45.120503652039325
1739209901.6830769;-38.13080360867914
1739209901.6830819;-38.13080360867914
1739209901.6830869;-33.981070128970906
1739209901.683092;-45.120503652039325
1739209901.6830971;-45.120503652039325
1739209901.6831021;-45.120503652039325
1739209901.6831074;-45.120503652039325
1739209901.6831124;-45.120503652039325
1739209901.6831174;-45.120503652039325
1739209901.6831224;-35.57807855764607
1739209901.6831276;-38.13080360867914
1739209901.6831326;-45.120503652039325
1739209901.6831377;-38.13080360867914
1739209901.683143;-35.57807855764607
1739209901.683148;-38.13080360867914
1739209901.683153;-45.120503652039325
1739209901.6831582;-45.120503652039325
1739209901.6831632;-32.816014438256545
1739209901.6831682;-45.120503652039325
1739209901.6831734;-32.816014438256545
1739209901.6831784;-35.57807855764607
1739209901.6831834;-45.120503652039325
1739209901.6831884;-45.120503652039325
1739209901.6831937;-38.13080360867914
1739209901.6831987;-33.981070128970906
1739209901.6832037;-35.57807855764607
1739209901.683209;-33.981070128970906
1739209901.683214;-45.120503652039325
1739209901.683219;-45.120503652039325
1739209901.6832242;-35.57807855764607
1739209901.6832292;-45.120503652039325
1739209901.6832342;-45.120503652039325
1739209901.6832392;-38.13080360867914
1739209901.6832445;-33.981070128970906
1739209901.6832495;-45.120503652039325
1739209901.6832545;-45.120503652039325
1739209901.6832597;-38.13080360867914
1739209901.6832647;-38.13080360867914
1739209901.6832697;-38.13080360867914
1739209901.683275;-45.120503652039325
1739209901.68328;-38.13080360867914
1739209901.683285;-45.120503652039325
1739209901.68329;-45.120503652039325
1739209901.6832952;-45.120503652039325
1739209901.6833003;-45.120503652039325
1739209901.6833053;-38.13080360867914
1739209901.6833105;-38.13080360867914
1739209901.6833155;-45.120503652039325
1739209901.6833205;-38.13080360867914
1739209901.6833258;-38.13080360867914
1739209901.6833308;-45.120503652039325
1739209901.6833358;-45.120503652039325
1739209901.6833408;-45.120503652039325
1739209901.683346;-35.57807855764607
1739209901.683351;-38.13080360867914
1739209901.683356;-45.120503652039325
1739209901.6833613;-45.120503652039325
1739209901.6833663;-35.57807855764607
1739209901.6833713;-38.13080360867914
1739209901.6833766;-45.120503652039325
1739209901.6833816;-31.141103565318915
1739209901.6833866;-33.981070128970906
1739209901.6833918;-38.13080360867914
1739209901.6833968;-45.120503652039325
1739209901.6834018;-38.13080360867914
1739209901.6834068;-38.13080360867914
1739209901.683412;-38.13080360867914
1739209901.683417;-38.13080360867914
1739209901.683422;-38.13080360867914
1739209901.6834273;-45.120503652039325
1739209901.6834323;-45.120503652039325
1739209901.6834373;-45.120503652039325
1739209901.6834426;-45.120503652039325
1739209901.6834476;-38.13080360867914
1739209901.6834526;-38.13080360867914
1739209901.6834576;-45.120503652039325
1739209901.6834629;-38.13080360867914
1739209901.6834679;-38.13080360867914
1739209901.6834729;-45.120503652039325
1739209901.683478;-45.120503652039325
1739209901.6834831;-38.13080360867914
1739209901.6834881;-38.13080360867914
1739209901.6834934;-45.120503652039325
1739209901.6834984;-45.120503652039325
1739209901.6835034;-38.13080360867914
1739209901.6835084;-38.13080360867914
1739209901.6835136;-38.13080360867914
1739209901.6835186;-45.120503652039325
1739209901.6835237;-45.120503652039325
1739209901.683529;-45.120503652039325
1739209901.683534;-38.13080360867914
1739209901.683539;-38.13080360867914
1739209901.6835442;-45.120503652039325
1739209901.6835492;-35.57807855764607
1739209901.6835542;-38.13080360867914
1739209901.6835594;-45.120503652039325
1739209901.6835644;-45.120503652039325
1739209901.6835694;-38.13080360867914
1739209901.6835744;-45.120503652039325
1739209901.6835797;-45.120503652039325
1739209901.6835847;-31.141103565318915
1739209901.6835897;-28.992665084841942
1739209901.683595;-38.13080360867914
1739209901.6836;-45.120503652039325
1739209901.683605;-38.13080360867914
1739209901.6836102;-32.816014438256545
1739209901.6836152;-33.981070128970906
1739209901.6836202;-38.13080360867914
1739209901.6836252;-45.120503652039325
1739209901.6836305;-45.120503652039325
1739209901.6836355;-38.13080360867914
1739209901.6836405;-45.120503652039325
1739209901.6836457;-45.120503652039325
1739209901.6836507;-35.57807855764607
1739209901.6836557;-38.13080360867914
1739209901.683661;-45.120503652039325
1739209901.683666;-38.13080360867914
1739209901.683671;-38.13080360867914
1739209901.683676;-38.13080360867914
1739209901.6836812;-45.120503652039325
1739209901.6836863;-45.120503652039325
1739209901.6836913;-38.13080360867914
1739209901.6836965;-38.13080360867914
1739209901.6837015;-45.120503652039325
1739209901.6837065;-33.981070128970906
1739209901.6837118;-28.58837851428586
1739209901.6837168;-38.13080360867914
1739209901.6837218;-45.120503652039325
1739209901.683727;-38.13080360867914
1739209901.683732;-38.13080360867914
1739209901.683737;-38.13080360867914
1739209901.683742;-35.57807855764607
1739209901.6837473;-45.120503652039325
1739209901.6837523;-33.981070128970956
1739209901.6837573;-45.120503652039325
1739209901.6837626;-45.120503652039325
1739209901.6837676;-45.120503652039325
1739209901.6837726;-35.57807855764607
1739209901.6837778;-38.13080360867914
1739209901.6837828;-45.120503652039325
1739209901.6837878;-38.13080360867914
1739209901.6837928;-30.49652367304973
1739209901.683798;-45.120503652039325
1739209901.683803;-38.13080360867914
1739209901.683808;-38.13080360867914
1739209901.6838133;-38.13080360867914
1739209901.6838183;-33.981070128970906
1739209901.6838233;-45.120503652039325
1739209901.6838286;-45.120503652039325
1739209901.6838336;-45.120503652039325
1739209901.6838386;-38.13080360867914
1739209901.6838436;-45.120503652039325
1739209901.6838489;-38.13080360867914
1739209901.6838539;-38.13080360867914
1739209901.6838589;-45.120503652039325
1739209901.683864;-38.13080360867914
1739209901.6838691;-38.13080360867914
1739209901.6838741;-38.13080360867914
1739209901.6838794;-33.981070128970906
1739209901.6838844;-45.120503652039325
1739209901.6838894;-45.120503652039325
1739209901.6838944;-38.13080360867914
1739209901.6838996;-38.13080360867914
1739209901.6839046;-45.120503652039325
1739209901.6839097;-38.13080360867914
1739209901.683915;-32.816014438256545
1739209901.68392;-45.120503652039325
1739209901.683925;-45.120503652039325
1739209901.6839302;-45.120503652039325
1739209901.6839352;-33.981070128970906
1739209901.6839402;-45.120503652039325
1739209901.6839454;-45.120503652039325
1739209901.6839504;-38.13080360867914
1739209901.6839554;-38.13080360867914
1739209901.6839604;-45.120503652039325
1739209901.6839657;-45.120503652039325
1739209901.6839707;-45.120503652039325
1739209901.6839757;-38.13080360867914
1739209901.683981;-33.981070128970906
1739209901.683986;-45.120503652039325
1739209901.683991;-45.120503652039325
1739209901.6839962;-38.13080360867914
