CAN Message; 0x98:00008e342575193a
Timestamp;Amplitude
1739209646.1139119;-38.13080360867914
1739209646.113915;-30.49652367304973
1739209646.1139178;-33.981070128970906
1739209646.113921;-45.120503652039325
1739209646.113924;-45.120503652039325
1739209646.1139271;-45.120503652039325
1739209646.11393;-45.120503652039325
1739209646.113933;-45.120503652039325
1739209646.1139362;-38.13080360867914
1739209646.1139393;-33.981070128970906
1739209646.1139421;-38.13080360867914
1739209646.1139452;-38.13080360867914
1739209646.1139483;-38.13080360867914
1739209646.1139514;-45.120503652039325
1739209646.1139545;-45.120503652039325
1739209646.1139574;-45.120503652039325
1739209646.1139605;-32.816014438256545
1739209646.1139636;-35.57807855764607
1739209646.1139667;-32.816014438256545
1739209646.1139696;-38.13080360867914
1739209646.1139727;-38.13080360867914
1739209646.1139758;-45.120503652039325
1739209646.1139789;-45.120503652039325
1739209646.113982;-45.120503652039325
1739209646.1139848;-45.120503652039325
1739209646.113988;-38.13080360867914
1739209646.113991;-45.120503652039325
1739209646.1139941;-38.13080360867914
1739209646.113997;-38.13080360867914
1739209646.114;-32.816014438256545
1739209646.1140032;-38.13080360867914
1739209646.1140063;-45.120503652039325
1739209646.1140091;-35.57807855764607
1739209646.1140122;-45.120503652039325
1739209646.1140153;-45.120503652039325
1739209646.1140184;-38.13080360867914
1739209646.1140215;-35.57807855764607
1739209646.1140244;-45.120503652039325
1739209646.1140275;-38.13080360867914
1739209646.1140306;-33.981070128970906
1739209646.1140337;-45.120503652039325
1739209646.1140366;-38.13080360867914
1739209646.1140397;-38.13080360867914
1739209646.1140428;-45.120503652039325
1739209646.1140459;-35.57807855764607
1739209646.114049;-33.981070128970906
1739209646.1140518;-45.120503652039325
1739209646.114055;-45.120503652039325
1739209646.114058;-32.816014438256545
1739209646.114061;-45.120503652039325
1739209646.114064;-45.120503652039325
1739209646.114067;-38.13080360867914
1739209646.1140702;-38.13080360867914
1739209646.1140733;-38.13080360867914
1739209646.1140761;-38.13080360867914
1739209646.1140792;-38.13080360867914
1739209646.1140823;-45.120503652039325
1739209646.1140854;-33.981070128970906
1739209646.1140885;-45.120503652039325
1739209646.1140914;-45.120503652039325
1739209646.1140945;-35.57807855764607
1739209646.1140976;-38.13080360867914
1739209646.1141007;-45.120503652039325
1739209646.1141036;-45.120503652039325
1739209646.1141067;-38.13080360867914
1739209646.1141098;-38.13080360867914
1739209646.1141129;-45.120503652039325
1739209646.114116;-38.13080360867914
1739209646.1141188;-35.57807855764607
1739209646.114122;-38.13080360867914
1739209646.114125;-45.120503652039325
1739209646.114128;-45.120503652039325
1739209646.114131;-32.816014438256545
1739209646.114134;-45.120503652039325
1739209646.1141372;-33.981070128970906
1739209646.1141403;-31.141103565318915
1739209646.1141431;-38.13080360867914
1739209646.1141462;-38.13080360867914
1739209646.1141493;-45.120503652039325
1739209646.1141524;-38.13080360867914
1739209646.1141555;-38.13080360867914
1739209646.1141584;-38.13080360867914
1739209646.1141615;-38.13080360867914
1739209646.1141646;-45.120503652039325
1739209646.1141677;-45.120503652039325
1739209646.1141706;-45.120503652039325
1739209646.1141737;-45.120503652039325
1739209646.1141768;-45.120503652039325
1739209646.1141798;-45.120503652039325
1739209646.114183;-45.120503652039325
1739209646.1141858;-45.120503652039325
1739209646.114189;-45.120503652039325
1739209646.114192;-45.120503652039325
1739209646.114195;-45.120503652039325
1739209646.114198;-38.13080360867914
1739209646.114201;-38.13080360867914
1739209646.1142042;-45.120503652039325
1739209646.1142073;-38.13080360867914
1739209646.1142101;-35.57807855764607
1739209646.1142132;-33.981070128970906
1739209646.1142163;-45.120503652039325
1739209646.1142194;-38.13080360867914
1739209646.1142225;-45.120503652039325
1739209646.1142254;-45.120503652039325
1739209646.1142285;-45.120503652039325
1739209646.1142316;-38.13080360867914
1739209646.1142347;-45.120503652039325
1739209646.1142375;-35.57807855764607
1739209646.1142406;-35.57807855764607
1739209646.1142437;-45.120503652039325
1739209646.1142468;-35.57807855764607
1739209646.11425;-38.13080360867914
1739209646.1142528;-45.120503652039325
1739209646.114256;-38.13080360867914
1739209646.114259;-33.981070128970906
1739209646.114262;-25.826314394896357
1739209646.114265;-45.120503652039325
1739209646.114268;-45.120503652039325
1739209646.1142712;-38.13080360867914
1739209646.1142743;-33.981070128970906
1739209646.1142771;-32.816014438256545
1739209646.1142802;-38.13080360867914
1739209646.1142833;-38.13080360867914
1739209646.1142864;-33.981070128970906
1739209646.1142895;-38.13080360867914
1739209646.1142924;-38.13080360867914
1739209646.1142955;-45.120503652039325
1739209646.1142986;-45.120503652039325
1739209646.1143017;-45.120503652039325
1739209646.1143045;-45.120503652039325
1739209646.1143076;-45.120503652039325
1739209646.1143107;-33.981070128970906
1739209646.1143138;-45.120503652039325
1739209646.114317;-38.13080360867914
1739209646.1143198;-33.981070128970906
1739209646.114323;-45.120503652039325
1739209646.114326;-38.13080360867914
1739209646.114329;-38.13080360867914
1739209646.114332;-38.13080360867914
1739209646.114335;-26.991370085610722
1739209646.1143382;-38.13080360867914
1739209646.1143413;-38.13080360867914
1739209646.1143441;-38.13080360867914
1739209646.1143472;-38.13080360867914
1739209646.1143503;-38.13080360867914
1739209646.1143534;-45.120503652039325
1739209646.1143565;-45.120503652039325
1739209646.1143594;-33.981070128970906
1739209646.1143625;-45.120503652039325
1739209646.1143656;-45.120503652039325
1739209646.1143687;-45.120503652039325
1739209646.1143715;-45.120503652039325
1739209646.1143746;-45.120503652039325
1739209646.1143777;-33.981070128970906
1739209646.1143808;-35.57807855764607
1739209646.114384;-31.141103565318915
1739209646.1143868;-45.120503652039325
1739209646.11439;-38.13080360867914
1739209646.114393;-35.57807855764607
1739209646.114396;-38.13080360867914
1739209646.114399;-35.57807855764607
1739209646.114402;-38.13080360867914
1739209646.1144052;-45.120503652039325
1739209646.1144083;-33.981070128970906
1739209646.114411;-45.120503652039325
1739209646.1144142;-45.120503652039325
1739209646.1144173;-38.13080360867914
1739209646.1144204;-38.13080360867914
1739209646.1144235;-35.57807855764607
1739209646.1144264;-38.13080360867914
1739209646.1144295;-35.57807855764607
1739209646.1144326;-38.13080360867914
1739209646.1144357;-45.120503652039325
1739209646.1144385;-45.120503652039325
1739209646.1144416;-38.13080360867914
1739209646.1144447;-38.13080360867914
1739209646.1144478;-45.120503652039325
1739209646.1144507;-38.13080360867914
1739209646.1144538;-32.816014438256545
1739209646.114457;-38.13080360867914
1739209646.11446;-45.120503652039325
1739209646.114463;-38.13080360867914
1739209646.114466;-45.120503652039325
1739209646.114469;-38.13080360867914
1739209646.1144722;-38.13080360867914
1739209646.1144753;-38.13080360867914
1739209646.114478;-45.120503652039325
1739209646.1144812;-38.13080360867914
1739209646.1144843;-38.13080360867914
1739209646.1144874;-45.120503652039325
1739209646.1144905;-35.57807855764607
1739209646.1144934;-38.13080360867914
1739209646.1144965;-45.120503652039325
