CAN Message; 0x1b8:0300347eae17aa98
Timestamp;Amplitude
1739209726.6009545;-32.816014438256545
1739209726.600957;-38.13080360867914
1739209726.6009595;-45.120503652039325
1739209726.6009622;-35.57807855764607
1739209726.6009645;-38.13080360867914
1739209726.6009672;-45.120503652039325
1739209726.6009698;-35.57807855764607
1739209726.6009722;-45.120503652039325
1739209726.6009748;-45.120503652039325
1739209726.6009774;-32.816014438256545
1739209726.6009798;-38.13080360867914
1739209726.6009824;-45.120503652039325
1739209726.600985;-45.120503652039325
1739209726.6009877;-32.816014438256545
1739209726.60099;-38.13080360867914
1739209726.6009927;-45.120503652039325
1739209726.6009953;-45.120503652039325
1739209726.6009977;-35.57807855764607
1739209726.6010003;-35.57807855764607
1739209726.601003;-45.120503652039325
1739209726.6010053;-45.120503652039325
1739209726.601008;-38.13080360867914
1739209726.6010106;-45.120503652039325
1739209726.601013;-38.13080360867914
1739209726.6010156;-35.57807855764607
1739209726.6010182;-45.120503652039325
1739209726.6010206;-38.13080360867914
1739209726.6010232;-38.13080360867914
1739209726.6010258;-38.13080360867914
1739209726.6010282;-38.13080360867914
1739209726.6010308;-45.120503652039325
1739209726.6010334;-45.120503652039325
1739209726.6010358;-45.120503652039325
1739209726.6010385;-33.981070128970906
1739209726.601041;-45.120503652039325
1739209726.6010435;-45.120503652039325
1739209726.601046;-45.120503652039325
1739209726.6010487;-35.57807855764607
1739209726.601051;-45.120503652039325
1739209726.6010537;-38.13080360867914
1739209726.6010563;-30.49652367304973
1739209726.601059;-45.120503652039325
1739209726.6010613;-45.120503652039325
1739209726.601064;-38.13080360867914
1739209726.6010666;-38.13080360867914
1739209726.601069;-38.13080360867914
1739209726.6010716;-35.57807855764607
1739209726.6010742;-45.120503652039325
1739209726.6010766;-31.141103565318943
1739209726.6010792;-45.120503652039325
1739209726.6010818;-45.120503652039325
1739209726.6010842;-45.120503652039325
1739209726.6010869;-45.120503652039325
1739209726.6010895;-33.981070128970906
1739209726.6010919;-38.13080360867914
1739209726.6010945;-35.57807855764607
1739209726.601097;-25.826314394896357
1739209726.6010995;-35.57807855764607
1739209726.601102;-38.13080360867914
1739209726.6011047;-38.13080360867914
1739209726.6011071;-32.816014438256545
1739209726.6011097;-45.120503652039325
1739209726.6011124;-38.13080360867914
1739209726.6011147;-38.13080360867914
1739209726.6011174;-32.81601443825658
1739209726.60112;-45.120503652039325
1739209726.6011224;-45.120503652039325
1739209726.601125;-38.13080360867914
