CAN Message; 0x1bb:000013f5191d7366
Timestamp;Amplitude
1739209627.0743136;-45.120503652039325
1739209627.0743194;-45.120503652039325
1739209627.074325;-45.120503652039325
1739209627.0743308;-45.120503652039325
1739209627.0743365;-45.120503652039325
1739209627.0743423;-45.120503652039325
1739209627.074348;-45.120503652039325
1739209627.0743537;-35.57807855764607
1739209627.0743594;-31.141103565318893
1739209627.0743651;-45.120503652039325
1739209627.0743709;-38.13080360867914
1739209627.0743766;-35.57807855764607
1739209627.0743823;-35.57807855764607
1739209627.074388;-45.120503652039325
1739209627.0743937;-35.57807855764607
1739209627.0743995;-38.13080360867914
1739209627.0744052;-38.13080360867914
1739209627.074411;-38.13080360867914
1739209627.0744166;-38.13080360867914
1739209627.0744224;-45.120503652039325
1739209627.074428;-31.141103565318943
1739209627.0744338;-45.120503652039325
1739209627.0744395;-45.120503652039325
1739209627.0744452;-45.120503652039325
1739209627.074451;-45.120503652039325
1739209627.0744567;-38.13080360867914
1739209627.0744624;-45.120503652039325
1739209627.0744681;-38.13080360867914
1739209627.0744739;-26.991370085610722
1739209627.0744796;-38.13080360867914
1739209627.0744853;-38.13080360867914
1739209627.074491;-38.13080360867914
1739209627.0744967;-33.981070128970906
1739209627.0745025;-45.120503652039325
1739209627.0745082;-45.120503652039325
1739209627.074514;-45.120503652039325
1739209627.0745196;-38.13080360867914
1739209627.0745254;-45.120503652039325
1739209627.074531;-38.13080360867914
1739209627.0745368;-38.13080360867914
1739209627.0745425;-45.120503652039325
1739209627.0745482;-45.120503652039325
1739209627.074554;-45.120503652039325
1739209627.0745597;-45.120503652039325
1739209627.0745654;-38.13080360867914
1739209627.0745711;-38.13080360867914
1739209627.0745769;-38.13080360867914
1739209627.0745826;-35.57807855764607
1739209627.0745883;-35.57807855764607
1739209627.074594;-45.120503652039325
1739209627.0745997;-45.120503652039325
1739209627.0746055;-33.981070128970906
1739209627.0746112;-31.141103565318915
1739209627.074617;-38.13080360867914
1739209627.0746226;-45.120503652039325
1739209627.0746284;-35.57807855764607
1739209627.074634;-35.57807855764607
1739209627.0746398;-38.13080360867914
1739209627.0746455;-38.13080360867914
1739209627.0746512;-38.13080360867914
1739209627.074657;-35.57807855764607
1739209627.0746627;-38.13080360867914
1739209627.0746684;-45.120503652039325
1739209627.0746741;-45.120503652039325
1739209627.0746799;-45.120503652039325
1739209627.0746856;-45.120503652039325
1739209627.0746913;-33.981070128970906
1739209627.074697;-38.13080360867914
1739209627.0747027;-32.816014438256545
1739209627.0747085;-35.57807855764607
1739209627.0747142;-38.13080360867914
