CAN Message; 0x1d3:000038d922085019
Timestamp;Amplitude
1739209732.0802317;-45.120503652039325
1739209732.0802362;-38.13080360867914
1739209732.0802405;-45.120503652039325
1739209732.080245;-35.57807855764607
1739209732.0802493;-38.13080360867914
1739209732.0802538;-38.13080360867914
1739209732.0802581;-38.13080360867914
1739209732.0802627;-45.120503652039325
1739209732.080267;-45.120503652039325
1739209732.0802712;-38.13080360867914
1739209732.0802758;-35.57807855764607
1739209732.08028;-45.120503652039325
1739209732.0802846;-45.120503652039325
1739209732.080289;-38.13080360867914
1739209732.0802934;-27.267205301931607
1739209732.0802977;-38.13080360867914
1739209732.080302;-38.13080360867914
1739209732.0803065;-45.120503652039325
1739209732.0803108;-45.120503652039325
1739209732.0803154;-45.120503652039325
1739209732.0803196;-45.120503652039325
1739209732.0803242;-45.120503652039325
1739209732.0803285;-31.141103565318943
1739209732.080333;-33.981070128970906
1739209732.0803373;-33.981070128970906
1739209732.0803416;-45.120503652039325
1739209732.080346;-45.120503652039325
1739209732.0803504;-38.13080360867914
1739209732.080355;-45.120503652039325
1739209732.0803592;-45.120503652039325
1739209732.0803638;-33.981070128970906
1739209732.080368;-38.13080360867914
1739209732.0803726;-38.13080360867914
1739209732.0803769;-45.120503652039325
1739209732.0803812;-33.981070128970906
1739209732.0803857;-45.120503652039325
1739209732.08039;-45.120503652039325
1739209732.0803945;-38.13080360867914
1739209732.0803988;-38.13080360867914
1739209732.0804033;-38.13080360867914
1739209732.0804076;-45.120503652039325
1739209732.080412;-45.120503652039325
1739209732.0804164;-45.120503652039325
1739209732.0804207;-38.13080360867914
1739209732.0804253;-45.120503652039325
1739209732.0804296;-45.120503652039325
1739209732.080434;-45.120503652039325
1739209732.0804384;-45.120503652039325
1739209732.080443;-45.120503652039325
1739209732.0804472;-45.120503652039325
1739209732.0804515;-45.120503652039325
1739209732.080456;-38.13080360867914
1739209732.0804603;-38.13080360867914
1739209732.0804648;-38.13080360867914
1739209732.0804691;-38.13080360867914
1739209732.0804737;-38.13080360867914
1739209732.080478;-38.13080360867914
1739209732.0804822;-45.120503652039325
1739209732.0804868;-45.120503652039325
1739209732.080491;-38.13080360867914
1739209732.0804956;-38.13080360867914
1739209732.0805;-45.120503652039325
1739209732.0805044;-32.816014438256545
1739209732.0805087;-33.981070128970906
1739209732.0805132;-33.981070128970906
1739209732.0805175;-45.120503652039325
1739209732.0805218;-38.13080360867914
1739209732.0805264;-38.13080360867914
1739209732.0805306;-45.120503652039325
1739209732.0805352;-33.981070128970906
1739209732.0805395;-31.141103565318915
1739209732.080544;-33.981070128970906
1739209732.0805483;-33.981070128970906
1739209732.0805528;-38.13080360867914
1739209732.080557;-38.13080360867914
1739209732.0805614;-33.981070128970906
1739209732.080566;-38.13080360867914
1739209732.0805702;-45.120503652039325
1739209732.0805748;-38.13080360867914
1739209732.080579;-33.981070128970906
1739209732.0805836;-45.120503652039325
1739209732.0805879;-35.57807855764607
1739209732.0805922;-38.13080360867914
1739209732.0805967;-45.120503652039325
1739209732.080601;-45.120503652039325
1739209732.0806055;-33.981070128970906
1739209732.0806098;-31.141103565318915
1739209732.0806143;-33.981070128970906
1739209732.0806186;-35.57807855764607
1739209732.0806231;-38.13080360867914
1739209732.0806274;-45.120503652039325
1739209732.0806317;-35.57807855764607
1739209732.0806363;-38.13080360867914
1739209732.0806406;-38.13080360867914
1739209732.080645;-35.57807855764607
1739209732.0806494;-45.120503652039325
1739209732.080654;-45.120503652039325
1739209732.0806582;-45.120503652039325
1739209732.0806627;-45.120503652039325
1739209732.080667;-45.120503652039325
1739209732.0806713;-45.120503652039325
1739209732.0806758;-33.981070128970906
1739209732.0806801;-45.120503652039325
1739209732.0806847;-45.120503652039325
1739209732.080689;-45.120503652039325
1739209732.0806935;-45.120503652039325
1739209732.0806978;-45.120503652039325
1739209732.080702;-38.13080360867914
1739209732.0807066;-45.120503652039325
1739209732.080711;-38.13080360867914
1739209732.0807154;-45.120503652039325
1739209732.0807197;-45.120503652039325
1739209732.0807242;-45.120503652039325
1739209732.0807285;-33.981070128970906
1739209732.080733;-38.13080360867914
1739209732.0807374;-38.13080360867914
1739209732.0807416;-32.816014438256545
1739209732.0807462;-38.13080360867914
1739209732.0807505;-38.13080360867914
1739209732.080755;-38.13080360867914
1739209732.0807593;-38.13080360867914
1739209732.0807638;-38.13080360867914
1739209732.080768;-35.57807855764607
1739209732.0807724;-45.120503652039325
1739209732.080777;-45.120503652039325
1739209732.0807812;-45.120503652039325
1739209732.0807858;-45.120503652039325
1739209732.08079;-45.120503652039325
1739209732.0807946;-38.13080360867914
1739209732.0807989;-45.120503652039325
1739209732.0808034;-45.120503652039325
1739209732.0808077;-38.13080360867914
1739209732.080812;-45.120503652039325
1739209732.0808165;-45.120503652039325
1739209732.0808208;-35.57807855764607
1739209732.0808253;-38.13080360867914
1739209732.0808296;-38.13080360867914
1739209732.0808342;-45.120503652039325
1739209732.0808384;-38.13080360867914
1739209732.080843;-38.13080360867914
1739209732.0808473;-45.120503652039325
1739209732.0808516;-38.13080360867914
1739209732.080856;-38.13080360867914
1739209732.0808604;-45.120503652039325
1739209732.080865;-38.13080360867914
1739209732.0808692;-45.120503652039325
1739209732.0808737;-45.120503652039325
1739209732.080878;-35.57807855764607
1739209732.0808823;-35.57807855764607
1739209732.0808868;-38.13080360867914
1739209732.0808911;-35.57807855764607
1739209732.0808957;-38.13080360867914
1739209732.0809;-33.981070128970906
1739209732.0809045;-45.120503652039325
1739209732.0809088;-45.120503652039325
1739209732.0809133;-45.120503652039325
1739209732.0809176;-45.120503652039325
1739209732.080922;-45.120503652039325
1739209732.0809264;-45.120503652039325
1739209732.0809307;-45.120503652039325
1739209732.0809352;-45.120503652039325
1739209732.0809395;-45.120503652039325
1739209732.080944;-45.120503652039325
1739209732.0809484;-32.816014438256545
1739209732.080953;-45.120503652039325
1739209732.0809572;-45.120503652039325
1739209732.0809615;-45.120503652039325
1739209732.080966;-38.13080360867914
1739209732.0809703;-28.58837851428586
1739209732.0809748;-45.120503652039325
1739209732.080979;-45.120503652039325
1739209732.0809836;-45.120503652039325
1739209732.080988;-33.981070128970906
1739209732.0809922;-45.120503652039325
1739209732.0809968;-38.13080360867914
1739209732.081001;-45.120503652039325
1739209732.0810056;-38.13080360867914
1739209732.0810099;-38.13080360867914
1739209732.0810144;-45.120503652039325
1739209732.0810187;-45.120503652039325
1739209732.0810232;-45.120503652039325
1739209732.0810275;-38.13080360867914
1739209732.0810318;-38.13080360867914
1739209732.0810363;-45.120503652039325
1739209732.0810406;-33.981070128970906
1739209732.0810452;-45.120503652039325
1739209732.0810494;-45.120503652039325
1739209732.081054;-45.120503652039325
1739209732.0810583;-33.981070128970906
1739209732.0810626;-38.13080360867914
1739209732.081067;-35.57807855764607
1739209732.0810714;-45.120503652039325
1739209732.081076;-38.13080360867914
1739209732.0810802;-33.981070128970906
1739209732.0810847;-38.13080360867914
1739209732.081089;-45.120503652039325
1739209732.0810935;-38.13080360867914
1739209732.0810978;-38.13080360867914
1739209732.0811021;-45.120503652039325
1739209732.0811067;-45.120503652039325
1739209732.081111;-33.981070128970906
1739209732.0811155;-35.57807855764607
1739209732.0811198;-45.120503652039325
1739209732.0811243;-38.13080360867914
1739209732.0811286;-32.816014438256545
1739209732.0811331;-38.13080360867914
1739209732.0811374;-38.13080360867914
1739209732.0811417;-38.13080360867914
1739209732.0811462;-28.992665084841942
1739209732.0811505;-38.13080360867914
1739209732.081155;-45.120503652039325
1739209732.0811594;-45.120503652039325
1739209732.081164;-38.13080360867914
