CAN Message; 0x1d3:0000158f07d8b6c4
Timestamp;Amplitude
1739209708.6553936;-45.120503652039325
1739209708.6554008;-33.981070128970906
1739209708.6554081;-45.120503652039325
1739209708.6554155;-45.120503652039325
1739209708.6554227;-45.120503652039325
1739209708.65543;-45.120503652039325
1739209708.6554375;-38.13080360867914
1739209708.6554446;-38.13080360867914
1739209708.655452;-38.13080360867914
1739209708.6554592;-38.13080360867914
1739209708.6554666;-35.57807855764607
1739209708.655474;-38.13080360867914
1739209708.655481;-45.120503652039325
1739209708.6554885;-45.120503652039325
1739209708.655496;-45.120503652039325
1739209708.655503;-45.120503652039325
1739209708.6555104;-33.981070128970906
1739209708.6555178;-45.120503652039325
1739209708.655525;-38.13080360867914
1739209708.6555324;-38.13080360867914
1739209708.6555398;-38.13080360867914
1739209708.655547;-45.120503652039325
1739209708.6555543;-45.120503652039325
1739209708.6555614;-45.120503652039325
1739209708.6555688;-38.13080360867914
1739209708.6555762;-45.120503652039325
1739209708.6555834;-45.120503652039325
1739209708.6555908;-38.13080360867914
1739209708.6555982;-38.13080360867914
1739209708.6556053;-38.13080360867914
1739209708.6556127;-38.13080360867914
1739209708.65562;-38.13080360867914
1739209708.6556273;-38.13080360867914
1739209708.6556346;-45.120503652039325
1739209708.655642;-38.13080360867914
1739209708.6556492;-45.120503652039325
1739209708.6556566;-45.120503652039325
1739209708.6556637;-45.120503652039325
1739209708.6556711;-33.981070128970906
1739209708.6556785;-45.120503652039325
1739209708.6556857;-45.120503652039325
1739209708.655693;-35.57807855764607
1739209708.6557004;-38.13080360867914
1739209708.6557076;-45.120503652039325
1739209708.655715;-45.120503652039325
1739209708.6557224;-38.13080360867914
1739209708.6557295;-45.120503652039325
1739209708.655737;-38.13080360867914
1739209708.6557443;-38.13080360867914
1739209708.6557515;-38.13080360867914
1739209708.6557589;-33.981070128970906
1739209708.6557662;-38.13080360867914
1739209708.6557734;-45.120503652039325
1739209708.6557808;-45.120503652039325
1739209708.655788;-38.13080360867914
1739209708.6557953;-38.13080360867914
1739209708.6558027;-38.13080360867914
1739209708.6558099;-35.57807855764607
1739209708.6558173;-45.120503652039325
1739209708.6558247;-38.13080360867914
1739209708.6558318;-38.13080360867914
1739209708.6558392;-45.120503652039325
1739209708.6558466;-45.120503652039325
1739209708.6558537;-45.120503652039325
1739209708.6558611;-45.120503652039325
1739209708.6558685;-32.816014438256545
1739209708.6558757;-38.13080360867914
1739209708.655883;-45.120503652039325
1739209708.6558902;-38.13080360867914
1739209708.6558976;-45.120503652039325
1739209708.655905;-31.141103565318915
1739209708.6559122;-32.816014438256545
1739209708.6559196;-45.120503652039325
1739209708.655927;-45.120503652039325
1739209708.655934;-31.141103565318915
1739209708.6559415;-28.58837851428586
1739209708.6559489;-45.120503652039325
1739209708.655956;-35.57807855764607
1739209708.6559634;-38.13080360867914
1739209708.6559708;-35.57807855764607
1739209708.655978;-38.13080360867914
1739209708.6559854;-45.120503652039325
1739209708.6559925;-38.13080360867914
1739209708.656;-33.981070128970956
1739209708.6560073;-45.120503652039325
1739209708.6560144;-38.13080360867914
1739209708.6560218;-38.13080360867914
1739209708.6560292;-45.120503652039325
1739209708.6560364;-33.981070128970906
1739209708.6560438;-35.57807855764607
1739209708.6560512;-33.981070128970906
1739209708.6560583;-31.141103565318915
1739209708.6560657;-38.13080360867914
1739209708.656073;-45.120503652039325
1739209708.6560802;-35.57807855764607
1739209708.6560876;-32.816014438256545
1739209708.656095;-45.120503652039325
1739209708.6561022;-38.13080360867914
1739209708.6561096;-45.120503652039325
1739209708.6561167;-45.120503652039325
1739209708.656124;-45.120503652039325
1739209708.6561315;-45.120503652039325
1739209708.6561387;-45.120503652039325
1739209708.656146;-45.120503652039325
1739209708.6561534;-38.13080360867914
1739209708.6561606;-45.120503652039325
1739209708.656168;-45.120503652039325
1739209708.6561754;-38.13080360867914
1739209708.6561825;-35.57807855764607
1739209708.65619;-38.13080360867914
1739209708.6561973;-38.13080360867914
1739209708.6562045;-35.57807855764607
1739209708.6562119;-35.57807855764607
1739209708.656219;-45.120503652039325
1739209708.6562264;-45.120503652039325
1739209708.6562338;-31.141103565318893
1739209708.656241;-38.13080360867914
1739209708.6562483;-45.120503652039325
1739209708.6562557;-38.13080360867914
1739209708.6562629;-38.13080360867914
1739209708.6562703;-45.120503652039325
1739209708.6562777;-35.57807855764607
1739209708.6562848;-45.120503652039325
1739209708.6562922;-31.141103565318943
1739209708.6562996;-45.120503652039325
1739209708.6563067;-38.13080360867914
1739209708.6563141;-45.120503652039325
1739209708.6563215;-45.120503652039325
1739209708.6563287;-35.57807855764607
1739209708.656336;-38.13080360867914
1739209708.6563432;-38.13080360867914
1739209708.6563506;-29.438486411369333
1739209708.656358;-45.120503652039325
1739209708.6563652;-45.120503652039325
1739209708.6563725;-38.13080360867914
1739209708.65638;-45.120503652039325
1739209708.656387;-45.120503652039325
1739209708.6563945;-38.13080360867914
1739209708.6564019;-45.120503652039325
1739209708.656409;-45.120503652039325
1739209708.6564164;-38.13080360867914
1739209708.6564238;-45.120503652039325
1739209708.656431;-45.120503652039325
1739209708.6564384;-38.13080360867914
1739209708.6564455;-45.120503652039325
1739209708.656453;-45.120503652039325
1739209708.6564603;-38.13080360867914
1739209708.6564674;-45.120503652039325
1739209708.6564748;-45.120503652039325
1739209708.6564822;-45.120503652039325
1739209708.6564894;-38.13080360867914
1739209708.6564968;-45.120503652039325
1739209708.6565042;-45.120503652039325
1739209708.6565113;-45.120503652039325
1739209708.6565187;-45.120503652039325
1739209708.656526;-32.816014438256545
1739209708.6565332;-38.13080360867914
1739209708.6565406;-38.13080360867914
1739209708.6565478;-33.981070128970906
1739209708.6565552;-35.57807855764607
1739209708.6565626;-38.13080360867914
1739209708.6565697;-38.13080360867914
1739209708.656577;-38.13080360867914
1739209708.6565845;-45.120503652039325
1739209708.6565917;-45.120503652039325
1739209708.656599;-38.13080360867914
