CAN Message; 0x1a7:0000c96387ec074e
Timestamp;Amplitude
1739209592.8420262;-33.981070128970956
1739209592.8420405;-31.141103565318915
1739209592.8420546;-45.120503652039325
1739209592.842069;-45.120503652039325
1739209592.842083;-45.120503652039325
1739209592.8420973;-33.981070128970906
1739209592.8421113;-38.13080360867914
1739209592.8421257;-31.141103565318893
1739209592.8421397;-25.826314394896354
1739209592.842154;-28.588378514285886
1739209592.842168;-33.981070128970906
1739209592.8421822;-38.13080360867914
1739209592.8421965;-33.981070128970956
1739209592.8422105;-32.816014438256545
1739209592.8422248;-38.13080360867914
1739209592.842239;-35.57807855764607
1739209592.8422532;-32.816014438256545
1739209592.8422673;-45.120503652039325
1739209592.8422816;-38.13080360867914
1739209592.8422956;-45.120503652039325
1739209592.8423097;-24.151403521958727
1739209592.842324;-24.74623867263306
1739209592.842338;-29.438486411369375
1739209592.8423524;-33.981070128970906
1739209592.8423665;-38.13080360867914
1739209592.8423808;-33.981070128970906
1739209592.8423948;-31.141103565318893
1739209592.8424091;-33.981070128970906
1739209592.8424232;-35.57807855764607
1739209592.8424375;-45.120503652039325
1739209592.8424516;-31.141103565318915
1739209592.8424656;-30.49652367304973
1739209592.84248;-33.981070128970956
1739209592.842494;-22.841636605902558
1739209592.8425083;-21.676580915188183
1739209592.8425224;-45.120503652039325
1739209592.8425367;-31.141103565318915
1739209592.8425508;-26.991370085610722
1739209592.842565;-38.13080360867914
1739209592.8425791;-38.13080360867914
1739209592.8425934;-30.49652367304973
1739209592.8426075;-45.120503652039325
1739209592.8426216;-45.120503652039325
1739209592.8426359;-33.981070128970906
1739209592.84265;-30.49652367304973
1739209592.8426642;-25.62660358559016
1739209592.8426783;-22.264930561961563
1739209592.8426926;-28.58837851428586
1739209592.8427067;-33.981070128970906
1739209592.842721;-26.991370085610736
1739209592.842735;-27.267205301931607
1739209592.8427494;-45.120503652039325
1739209592.8427634;-38.13080360867914
1739209592.8427775;-33.981070128970906
1739209592.8427918;-31.141103565318893
1739209592.8428059;-31.141103565318915
1739209592.8428202;-45.120503652039325
1739209592.8428342;-25.07728991421287
