CAN Message; 0x77:672742e93b5d2f59
Timestamp;Amplitude
1739209620.5133395;-45.120503652039325
1739209620.5133495;-45.120503652039325
1739209620.5133593;-38.13080360867914
1739209620.5133693;-45.120503652039325
1739209620.513379;-38.13080360867914
1739209620.513389;-32.816014438256545
1739209620.513399;-38.13080360867914
1739209620.513409;-38.13080360867914
1739209620.5134187;-45.120503652039325
1739209620.5134287;-35.57807855764607
1739209620.5134385;-35.57807855764607
1739209620.5134485;-38.13080360867914
1739209620.5134583;-45.120503652039325
1739209620.5134683;-38.13080360867914
1739209620.513478;-38.13080360867914
1739209620.513488;-38.13080360867914
1739209620.5134978;-38.13080360867914
1739209620.5135076;-38.13080360867914
1739209620.5135176;-35.57807855764607
1739209620.5135274;-45.120503652039325
1739209620.5135374;-38.13080360867914
1739209620.5135472;-45.120503652039325
1739209620.5135572;-45.120503652039325
1739209620.513567;-38.13080360867914
1739209620.513577;-45.120503652039325
1739209620.5135868;-33.981070128970906
1739209620.5135968;-38.13080360867914
1739209620.5136065;-35.57807855764607
1739209620.5136166;-38.13080360867914
1739209620.5136263;-32.816014438256545
1739209620.5136364;-25.826314394896354
1739209620.5136461;-45.120503652039325
1739209620.5136561;-45.120503652039325
1739209620.513666;-38.13080360867914
1739209620.5136757;-38.13080360867914
1739209620.5136857;-45.120503652039325
1739209620.5136955;-45.120503652039325
1739209620.5137055;-45.120503652039325
1739209620.5137153;-45.120503652039325
1739209620.5137253;-38.13080360867914
1739209620.513735;-45.120503652039325
1739209620.513745;-38.13080360867914
1739209620.5137548;-45.120503652039325
1739209620.5137649;-45.120503652039325
1739209620.5137746;-45.120503652039325
1739209620.5137846;-32.816014438256545
1739209620.5137944;-26.487275050834715
1739209620.5138044;-38.13080360867914
1739209620.5138142;-45.120503652039325
1739209620.5138242;-45.120503652039325
1739209620.513834;-45.120503652039325
1739209620.5138438;-45.120503652039325
1739209620.5138538;-35.57807855764607
1739209620.5138636;-45.120503652039325
1739209620.5138736;-45.120503652039325
1739209620.5138834;-38.13080360867914
1739209620.5138934;-38.13080360867914
1739209620.5139031;-33.981070128970906
1739209620.5139132;-38.13080360867914
1739209620.513923;-38.13080360867914
1739209620.513933;-38.13080360867914
1739209620.5139427;-38.13080360867914
1739209620.5139527;-45.120503652039325
1739209620.5139625;-45.120503652039325
1739209620.5139725;-38.13080360867914
1739209620.5139823;-38.13080360867914
1739209620.5139923;-45.120503652039325
1739209620.514002;-38.13080360867914
1739209620.5140119;-45.120503652039325
1739209620.5140219;-45.120503652039325
1739209620.5140316;-38.13080360867914
1739209620.5140417;-38.13080360867914
1739209620.5140514;-45.120503652039325
1739209620.5140615;-38.13080360867914
1739209620.5140712;-35.57807855764607
1739209620.5140812;-33.981070128970906
1739209620.514091;-35.57807855764607
1739209620.514101;-33.981070128970906
1739209620.5141108;-45.120503652039325
1739209620.5141208;-45.120503652039325
1739209620.5141306;-38.13080360867914
1739209620.5141406;-45.120503652039325
1739209620.5141504;-45.120503652039325
1739209620.5141604;-38.13080360867914
1739209620.5141702;-45.120503652039325
1739209620.51418;-45.120503652039325
1739209620.51419;-33.981070128970906
1739209620.5141997;-35.57807855764607
1739209620.5142097;-45.120503652039325
1739209620.5142195;-45.120503652039325
1739209620.5142295;-35.57807855764607
1739209620.5142393;-38.13080360867914
1739209620.5142493;-45.120503652039325
1739209620.514259;-45.120503652039325
1739209620.514269;-38.13080360867914
1739209620.514279;-45.120503652039325
1739209620.514289;-45.120503652039325
1739209620.5142987;-38.13080360867914
1739209620.5143087;-35.57807855764607
1739209620.5143185;-38.13080360867914
1739209620.5143285;-38.13080360867914
1739209620.5143383;-35.57807855764607
1739209620.514348;-35.57807855764607
1739209620.514358;-38.13080360867914
1739209620.5143678;-45.120503652039325
1739209620.5143778;-35.57807855764607
1739209620.5143876;-33.981070128970906
1739209620.5143976;-45.120503652039325
1739209620.5144074;-38.13080360867914
1739209620.5144174;-38.13080360867914
1739209620.5144272;-38.13080360867914
1739209620.5144372;-38.13080360867914
1739209620.514447;-45.120503652039325
1739209620.514457;-45.120503652039325
1739209620.5144668;-38.13080360867914
1739209620.5144768;-38.13080360867914
1739209620.5144866;-45.120503652039325
1739209620.5144966;-45.120503652039325
1739209620.5145063;-38.13080360867914
1739209620.514516;-45.120503652039325
1739209620.5145261;-45.120503652039325
1739209620.514536;-45.120503652039325
1739209620.514546;-38.13080360867914
1739209620.5145557;-45.120503652039325
1739209620.5145657;-45.120503652039325
1739209620.5145755;-38.13080360867914
1739209620.5145855;-33.981070128970906
1739209620.5145953;-32.816014438256545
1739209620.5146053;-45.120503652039325
1739209620.514615;-45.120503652039325
1739209620.514625;-35.57807855764607
1739209620.5146348;-35.57807855764607
1739209620.5146449;-45.120503652039325
1739209620.5146546;-38.13080360867914
1739209620.5146646;-38.13080360867914
1739209620.5146744;-45.120503652039325
1739209620.5146842;-45.120503652039325
1739209620.5146942;-38.13080360867914
1739209620.514704;-38.13080360867914
1739209620.514714;-45.120503652039325
1739209620.5147238;-45.120503652039325
1739209620.5147338;-33.981070128970906
1739209620.5147436;-45.120503652039325
1739209620.5147536;-38.13080360867914
1739209620.5147634;-38.13080360867914
1739209620.5147734;-38.13080360867914
1739209620.5147831;-45.120503652039325
1739209620.5147932;-33.981070128970906
1739209620.514803;-35.57807855764607
1739209620.514813;-45.120503652039325
1739209620.5148227;-45.120503652039325
1739209620.5148327;-45.120503652039325
1739209620.5148425;-45.120503652039325
1739209620.5148523;-45.120503652039325
1739209620.5148623;-45.120503652039325
