CAN Message; 0x150:0000c8352d86cec4
Timestamp;Amplitude
1739209783.6569245;-38.13080360867914
1739209783.6569266;-33.981070128970906
1739209783.656929;-38.13080360867914
1739209783.6569312;-45.120503652039325
1739209783.6569335;-38.13080360867914
1739209783.6569357;-38.13080360867914
1739209783.656938;-45.120503652039325
1739209783.6569405;-45.120503652039325
1739209783.6569426;-45.120503652039325
1739209783.656945;-45.120503652039325
1739209783.6569471;-45.120503652039325
1739209783.6569495;-38.13080360867914
1739209783.6569517;-45.120503652039325
1739209783.656954;-45.120503652039325
1739209783.6569564;-45.120503652039325
1739209783.6569586;-38.13080360867914
1739209783.656961;-35.57807855764607
1739209783.656963;-45.120503652039325
1739209783.6569655;-45.120503652039325
1739209783.6569676;-38.13080360867914
1739209783.65697;-32.816014438256545
1739209783.6569724;-32.816014438256545
1739209783.6569746;-38.13080360867914
1739209783.656977;-38.13080360867914
1739209783.656979;-35.57807855764607
1739209783.6569815;-38.13080360867914
1739209783.6569836;-45.120503652039325
1739209783.656986;-45.120503652039325
1739209783.6569884;-38.13080360867914
1739209783.6569905;-38.13080360867914
1739209783.656993;-45.120503652039325
1739209783.656995;-38.13080360867914
1739209783.6569974;-38.13080360867914
1739209783.6569996;-35.57807855764607
1739209783.657002;-45.120503652039325
1739209783.6570044;-45.120503652039325
1739209783.6570065;-38.13080360867914
1739209783.657009;-38.13080360867914
1739209783.657011;-45.120503652039325
1739209783.6570134;-38.13080360867914
1739209783.6570158;-35.57807855764607
1739209783.657018;-31.141103565318915
1739209783.6570203;-45.120503652039325
1739209783.6570225;-38.13080360867914
1739209783.6570249;-45.120503652039325
1739209783.657027;-38.13080360867914
1739209783.6570294;-45.120503652039325
1739209783.6570318;-38.13080360867914
1739209783.657034;-45.120503652039325
1739209783.6570363;-45.120503652039325
1739209783.6570385;-45.120503652039325
1739209783.6570408;-45.120503652039325
1739209783.657043;-45.120503652039325
1739209783.6570454;-45.120503652039325
1739209783.6570477;-38.13080360867914
1739209783.65705;-38.13080360867914
1739209783.6570523;-45.120503652039325
1739209783.6570544;-33.981070128970906
1739209783.6570568;-32.816014438256545
1739209783.657059;-38.13080360867914
1739209783.6570613;-45.120503652039325
1739209783.6570637;-38.13080360867914
1739209783.6570659;-45.120503652039325
1739209783.6570683;-45.120503652039325
1739209783.6570704;-45.120503652039325
1739209783.6570728;-33.981070128970906
1739209783.657075;-38.13080360867914
1739209783.6570773;-38.13080360867914
1739209783.6570797;-45.120503652039325
1739209783.6570818;-38.13080360867914
1739209783.6570842;-32.816014438256545
1739209783.6570864;-38.13080360867914
1739209783.6570888;-45.120503652039325
1739209783.657091;-28.58837851428586
1739209783.6570933;-38.13080360867914
1739209783.6570957;-45.120503652039325
1739209783.6570978;-45.120503652039325
1739209783.6571002;-38.13080360867914
1739209783.6571023;-45.120503652039325
1739209783.6571047;-45.120503652039325
1739209783.6571069;-45.120503652039325
1739209783.6571093;-38.13080360867914
1739209783.6571116;-45.120503652039325
1739209783.6571138;-45.120503652039325
1739209783.6571162;-45.120503652039325
1739209783.6571183;-38.13080360867914
1739209783.6571207;-38.13080360867914
1739209783.6571229;-45.120503652039325
1739209783.6571252;-38.13080360867914
1739209783.6571276;-38.13080360867914
1739209783.6571298;-45.120503652039325
1739209783.6571321;-38.13080360867914
1739209783.6571343;-38.13080360867914
1739209783.6571367;-38.13080360867914
1739209783.6571388;-38.13080360867914
1739209783.6571412;-38.13080360867914
1739209783.6571436;-32.816014438256545
1739209783.6571457;-38.13080360867914
1739209783.6571481;-38.13080360867914
1739209783.6571503;-38.13080360867914
1739209783.6571527;-35.57807855764607
1739209783.6571548;-35.57807855764607
1739209783.6571572;-45.120503652039325
1739209783.6571596;-45.120503652039325
1739209783.6571617;-38.13080360867914
1739209783.657164;-45.120503652039325
1739209783.6571662;-38.13080360867914
1739209783.6571686;-35.57807855764607
1739209783.6571708;-38.13080360867914
1739209783.6571732;-38.13080360867914
1739209783.6571755;-35.57807855764607
1739209783.6571777;-38.13080360867914
1739209783.65718;-38.13080360867914
1739209783.6571822;-35.57807855764607
1739209783.6571846;-45.120503652039325
1739209783.6571867;-45.120503652039325
1739209783.6571891;-35.57807855764607
1739209783.6571915;-35.57807855764607
1739209783.6571937;-45.120503652039325
1739209783.657196;-45.120503652039325
1739209783.6571982;-35.57807855764607
1739209783.6572006;-38.13080360867914
1739209783.657203;-45.120503652039325
1739209783.657205;-38.13080360867914
1739209783.6572075;-45.120503652039325
1739209783.6572096;-45.120503652039325
1739209783.657212;-45.120503652039325
1739209783.6572142;-45.120503652039325
1739209783.6572165;-45.120503652039325
1739209783.657219;-38.13080360867914
1739209783.657221;-45.120503652039325
1739209783.6572235;-38.13080360867914
1739209783.6572256;-45.120503652039325
1739209783.657228;-45.120503652039325
1739209783.6572301;-38.13080360867914
1739209783.6572325;-38.13080360867914
1739209783.657235;-35.57807855764607
1739209783.657237;-38.13080360867914
1739209783.6572394;-45.120503652039325
1739209783.6572416;-45.120503652039325
1739209783.657244;-38.13080360867914
1739209783.657246;-38.13080360867914
1739209783.6572485;-45.120503652039325
1739209783.657251;-45.120503652039325
1739209783.657253;-38.13080360867914
1739209783.6572554;-45.120503652039325
1739209783.6572576;-35.57807855764607
1739209783.65726;-35.57807855764607
1739209783.657262;-35.57807855764607
1739209783.6572645;-38.13080360867914
1739209783.6572669;-38.13080360867914
1739209783.657269;-38.13080360867914
1739209783.6572714;-45.120503652039325
1739209783.6572735;-45.120503652039325
1739209783.657276;-45.120503652039325
1739209783.657278;-38.13080360867914
1739209783.6572804;-45.120503652039325
1739209783.6572828;-45.120503652039325
1739209783.657285;-45.120503652039325
1739209783.6572874;-45.120503652039325
1739209783.6572895;-45.120503652039325
1739209783.657292;-45.120503652039325
1739209783.657294;-45.120503652039325
1739209783.6572964;-45.120503652039325
1739209783.6572988;-45.120503652039325
1739209783.657301;-35.57807855764607
1739209783.6573033;-35.57807855764607
1739209783.6573055;-45.120503652039325
1739209783.6573079;-45.120503652039325
1739209783.65731;-45.120503652039325
1739209783.6573124;-33.981070128970906
1739209783.6573148;-35.57807855764607
1739209783.657317;-38.13080360867914
1739209783.6573193;-45.120503652039325
1739209783.6573215;-45.120503652039325
1739209783.6573238;-38.13080360867914
1739209783.657326;-45.120503652039325
1739209783.6573284;-35.57807855764607
