CAN Message; 0x1d3:000023db7de56698
Timestamp;Amplitude
1739209779.204466;-33.981070128970906
1739209779.2044766;-28.992665084841942
1739209779.2044868;-45.120503652039325
1739209779.2044973;-45.120503652039325
1739209779.2045078;-45.120503652039325
1739209779.2045183;-45.120503652039325
1739209779.2045288;-38.13080360867914
1739209779.2045393;-35.57807855764607
1739209779.2045496;-38.13080360867914
1739209779.20456;-38.13080360867914
1739209779.2045705;-45.120503652039325
1739209779.204581;-45.120503652039325
1739209779.2045915;-45.120503652039325
1739209779.2046018;-45.120503652039325
1739209779.2046123;-38.13080360867914
1739209779.2046227;-45.120503652039325
1739209779.2046332;-38.13080360867914
1739209779.2046437;-31.141103565318915
1739209779.204654;-45.120503652039325
1739209779.2046645;-45.120503652039325
1739209779.204675;-38.13080360867914
1739209779.2046854;-32.816014438256545
1739209779.204696;-33.981070128970906
1739209779.2047062;-45.120503652039325
1739209779.2047167;-38.13080360867914
1739209779.2047272;-32.816014438256545
1739209779.2047377;-38.13080360867914
1739209779.2047482;-45.120503652039325
1739209779.2047586;-38.13080360867914
1739209779.204769;-38.13080360867914
1739209779.2047794;-45.120503652039325
1739209779.2047899;-45.120503652039325
1739209779.2048004;-45.120503652039325
1739209779.2048109;-38.13080360867914
1739209779.204821;-38.13080360867914
1739209779.2048316;-45.120503652039325
1739209779.204842;-38.13080360867914
1739209779.2048526;-38.13080360867914
1739209779.204863;-33.981070128970906
1739209779.2048736;-45.120503652039325
1739209779.2048838;-45.120503652039325
1739209779.2048943;-25.826314394896354
1739209779.2049048;-32.816014438256545
1739209779.2049153;-45.120503652039325
1739209779.2049258;-45.120503652039325
1739209779.204936;-35.57807855764607
1739209779.2049465;-38.13080360867914
1739209779.204957;-45.120503652039325
1739209779.2049675;-45.120503652039325
1739209779.204978;-45.120503652039325
1739209779.2049882;-45.120503652039325
1739209779.2049987;-45.120503652039325
1739209779.2050092;-45.120503652039325
1739209779.2050197;-32.816014438256545
1739209779.2050302;-38.13080360867914
1739209779.2050405;-45.120503652039325
1739209779.205051;-38.13080360867914
1739209779.2050614;-45.120503652039325
1739209779.205072;-45.120503652039325
1739209779.2050824;-45.120503652039325
1739209779.205093;-45.120503652039325
1739209779.2051032;-45.120503652039325
1739209779.2051136;-45.120503652039325
1739209779.2051241;-35.57807855764607
1739209779.2051346;-38.13080360867914
