CAN Message; 0x1a7:0000f7d72a438675
Timestamp;Amplitude
1739209600.0843098;-38.13080360867914
1739209600.084319;-38.13080360867914
1739209600.0843287;-38.13080360867914
1739209600.084338;-45.120503652039325
1739209600.0843472;-45.120503652039325
1739209600.0843565;-45.120503652039325
1739209600.084366;-45.120503652039325
1739209600.0843754;-32.816014438256545
1739209600.0843847;-38.13080360867914
1739209600.084394;-45.120503652039325
1739209600.0844035;-38.13080360867914
1739209600.0844128;-45.120503652039325
1739209600.084422;-35.57807855764607
1739209600.0844314;-38.13080360867914
1739209600.084441;-45.120503652039325
1739209600.0844502;-45.120503652039325
1739209600.0844595;-38.13080360867914
1739209600.0844688;-38.13080360867914
1739209600.0844781;-45.120503652039325
1739209600.0844877;-38.13080360867914
1739209600.084497;-45.120503652039325
1739209600.0845063;-45.120503652039325
1739209600.0845156;-38.13080360867914
1739209600.084525;-45.120503652039325
1739209600.0845344;-38.13080360867914
1739209600.0845437;-38.13080360867914
1739209600.084553;-38.13080360867914
1739209600.0845625;-45.120503652039325
1739209600.0845718;-31.141103565318893
1739209600.0845811;-32.816014438256545
1739209600.0845904;-45.120503652039325
1739209600.0846;-45.120503652039325
1739209600.0846093;-38.13080360867914
1739209600.0846186;-35.57807855764607
1739209600.0846279;-38.13080360867914
1739209600.0846374;-32.816014438256545
1739209600.0846467;-45.120503652039325
1739209600.084656;-45.120503652039325
1739209600.0846653;-38.13080360867914
1739209600.0846746;-45.120503652039325
1739209600.0846841;-33.981070128970906
1739209600.0846934;-45.120503652039325
1739209600.0847027;-38.13080360867914
1739209600.084712;-45.120503652039325
1739209600.0847216;-30.49652367304973
1739209600.0847309;-32.816014438256545
1739209600.0847402;-45.120503652039325
1739209600.0847495;-45.120503652039325
1739209600.084759;-35.57807855764607
1739209600.0847683;-35.57807855764607
1739209600.0847776;-45.120503652039325
1739209600.084787;-45.120503652039325
1739209600.0847964;-45.120503652039325
1739209600.0848057;-45.120503652039325
1739209600.084815;-38.13080360867914
1739209600.0848243;-38.13080360867914
1739209600.0848336;-45.120503652039325
1739209600.0848432;-45.120503652039325
1739209600.0848525;-38.13080360867914
1739209600.0848618;-45.120503652039325
1739209600.084871;-38.13080360867914
1739209600.0848806;-35.57807855764607
1739209600.08489;-38.13080360867914
1739209600.0848992;-45.120503652039325
1739209600.0849085;-38.13080360867914
1739209600.084918;-38.13080360867914
1739209600.0849273;-45.120503652039325
1739209600.0849366;-45.120503652039325
1739209600.084946;-33.981070128970906
1739209600.0849555;-45.120503652039325
1739209600.0849648;-45.120503652039325
1739209600.084974;-38.13080360867914
1739209600.0849833;-45.120503652039325
1739209600.0849926;-45.120503652039325
1739209600.0850022;-38.13080360867914
1739209600.0850115;-45.120503652039325
1739209600.0850208;-45.120503652039325
1739209600.08503;-38.13080360867914
1739209600.0850396;-45.120503652039325
1739209600.085049;-45.120503652039325
1739209600.0850582;-45.120503652039325
1739209600.0850675;-35.57807855764607
1739209600.085077;-45.120503652039325
1739209600.0850863;-45.120503652039325
1739209600.0850956;-38.13080360867914
1739209600.085105;-38.13080360867914
1739209600.0851145;-38.13080360867914
1739209600.0851238;-30.49652367304973
1739209600.085133;-45.120503652039325
1739209600.0851424;-45.120503652039325
1739209600.085152;-38.13080360867914
1739209600.0851612;-45.120503652039325
1739209600.0851705;-45.120503652039325
1739209600.0851798;-45.120503652039325
1739209600.085189;-45.120503652039325
1739209600.0851986;-45.120503652039325
1739209600.085208;-38.13080360867914
1739209600.0852172;-35.57807855764607
1739209600.0852265;-45.120503652039325
1739209600.085236;-45.120503652039325
1739209600.0852454;-35.57807855764607
1739209600.0852547;-28.992665084841942
1739209600.085264;-45.120503652039325
1739209600.0852735;-45.120503652039325
1739209600.0852828;-38.13080360867914
1739209600.085292;-38.13080360867914
1739209600.0853014;-35.57807855764607
1739209600.085311;-38.13080360867914
1739209600.0853202;-45.120503652039325
1739209600.0853295;-35.57807855764607
1739209600.0853388;-38.13080360867914
1739209600.0853481;-38.13080360867914
1739209600.0853577;-38.13080360867914
1739209600.085367;-45.120503652039325
1739209600.0853763;-45.120503652039325
1739209600.0853856;-38.13080360867914
1739209600.085395;-38.13080360867914
1739209600.0854044;-25.826314394896357
1739209600.0854137;-38.13080360867914
1739209600.085423;-45.120503652039325
1739209600.0854325;-38.13080360867914
1739209600.0854418;-33.981070128970906
1739209600.0854511;-38.13080360867914
1739209600.0854604;-45.120503652039325
1739209600.08547;-38.13080360867914
1739209600.0854793;-38.13080360867914
1739209600.0854886;-45.120503652039325
1739209600.0854979;-38.13080360867914
1739209600.0855072;-45.120503652039325
1739209600.0855167;-38.13080360867914
1739209600.085526;-38.13080360867914
1739209600.0855353;-45.120503652039325
1739209600.0855446;-45.120503652039325
1739209600.0855541;-33.981070128970906
1739209600.0855634;-38.13080360867914
1739209600.0855727;-45.120503652039325
1739209600.085582;-38.13080360867914
1739209600.0855916;-33.981070128970906
1739209600.0856009;-45.120503652039325
1739209600.0856102;-45.120503652039325
1739209600.0856194;-35.57807855764607
1739209600.085629;-33.981070128970906
1739209600.0856383;-38.13080360867914
1739209600.0856476;-45.120503652039325
1739209600.085657;-35.57807855764607
1739209600.0856664;-45.120503652039325
1739209600.0856757;-45.120503652039325
1739209600.085685;-45.120503652039325
1739209600.0856943;-38.13080360867914
1739209600.0857036;-33.981070128970906
1739209600.0857131;-33.981070128970906
1739209600.0857224;-38.13080360867914
1739209600.0857317;-45.120503652039325
1739209600.085741;-38.13080360867914
1739209600.0857506;-38.13080360867914
1739209600.0857599;-35.57807855764607
1739209600.0857692;-38.13080360867914
1739209600.0857785;-33.981070128970906
1739209600.085788;-35.57807855764607
1739209600.0857973;-38.13080360867914
1739209600.0858066;-38.13080360867914
1739209600.085816;-38.13080360867914
1739209600.0858254;-35.57807855764607
1739209600.0858347;-38.13080360867914
1739209600.085844;-45.120503652039325
1739209600.0858533;-31.141103565318915
1739209600.0858626;-28.992665084841942
1739209600.0858722;-38.13080360867914
1739209600.0858815;-38.13080360867914
1739209600.0858908;-38.13080360867914
1739209600.0859;-38.13080360867914
1739209600.0859096;-38.13080360867914
1739209600.085919;-45.120503652039325
1739209600.0859282;-45.120503652039325
1739209600.0859375;-35.57807855764607
1739209600.085947;-38.13080360867914
1739209600.0859563;-45.120503652039325
1739209600.0859656;-45.120503652039325
1739209600.085975;-45.120503652039325
1739209600.0859845;-38.13080360867914
1739209600.0859938;-45.120503652039325
1739209600.086003;-38.13080360867914
1739209600.0860124;-31.141103565318915
1739209600.0860217;-45.120503652039325
1739209600.0860312;-33.981070128970906
1739209600.0860405;-35.57807855764607
1739209600.0860498;-45.120503652039325
1739209600.086059;-45.120503652039325
1739209600.0860686;-38.13080360867914
1739209600.086078;-38.13080360867914
1739209600.0860872;-45.120503652039325
1739209600.0860965;-45.120503652039325
1739209600.086106;-45.120503652039325
1739209600.0861154;-45.120503652039325
1739209600.0861247;-35.57807855764607
1739209600.086134;-35.57807855764607
1739209600.0861435;-45.120503652039325
1739209600.0861528;-45.120503652039325
1739209600.086162;-38.13080360867914
1739209600.0861714;-38.13080360867914
1739209600.086181;-45.120503652039325
1739209600.0861902;-38.13080360867914
1739209600.0861995;-38.13080360867914
1739209600.0862088;-38.13080360867914
1739209600.086218;-38.13080360867914
1739209600.0862277;-38.13080360867914
1739209600.086237;-38.13080360867914
1739209600.0862463;-45.120503652039325
1739209600.0862556;-38.13080360867914
1739209600.086265;-38.13080360867914
1739209600.0862744;-38.13080360867914
1739209600.0862837;-45.120503652039325
1739209600.086293;-38.13080360867914
1739209600.0863025;-38.13080360867914
1739209600.0863118;-45.120503652039325
1739209600.086321;-45.120503652039325
1739209600.0863304;-45.120503652039325
1739209600.08634;-45.120503652039325
1739209600.0863492;-38.13080360867914
1739209600.0863585;-35.57807855764607
1739209600.0863678;-45.120503652039325
1739209600.0863771;-38.13080360867914
1739209600.0863867;-32.816014438256545
1739209600.086396;-38.13080360867914
1739209600.0864053;-45.120503652039325
1739209600.0864146;-38.13080360867914
1739209600.086424;-45.120503652039325
1739209600.0864334;-45.120503652039325
1739209600.0864427;-35.57807855764607
1739209600.086452;-38.13080360867914
1739209600.0864615;-45.120503652039325
1739209600.0864708;-38.13080360867914
1739209600.0864801;-35.57807855764607
1739209600.0864894;-38.13080360867914
1739209600.086499;-45.120503652039325
1739209600.0865083;-38.13080360867914
1739209600.0865176;-38.13080360867914
1739209600.0865269;-45.120503652039325
1739209600.0865362;-38.13080360867914
1739209600.0865457;-38.13080360867914
1739209600.086555;-38.13080360867914
1739209600.0865643;-38.13080360867914
1739209600.0865736;-45.120503652039325
1739209600.0865831;-38.13080360867914
1739209600.0865924;-33.981070128970906
1739209600.0866017;-38.13080360867914
1739209600.086611;-45.120503652039325
1739209600.0866206;-45.120503652039325
1739209600.0866299;-45.120503652039325
1739209600.0866392;-45.120503652039325
1739209600.0866485;-38.13080360867914
1739209600.086658;-45.120503652039325
1739209600.0866673;-38.13080360867914
1739209600.0866766;-38.13080360867914
1739209600.086686;-38.13080360867914
