CAN Message; 0x1b8:0300a81320115014
Timestamp;Amplitude
1739209673.5070033;-38.13080360867914
1739209673.507008;-30.49652367304973
1739209673.507013;-38.13080360867914
1739209673.507018;-45.120503652039325
1739209673.5070229;-38.13080360867914
1739209673.5070279;-35.57807855764607
1739209673.5070329;-38.13080360867914
1739209673.5070376;-38.13080360867914
1739209673.5070426;-38.13080360867914
1739209673.5070477;-45.120503652039325
1739209673.5070524;-45.120503652039325
1739209673.5070574;-38.13080360867914
1739209673.5070622;-45.120503652039325
1739209673.5070672;-45.120503652039325
1739209673.5070722;-38.13080360867914
1739209673.507077;-35.57807855764607
1739209673.507082;-45.120503652039325
1739209673.507087;-28.58837851428586
1739209673.5070918;-31.141103565318915
1739209673.5070968;-45.120503652039325
1739209673.5071018;-38.13080360867914
1739209673.5071065;-35.57807855764607
1739209673.5071115;-45.120503652039325
1739209673.5071166;-45.120503652039325
1739209673.5071213;-33.981070128970906
1739209673.5071263;-38.13080360867914
1739209673.5071313;-38.13080360867914
1739209673.507136;-45.120503652039325
1739209673.507141;-45.120503652039325
1739209673.5071461;-45.120503652039325
1739209673.507151;-38.13080360867914
1739209673.507156;-38.13080360867914
1739209673.507161;-45.120503652039325
1739209673.5071657;-33.981070128970906
1739209673.5071707;-38.13080360867914
1739209673.5071754;-38.13080360867914
1739209673.5071805;-38.13080360867914
1739209673.5071855;-38.13080360867914
1739209673.5071902;-45.120503652039325
1739209673.5071952;-38.13080360867914
1739209673.5072002;-38.13080360867914
1739209673.507205;-45.120503652039325
1739209673.50721;-33.981070128970906
1739209673.507215;-38.13080360867914
1739209673.5072198;-45.120503652039325
1739209673.5072248;-33.981070128970906
1739209673.5072298;-38.13080360867914
1739209673.5072346;-45.120503652039325
1739209673.5072396;-45.120503652039325
1739209673.5072446;-38.13080360867914
1739209673.5072494;-38.13080360867914
1739209673.5072544;-38.13080360867914
1739209673.5072594;-38.13080360867914
1739209673.5072641;-38.13080360867914
1739209673.5072691;-45.120503652039325
1739209673.5072742;-45.120503652039325
1739209673.507279;-38.13080360867914
1739209673.507284;-32.816014438256545
1739209673.5072887;-33.981070128970906
1739209673.5072937;-38.13080360867914
1739209673.5072987;-45.120503652039325
1739209673.5073035;-45.120503652039325
1739209673.5073085;-38.13080360867914
1739209673.5073135;-45.120503652039325
1739209673.5073183;-45.120503652039325
1739209673.5073233;-45.120503652039325
1739209673.5073283;-45.120503652039325
1739209673.507333;-45.120503652039325
1739209673.507338;-45.120503652039325
1739209673.507343;-45.120503652039325
1739209673.5073478;-38.13080360867914
1739209673.5073528;-33.981070128970906
1739209673.5073578;-45.120503652039325
1739209673.5073626;-45.120503652039325
1739209673.5073676;-35.57807855764607
1739209673.5073726;-35.57807855764607
1739209673.5073774;-45.120503652039325
1739209673.5073824;-45.120503652039325
1739209673.5073874;-35.57807855764607
1739209673.5073922;-32.816014438256545
1739209673.5073972;-38.13080360867914
1739209673.507402;-38.13080360867914
1739209673.507407;-38.13080360867914
1739209673.507412;-45.120503652039325
1739209673.5074167;-45.120503652039325
1739209673.5074217;-45.120503652039325
1739209673.5074267;-45.120503652039325
1739209673.5074315;-45.120503652039325
1739209673.5074365;-45.120503652039325
1739209673.5074415;-45.120503652039325
1739209673.5074463;-38.13080360867914
1739209673.5074513;-38.13080360867914
1739209673.5074563;-38.13080360867914
1739209673.507461;-45.120503652039325
1739209673.507466;-38.13080360867914
1739209673.507471;-38.13080360867914
1739209673.5074759;-45.120503652039325
