CAN Message; 0x1a7:00005bbb674f0a0b
Timestamp;Amplitude
1739209741.8295026;-45.120503652039325
1739209741.829506;-45.120503652039325
1739209741.8295093;-38.13080360867914
1739209741.8295128;-45.120503652039325
1739209741.8295162;-35.57807855764607
1739209741.8295195;-45.120503652039325
1739209741.8295228;-38.13080360867914
1739209741.8295262;-38.13080360867914
1739209741.8295295;-45.120503652039325
1739209741.8295329;-45.120503652039325
1739209741.8295364;-33.981070128970906
1739209741.8295398;-38.13080360867914
1739209741.829543;-38.13080360867914
1739209741.8295465;-38.13080360867914
1739209741.8295498;-45.120503652039325
1739209741.8295531;-45.120503652039325
1739209741.8295565;-38.13080360867914
1739209741.82956;-45.120503652039325
1739209741.8295634;-38.13080360867914
1739209741.8295667;-45.120503652039325
1739209741.82957;-38.13080360867914
1739209741.8295734;-45.120503652039325
1739209741.8295767;-35.57807855764607
1739209741.82958;-33.981070128970906
1739209741.8295834;-45.120503652039325
1739209741.829587;-38.13080360867914
1739209741.8295903;-38.13080360867914
1739209741.8295937;-38.13080360867914
1739209741.829597;-38.13080360867914
1739209741.8296003;-38.13080360867914
1739209741.8296037;-38.13080360867914
1739209741.829607;-45.120503652039325
1739209741.8296106;-38.13080360867914
1739209741.829614;-45.120503652039325
1739209741.8296173;-38.13080360867914
1739209741.8296206;-38.13080360867914
1739209741.829624;-45.120503652039325
1739209741.8296273;-45.120503652039325
1739209741.8296306;-31.141103565318915
1739209741.8296342;-31.141103565318893
1739209741.8296375;-38.13080360867914
1739209741.8296409;-45.120503652039325
1739209741.8296442;-33.981070128970906
1739209741.8296475;-32.816014438256545
1739209741.8296509;-38.13080360867914
1739209741.8296542;-45.120503652039325
1739209741.8296578;-38.13080360867914
1739209741.8296611;-45.120503652039325
1739209741.8296645;-45.120503652039325
1739209741.8296678;-45.120503652039325
1739209741.8296711;-45.120503652039325
1739209741.8296745;-38.13080360867914
1739209741.8296778;-35.57807855764607
1739209741.8296814;-45.120503652039325
1739209741.8296847;-38.13080360867914
1739209741.829688;-35.57807855764607
1739209741.8296914;-35.57807855764607
1739209741.8296947;-38.13080360867914
1739209741.829698;-38.13080360867914
1739209741.8297014;-38.13080360867914
1739209741.829705;-45.120503652039325
1739209741.8297083;-45.120503652039325
1739209741.8297117;-45.120503652039325
1739209741.829715;-38.13080360867914
1739209741.8297184;-45.120503652039325
1739209741.8297217;-38.13080360867914
1739209741.829725;-38.13080360867914
1739209741.8297284;-35.57807855764607
1739209741.829732;-35.57807855764607
1739209741.8297353;-45.120503652039325
1739209741.8297386;-45.120503652039325
1739209741.829742;-38.13080360867914
1739209741.8297453;-45.120503652039325
1739209741.8297486;-45.120503652039325
1739209741.829752;-45.120503652039325
1739209741.8297555;-45.120503652039325
1739209741.829759;-38.13080360867914
1739209741.8297622;-38.13080360867914
1739209741.8297656;-38.13080360867914
1739209741.829769;-38.13080360867914
1739209741.8297722;-33.981070128970906
1739209741.8297756;-38.13080360867914
1739209741.8297791;-45.120503652039325
1739209741.8297825;-45.120503652039325
