CAN Message; 0x1b8:0300f3573889a4f6
Timestamp;Amplitude
1739209883.1865256;-35.57807855764607
1739209883.1865275;-38.13080360867914
1739209883.1865292;-45.120503652039325
1739209883.1865308;-35.57807855764607
1739209883.1865325;-29.438486411369333
1739209883.1865344;-45.120503652039325
1739209883.186536;-45.120503652039325
1739209883.1865377;-35.57807855764607
1739209883.1865394;-35.57807855764607
1739209883.1865413;-45.120503652039325
1739209883.186543;-33.981070128970906
1739209883.1865447;-45.120503652039325
1739209883.1865463;-38.13080360867914
1739209883.1865482;-38.13080360867914
1739209883.18655;-32.816014438256545
1739209883.1865516;-45.120503652039325
1739209883.1865532;-45.120503652039325
1739209883.1865551;-45.120503652039325
1739209883.1865568;-45.120503652039325
1739209883.1865585;-38.13080360867914
1739209883.1865602;-38.13080360867914
1739209883.186562;-38.13080360867914
1739209883.1865637;-38.13080360867914
1739209883.1865654;-35.57807855764607
1739209883.186567;-38.13080360867914
1739209883.186569;-38.13080360867914
1739209883.1865706;-35.57807855764607
1739209883.1865723;-45.120503652039325
1739209883.186574;-45.120503652039325
1739209883.186576;-45.120503652039325
1739209883.1865776;-38.13080360867914
1739209883.1865792;-45.120503652039325
1739209883.186581;-45.120503652039325
1739209883.1865828;-38.13080360867914
1739209883.1865845;-38.13080360867914
1739209883.1865861;-45.120503652039325
1739209883.1865878;-45.120503652039325
1739209883.1865897;-45.120503652039325
1739209883.1865914;-45.120503652039325
1739209883.186593;-45.120503652039325
1739209883.1865947;-38.13080360867914
1739209883.1865966;-38.13080360867914
1739209883.1865983;-45.120503652039325
1739209883.1866;-38.13080360867914
1739209883.1866016;-31.141103565318893
1739209883.1866035;-45.120503652039325
1739209883.1866052;-45.120503652039325
1739209883.186607;-45.120503652039325
1739209883.1866086;-35.57807855764607
1739209883.1866105;-38.13080360867914
1739209883.1866121;-45.120503652039325
1739209883.1866138;-38.13080360867914
1739209883.1866155;-45.120503652039325
1739209883.1866174;-45.120503652039325
1739209883.186619;-38.13080360867914
1739209883.1866207;-38.13080360867914
1739209883.1866224;-32.816014438256545
1739209883.1866243;-38.13080360867914
1739209883.186626;-45.120503652039325
1739209883.1866276;-33.981070128970906
1739209883.1866293;-33.981070128970906
1739209883.1866312;-33.981070128970906
1739209883.1866329;-45.120503652039325
1739209883.1866345;-38.13080360867914
1739209883.1866364;-45.120503652039325
