CAN Message; 0x1d3:000085d67b438abe
Timestamp;Amplitude
1739209770.9797602;-38.13080360867914
1739209770.9797668;-38.13080360867914
1739209770.9797735;-38.13080360867914
1739209770.9797802;-35.57807855764607
1739209770.9797869;-45.120503652039325
1739209770.9797938;-45.120503652039325
1739209770.9798005;-35.57807855764607
1739209770.9798071;-33.981070128970906
1739209770.9798138;-45.120503652039325
1739209770.9798205;-45.120503652039325
1739209770.9798272;-45.120503652039325
1739209770.9798338;-38.13080360867914
1739209770.9798405;-45.120503652039325
1739209770.9798472;-38.13080360867914
1739209770.9798539;-45.120503652039325
1739209770.9798605;-38.13080360867914
1739209770.9798672;-35.57807855764607
1739209770.9798741;-38.13080360867914
1739209770.9798808;-45.120503652039325
1739209770.9798875;-33.981070128970906
1739209770.9798942;-38.13080360867914
1739209770.9799008;-45.120503652039325
1739209770.9799075;-45.120503652039325
1739209770.9799142;-45.120503652039325
1739209770.9799209;-45.120503652039325
1739209770.9799275;-33.981070128970906
1739209770.9799342;-26.991370085610722
1739209770.979941;-28.992665084841967
1739209770.9799478;-31.141103565318943
1739209770.9799545;-35.57807855764607
1739209770.9799612;-33.981070128970956
1739209770.9799678;-33.981070128970906
1739209770.9799745;-32.816014438256545
1739209770.9799812;-45.120503652039325
1739209770.9799879;-35.57807855764607
1739209770.9799945;-45.120503652039325
1739209770.9800012;-30.49652367304973
1739209770.980008;-45.120503652039325
1739209770.9800146;-28.58837851428586
1739209770.9800215;-21.228842808393964
1739209770.9800282;-26.991370085610747
1739209770.9800348;-45.120503652039325
1739209770.9800415;-38.13080360867914
1739209770.9800482;-30.49652367304973
1739209770.9800549;-33.981070128970906
1739209770.9800615;-38.13080360867914
1739209770.9800682;-33.981070128970906
1739209770.980075;-45.120503652039325
1739209770.9800816;-45.120503652039325
1739209770.9800882;-35.57807855764607
1739209770.980095;-33.981070128970956
1739209770.9801018;-25.826314394896354
1739209770.9801085;-21.300333226290604
1739209770.9801152;-31.141103565318915
1739209770.9801219;-28.992665084841942
1739209770.9801285;-25.826314394896354
1739209770.9801352;-32.816014438256545
1739209770.9801419;-45.120503652039325
1739209770.9801486;-32.816014438256545
1739209770.9801552;-38.13080360867914
1739209770.980162;-45.120503652039325
1739209770.9801686;-45.120503652039325
1739209770.9801755;-31.141103565318915
1739209770.9801822;-25.826314394896357
1739209770.9801888;-24.589719217205094
1739209770.9801955;-28.58837851428586
1739209770.9802022;-45.120503652039325
1739209770.9802089;-32.816014438256545
1739209770.9802155;-35.57807855764607
1739209770.9802222;-45.120503652039325
1739209770.980229;-35.57807855764607
1739209770.9802356;-38.13080360867914
1739209770.9802423;-31.141103565318943
1739209770.9802492;-32.816014438256545
1739209770.9802558;-33.981070128970906
1739209770.9802625;-26.035653463252796
1739209770.9802692;-24.438645034577675
1739209770.9802759;-45.120503652039325
1739209770.9802825;-26.991370085610736
1739209770.9802892;-25.62660358559016
1739209770.980296;-28.992665084841942
1739209770.9803026;-38.13080360867914
1739209770.9803092;-28.21854285175415
1739209770.980316;-38.13080360867914
1739209770.9803226;-38.13080360867914
1739209770.9803295;-35.57807855764607
1739209770.9803362;-30.49652367304973
1739209770.9803429;-26.487275050834715
1739209770.9803495;-24.15140352195872
1739209770.9803562;-24.15140352195873
1739209770.980363;-45.120503652039325
1739209770.9803696;-32.816014438256545
1739209770.9803762;-35.57807855764607
1739209770.980383;-30.49652367304973
