CAN Message; 0x150:0600bd1774f66a9d
Timestamp;Amplitude
1739209742.4602425;-38.13080360867914
1739209742.4602487;-45.120503652039325
1739209742.4602547;-38.13080360867914
1739209742.4602609;-45.120503652039325
1739209742.460267;-45.120503652039325
1739209742.4602733;-38.13080360867914
1739209742.4602792;-38.13080360867914
1739209742.4602854;-45.120503652039325
1739209742.4602916;-38.13080360867914
1739209742.4602978;-33.981070128970906
1739209742.4603038;-45.120503652039325
1739209742.46031;-38.13080360867914
1739209742.4603162;-38.13080360867914
1739209742.4603224;-45.120503652039325
1739209742.4603283;-45.120503652039325
1739209742.4603345;-38.13080360867914
1739209742.4603407;-45.120503652039325
1739209742.460347;-33.981070128970906
1739209742.460353;-35.57807855764607
1739209742.460359;-35.57807855764607
1739209742.4603653;-38.13080360867914
1739209742.4603715;-38.13080360867914
1739209742.4603775;-35.57807855764607
1739209742.4603837;-45.120503652039325
1739209742.4603899;-45.120503652039325
1739209742.460396;-38.13080360867914
1739209742.460402;-38.13080360867914
1739209742.4604082;-33.981070128970906
1739209742.4604144;-38.13080360867914
1739209742.4604206;-33.981070128970906
1739209742.4604266;-45.120503652039325
1739209742.4604328;-45.120503652039325
1739209742.460439;-45.120503652039325
1739209742.4604452;-38.13080360867914
1739209742.4604511;-38.13080360867914
1739209742.4604573;-38.13080360867914
1739209742.4604635;-38.13080360867914
1739209742.4604697;-38.13080360867914
1739209742.4604757;-35.57807855764607
1739209742.460482;-38.13080360867914
1739209742.460488;-33.981070128970906
1739209742.4604943;-38.13080360867914
1739209742.4605002;-45.120503652039325
1739209742.4605064;-45.120503652039325
1739209742.4605126;-45.120503652039325
1739209742.4605188;-45.120503652039325
1739209742.4605248;-45.120503652039325
1739209742.460531;-45.120503652039325
1739209742.4605372;-33.981070128970906
1739209742.4605434;-35.57807855764607
1739209742.4605494;-45.120503652039325
1739209742.4605556;-45.120503652039325
1739209742.4605618;-33.981070128970906
1739209742.460568;-45.120503652039325
1739209742.4605742;-45.120503652039325
1739209742.46058;-32.816014438256545
1739209742.4605863;-35.57807855764607
1739209742.4605925;-38.13080360867914
1739209742.4605987;-35.57807855764607
1739209742.4606047;-38.13080360867914
1739209742.4606109;-38.13080360867914
1739209742.460617;-38.13080360867914
1739209742.4606233;-45.120503652039325
1739209742.4606292;-45.120503652039325
1739209742.4606354;-45.120503652039325
1739209742.4606416;-38.13080360867914
1739209742.4606478;-38.13080360867914
1739209742.4606538;-45.120503652039325
1739209742.46066;-45.120503652039325
1739209742.4606662;-45.120503652039325
1739209742.4606724;-38.13080360867914
1739209742.4606783;-45.120503652039325
1739209742.4606845;-45.120503652039325
1739209742.4606907;-45.120503652039325
1739209742.460697;-38.13080360867914
1739209742.460703;-45.120503652039325
1739209742.460709;-38.13080360867914
1739209742.4607153;-35.57807855764607
1739209742.4607215;-38.13080360867914
1739209742.4607275;-38.13080360867914
1739209742.4607337;-38.13080360867914
1739209742.4607399;-35.57807855764607
1739209742.460746;-45.120503652039325
1739209742.460752;-45.120503652039325
1739209742.4607582;-38.13080360867914
1739209742.4607644;-45.120503652039325
1739209742.4607706;-38.13080360867914
1739209742.4607766;-38.13080360867914
1739209742.4607828;-38.13080360867914
1739209742.460789;-38.13080360867914
1739209742.4607952;-35.57807855764607
1739209742.4608011;-31.141103565318893
1739209742.4608073;-45.120503652039325
1739209742.4608135;-45.120503652039325
1739209742.4608197;-38.13080360867914
1739209742.4608257;-33.981070128970906
1739209742.4608319;-45.120503652039325
1739209742.460838;-38.13080360867914
1739209742.4608443;-38.13080360867914
1739209742.4608502;-45.120503652039325
1739209742.4608564;-38.13080360867914
1739209742.4608626;-45.120503652039325
1739209742.4608688;-38.13080360867914
1739209742.460875;-45.120503652039325
1739209742.460881;-45.120503652039325
1739209742.4608872;-45.120503652039325
1739209742.4608934;-35.57807855764607
1739209742.4608996;-30.49652367304973
1739209742.4609056;-45.120503652039325
1739209742.4609118;-38.13080360867914
1739209742.460918;-45.120503652039325
1739209742.4609241;-38.13080360867914
1739209742.46093;-38.13080360867914
1739209742.4609363;-45.120503652039325
1739209742.4609425;-45.120503652039325
1739209742.4609487;-45.120503652039325
1739209742.4609547;-45.120503652039325
1739209742.4609609;-38.13080360867914
1739209742.460967;-38.13080360867914
1739209742.4609733;-45.120503652039325
1739209742.4609792;-38.13080360867914
1739209742.4609854;-35.57807855764607
1739209742.4609916;-38.13080360867914
1739209742.4609978;-33.981070128970906
1739209742.4610038;-45.120503652039325
1739209742.46101;-38.13080360867914
1739209742.4610162;-38.13080360867914
1739209742.4610224;-38.13080360867914
1739209742.4610283;-38.13080360867914
1739209742.4610345;-38.13080360867914
1739209742.4610407;-38.13080360867914
1739209742.461047;-45.120503652039325
1739209742.461053;-38.13080360867914
1739209742.461059;-38.13080360867914
1739209742.4610653;-45.120503652039325
1739209742.4610715;-45.120503652039325
1739209742.4610775;-38.13080360867914
1739209742.4610837;-38.13080360867914
1739209742.4610898;-38.13080360867914
1739209742.461096;-38.13080360867914
1739209742.461102;-35.57807855764607
1739209742.4611082;-38.13080360867914
1739209742.4611144;-45.120503652039325
1739209742.4611206;-31.141103565318893
1739209742.4611266;-33.981070128970906
1739209742.4611328;-38.13080360867914
1739209742.461139;-38.13080360867914
1739209742.4611452;-45.120503652039325
1739209742.4611511;-38.13080360867914
1739209742.4611573;-35.57807855764607
1739209742.4611635;-45.120503652039325
1739209742.4611697;-45.120503652039325
1739209742.4611757;-38.13080360867914
1739209742.4611819;-38.13080360867914
1739209742.461188;-38.13080360867914
1739209742.4611943;-45.120503652039325
1739209742.4612005;-45.120503652039325
1739209742.4612064;-38.13080360867914
1739209742.4612126;-38.13080360867914
1739209742.4612188;-35.57807855764607
1739209742.461225;-32.816014438256545
1739209742.461231;-38.13080360867914
1739209742.4612372;-45.120503652039325
1739209742.4612434;-33.981070128970906
1739209742.4612496;-38.13080360867914
1739209742.4612556;-45.120503652039325
1739209742.4612617;-35.57807855764607
1739209742.461268;-32.816014438256545
1739209742.4612741;-35.57807855764607
1739209742.46128;-35.57807855764607
1739209742.4612863;-38.13080360867914
1739209742.4612925;-33.981070128970906
1739209742.4612987;-38.13080360867914
1739209742.4613047;-45.120503652039325
1739209742.4613109;-45.120503652039325
1739209742.461317;-38.13080360867914
1739209742.4613233;-45.120503652039325
1739209742.4613292;-45.120503652039325
1739209742.4613354;-38.13080360867914
1739209742.4613416;-28.992665084841942
1739209742.4613478;-31.141103565318915
1739209742.4613538;-45.120503652039325
1739209742.46136;-45.120503652039325
1739209742.4613662;-38.13080360867914
1739209742.4613724;-38.13080360867914
1739209742.4613783;-45.120503652039325
1739209742.4613845;-35.57807855764607
1739209742.4613907;-33.981070128970906
1739209742.461397;-38.13080360867914
1739209742.461403;-45.120503652039325
1739209742.461409;-38.13080360867914
1739209742.4614153;-38.13080360867914
1739209742.4614215;-38.13080360867914
1739209742.4614275;-45.120503652039325
1739209742.4614336;-45.120503652039325
1739209742.4614398;-28.992665084841942
1739209742.461446;-30.49652367304973
1739209742.461452;-45.120503652039325
1739209742.4614582;-35.57807855764607
1739209742.4614644;-45.120503652039325
1739209742.4614706;-45.120503652039325
1739209742.4614766;-45.120503652039325
1739209742.4614828;-38.13080360867914
1739209742.461489;-38.13080360867914
1739209742.4614952;-31.141103565318915
1739209742.4615014;-38.13080360867914
1739209742.4615073;-38.13080360867914
1739209742.4615135;-45.120503652039325
1739209742.4615197;-38.13080360867914
1739209742.461526;-38.13080360867914
1739209742.4615319;-45.120503652039325
1739209742.461538;-45.120503652039325
1739209742.4615443;-31.141103565318915
1739209742.4615505;-32.816014438256545
1739209742.4615564;-45.120503652039325
1739209742.4615626;-45.120503652039325
1739209742.4615688;-38.13080360867914
1739209742.461575;-35.57807855764607
1739209742.461581;-38.13080360867914
1739209742.4615872;-38.13080360867914
1739209742.4615934;-33.981070128970906
1739209742.4615996;-38.13080360867914
1739209742.4616055;-38.13080360867914
1739209742.4616117;-45.120503652039325
1739209742.461618;-38.13080360867914
1739209742.4616241;-38.13080360867914
1739209742.46163;-45.120503652039325
1739209742.4616363;-38.13080360867914
1739209742.4616425;-45.120503652039325
1739209742.4616487;-45.120503652039325
1739209742.4616547;-38.13080360867914
1739209742.4616609;-45.120503652039325
1739209742.461667;-45.120503652039325
1739209742.4616733;-45.120503652039325
1739209742.4616792;-45.120503652039325
1739209742.4616854;-45.120503652039325
1739209742.4616916;-45.120503652039325
1739209742.4616978;-45.120503652039325
1739209742.4617038;-35.57807855764607
1739209742.46171;-38.13080360867914
1739209742.4617162;-45.120503652039325
1739209742.4617224;-38.13080360867914
1739209742.4617283;-38.13080360867914
1739209742.4617345;-45.120503652039325
1739209742.4617407;-45.120503652039325
1739209742.461747;-45.120503652039325
1739209742.461753;-45.120503652039325
1739209742.461759;-38.13080360867914
1739209742.4617653;-38.13080360867914
1739209742.4617715;-45.120503652039325
1739209742.4617774;-45.120503652039325
