CAN Message; 0x150:0700ae2899472b35
Timestamp;Amplitude
1739209692.1669843;-45.120503652039325
1739209692.1669936;-38.13080360867914
1739209692.1670027;-38.13080360867914
1739209692.1670117;-38.13080360867914
1739209692.167021;-45.120503652039325
1739209692.16703;-45.120503652039325
1739209692.1670394;-45.120503652039325
1739209692.1670485;-45.120503652039325
1739209692.1670575;-45.120503652039325
1739209692.1670668;-45.120503652039325
1739209692.1670759;-38.13080360867914
1739209692.167085;-45.120503652039325
1739209692.1670942;-38.13080360867914
1739209692.1671033;-38.13080360867914
1739209692.1671124;-35.57807855764607
1739209692.1671216;-35.57807855764607
1739209692.1671307;-45.120503652039325
1739209692.16714;-45.120503652039325
1739209692.167149;-35.57807855764607
1739209692.1671581;-38.13080360867914
1739209692.1671674;-45.120503652039325
1739209692.1671765;-38.13080360867914
1739209692.1671855;-38.13080360867914
1739209692.1671948;-29.438486411369347
1739209692.167204;-38.13080360867914
1739209692.167213;-38.13080360867914
1739209692.1672223;-38.13080360867914
1739209692.1672313;-33.981070128970906
1739209692.1672406;-45.120503652039325
1739209692.1672497;-38.13080360867914
1739209692.1672587;-38.13080360867914
1739209692.167268;-31.141103565318915
1739209692.167277;-38.13080360867914
1739209692.1672862;-45.120503652039325
1739209692.1672955;-38.13080360867914
1739209692.1673045;-38.13080360867914
1739209692.1673136;-45.120503652039325
1739209692.1673229;-38.13080360867914
1739209692.167332;-38.13080360867914
1739209692.1673412;-38.13080360867914
1739209692.1673503;-38.13080360867914
1739209692.1673594;-38.13080360867914
1739209692.1673687;-35.57807855764607
1739209692.1673777;-38.13080360867914
1739209692.1673868;-38.13080360867914
1739209692.167396;-38.13080360867914
1739209692.1674051;-35.57807855764607
1739209692.1674142;-33.981070128970906
1739209692.1674235;-30.49652367304973
1739209692.1674325;-38.13080360867914
1739209692.1674418;-35.57807855764607
1739209692.167451;-38.13080360867914
1739209692.16746;-35.57807855764607
1739209692.1674693;-38.13080360867914
1739209692.1674783;-38.13080360867914
1739209692.1674874;-28.992665084841942
1739209692.1674967;-33.981070128970906
1739209692.1675057;-45.120503652039325
1739209692.1675148;-38.13080360867914
1739209692.167524;-38.13080360867914
1739209692.1675332;-45.120503652039325
1739209692.1675425;-38.13080360867914
1739209692.1675515;-38.13080360867914
1739209692.1675606;-32.81601443825658
1739209692.1675699;-45.120503652039325
1739209692.167579;-45.120503652039325
1739209692.167588;-45.120503652039325
1739209692.1675973;-45.120503652039325
1739209692.1676064;-38.13080360867914
1739209692.1676154;-35.57807855764607
1739209692.1676247;-45.120503652039325
1739209692.1676338;-31.141103565318915
1739209692.167643;-31.141103565318915
1739209692.1676521;-45.120503652039325
1739209692.1676612;-38.13080360867914
1739209692.1676705;-45.120503652039325
1739209692.1676795;-45.120503652039325
1739209692.1676886;-38.13080360867914
1739209692.167698;-45.120503652039325
1739209692.167707;-38.13080360867914
1739209692.167716;-38.13080360867914
1739209692.1677253;-38.13080360867914
1739209692.1677344;-45.120503652039325
1739209692.1677437;-33.981070128970906
1739209692.1677527;-38.13080360867914
1739209692.1677618;-45.120503652039325
1739209692.167771;-45.120503652039325
1739209692.1677802;-45.120503652039325
1739209692.1677892;-38.13080360867914
1739209692.1677985;-38.13080360867914
1739209692.1678076;-45.120503652039325
1739209692.1678166;-45.120503652039325
1739209692.167826;-33.981070128970906
1739209692.167835;-38.13080360867914
1739209692.1678443;-45.120503652039325
1739209692.1678534;-33.981070128970906
1739209692.1678624;-33.981070128970906
1739209692.1678717;-45.120503652039325
1739209692.1678808;-38.13080360867914
1739209692.1678898;-35.57807855764607
1739209692.1678991;-45.120503652039325
1739209692.1679082;-38.13080360867914
1739209692.1679173;-45.120503652039325
1739209692.1679265;-45.120503652039325
1739209692.1679356;-38.13080360867914
1739209692.167945;-38.13080360867914
1739209692.167954;-45.120503652039325
1739209692.167963;-38.13080360867914
1739209692.1679723;-32.816014438256545
1739209692.1679814;-38.13080360867914
1739209692.1679904;-45.120503652039325
1739209692.1679997;-38.13080360867914
1739209692.1680088;-38.13080360867914
1739209692.1680179;-45.120503652039325
1739209692.1680272;-38.13080360867914
1739209692.1680362;-45.120503652039325
1739209692.1680455;-45.120503652039325
1739209692.1680546;-38.13080360867914
1739209692.1680636;-45.120503652039325
1739209692.168073;-45.120503652039325
1739209692.168082;-45.120503652039325
1739209692.168091;-45.120503652039325
1739209692.1681004;-45.120503652039325
1739209692.1681094;-38.13080360867914
1739209692.1681185;-32.816014438256545
1739209692.1681278;-45.120503652039325
1739209692.1681368;-38.13080360867914
1739209692.1681461;-33.981070128970906
1739209692.1681552;-45.120503652039325
1739209692.1681643;-38.13080360867914
1739209692.1681736;-38.13080360867914
1739209692.1681826;-45.120503652039325
1739209692.1681917;-45.120503652039325
1739209692.168201;-33.981070128970906
1739209692.16821;-45.120503652039325
1739209692.168219;-45.120503652039325
1739209692.1682284;-45.120503652039325
1739209692.1682374;-33.981070128970906
1739209692.1682465;-38.13080360867914
1739209692.1682558;-38.13080360867914
1739209692.1682649;-33.981070128970906
1739209692.1682742;-45.120503652039325
1739209692.1682832;-45.120503652039325
1739209692.1682923;-45.120503652039325
1739209692.1683016;-38.13080360867914
1739209692.1683106;-35.57807855764607
