CAN Message; 0x1b8:000068a76e958437
Timestamp;Amplitude
1739209653.223129;-45.120503652039325
1739209653.2231355;-38.13080360867914
1739209653.2231421;-38.13080360867914
1739209653.2231488;-27.8777449560314
1739209653.2231555;-35.57807855764607
1739209653.223162;-38.13080360867914
1739209653.2231686;-45.120503652039325
1739209653.2231753;-35.57807855764607
1739209653.223182;-38.13080360867914
1739209653.2231884;-35.57807855764607
1739209653.223195;-38.13080360867914
1739209653.2232018;-38.13080360867914
1739209653.2232084;-45.120503652039325
1739209653.2232149;-45.120503652039325
1739209653.2232215;-45.120503652039325
1739209653.2232282;-45.120503652039325
1739209653.223235;-45.120503652039325
1739209653.2232413;-45.120503652039325
1739209653.223248;-45.120503652039325
1739209653.2232547;-45.120503652039325
1739209653.2232614;-38.13080360867914
1739209653.2232678;-38.13080360867914
1739209653.2232745;-45.120503652039325
1739209653.2232811;-45.120503652039325
1739209653.2232878;-38.13080360867914
1739209653.2232943;-35.57807855764607
1739209653.223301;-45.120503652039325
1739209653.2233076;-31.141103565318915
1739209653.2233143;-33.981070128970906
1739209653.2233207;-45.120503652039325
1739209653.2233274;-38.13080360867914
1739209653.223334;-35.57807855764607
1739209653.2233407;-35.57807855764607
1739209653.2233472;-45.120503652039325
1739209653.2233539;-45.120503652039325
1739209653.2233605;-38.13080360867914
1739209653.223367;-45.120503652039325
1739209653.2233737;-38.13080360867914
1739209653.2233803;-45.120503652039325
1739209653.223387;-45.120503652039325
1739209653.2233934;-45.120503652039325
1739209653.2234;-35.57807855764607
1739209653.2234068;-45.120503652039325
1739209653.2234135;-31.141103565318915
1739209653.22342;-28.992665084841942
1739209653.2234266;-45.120503652039325
1739209653.2234333;-45.120503652039325
1739209653.22344;-35.57807855764607
1739209653.2234464;-38.13080360867914
1739209653.223453;-38.13080360867914
1739209653.2234597;-38.13080360867914
1739209653.2234664;-38.13080360867914
1739209653.2234728;-38.13080360867914
1739209653.2234795;-38.13080360867914
1739209653.2234862;-38.13080360867914
1739209653.2234929;-38.13080360867914
1739209653.2234993;-38.13080360867914
1739209653.223506;-38.13080360867914
1739209653.2235126;-38.13080360867914
1739209653.2235193;-35.57807855764607
1739209653.2235258;-38.13080360867914
1739209653.2235324;-45.120503652039325
1739209653.223539;-38.13080360867914
1739209653.2235458;-32.816014438256545
1739209653.2235522;-38.13080360867914
1739209653.223559;-38.13080360867914
1739209653.2235656;-38.13080360867914
1739209653.2235723;-45.120503652039325
1739209653.2235787;-38.13080360867914
1739209653.2235854;-38.13080360867914
1739209653.223592;-45.120503652039325
1739209653.2235987;-45.120503652039325
1739209653.2236052;-38.13080360867914
1739209653.2236118;-45.120503652039325
1739209653.2236185;-38.13080360867914
1739209653.223625;-45.120503652039325
1739209653.2236316;-45.120503652039325
1739209653.2236383;-45.120503652039325
1739209653.223645;-38.13080360867914
1739209653.2236514;-45.120503652039325
1739209653.223658;-45.120503652039325
1739209653.2236648;-45.120503652039325
1739209653.2236714;-38.13080360867914
1739209653.2236779;-45.120503652039325
1739209653.2236845;-35.57807855764607
1739209653.2236912;-35.57807855764607
1739209653.223698;-38.13080360867914
1739209653.2237043;-45.120503652039325
1739209653.223711;-38.13080360867914
1739209653.2237177;-33.981070128970906
