CAN Message; 0x77:3ccbaee27e52acd7
Timestamp;Amplitude
1739209706.905018;-31.141103565318915
1739209706.9050276;-45.120503652039325
1739209706.9050374;-45.120503652039325
1739209706.9050472;-33.981070128970906
1739209706.905057;-31.141103565318915
1739209706.9050665;-45.120503652039325
1739209706.9050763;-38.13080360867914
1739209706.905086;-45.120503652039325
1739209706.9050958;-31.141103565318915
1739209706.9051054;-45.120503652039325
1739209706.9051151;-45.120503652039325
1739209706.905125;-45.120503652039325
1739209706.9051344;-45.120503652039325
1739209706.9051442;-45.120503652039325
1739209706.905154;-45.120503652039325
1739209706.9051638;-45.120503652039325
1739209706.9051733;-45.120503652039325
1739209706.905183;-38.13080360867914
1739209706.9051929;-38.13080360867914
1739209706.9052026;-45.120503652039325
1739209706.9052122;-38.13080360867914
1739209706.905222;-38.13080360867914
1739209706.9052317;-38.13080360867914
1739209706.9052413;-45.120503652039325
1739209706.905251;-38.13080360867914
1739209706.9052608;-35.57807855764607
1739209706.9052706;-38.13080360867914
1739209706.90528;-45.120503652039325
1739209706.90529;-38.13080360867914
1739209706.9052997;-35.57807855764607
1739209706.9053092;-45.120503652039325
1739209706.905319;-38.13080360867914
1739209706.9053288;-45.120503652039325
1739209706.9053385;-45.120503652039325
1739209706.905348;-38.13080360867914
1739209706.9053578;-32.816014438256545
1739209706.9053676;-38.13080360867914
1739209706.9053774;-45.120503652039325
1739209706.905387;-33.981070128970906
1739209706.9053967;-38.13080360867914
1739209706.9054065;-38.13080360867914
1739209706.905416;-45.120503652039325
1739209706.9054258;-38.13080360867914
1739209706.9054356;-38.13080360867914
1739209706.9054453;-38.13080360867914
1739209706.9054549;-38.13080360867914
1739209706.9054646;-45.120503652039325
1739209706.9054744;-45.120503652039325
1739209706.9054842;-35.57807855764607
1739209706.9054937;-32.816014438256545
1739209706.9055035;-45.120503652039325
1739209706.9055133;-45.120503652039325
1739209706.9055228;-45.120503652039325
1739209706.9055326;-35.57807855764607
1739209706.9055424;-38.13080360867914
1739209706.9055521;-45.120503652039325
1739209706.9055617;-45.120503652039325
1739209706.9055715;-45.120503652039325
1739209706.9055812;-45.120503652039325
1739209706.905591;-45.120503652039325
1739209706.9056005;-45.120503652039325
1739209706.9056103;-45.120503652039325
1739209706.90562;-38.13080360867914
1739209706.9056296;-38.13080360867914
1739209706.9056394;-38.13080360867914
1739209706.9056492;-45.120503652039325
1739209706.905659;-45.120503652039325
1739209706.9056685;-35.57807855764607
1739209706.9056783;-38.13080360867914
1739209706.905688;-45.120503652039325
1739209706.9056978;-38.13080360867914
1739209706.9057074;-38.13080360867914
1739209706.9057171;-32.816014438256545
1739209706.905727;-30.49652367304973
1739209706.9057364;-35.57807855764607
1739209706.9057462;-32.816014438256545
1739209706.905756;-45.120503652039325
