CAN Message; 0x62:0cf58b6ada6ddd20
Timestamp;Amplitude
1739209636.0967703;-45.120503652039325
1739209636.0967784;-45.120503652039325
1739209636.0967865;-35.57807855764607
1739209636.0967946;-35.57807855764607
1739209636.096803;-45.120503652039325
1739209636.096811;-45.120503652039325
1739209636.0968192;-33.981070128970906
1739209636.0968273;-38.13080360867914
1739209636.0968354;-45.120503652039325
1739209636.0968435;-45.120503652039325
1739209636.0968516;-38.13080360867914
1739209636.0968597;-38.13080360867914
1739209636.096868;-35.57807855764607
1739209636.0968761;-38.13080360867914
1739209636.0968843;-35.57807855764607
1739209636.0968924;-38.13080360867914
1739209636.0969005;-38.13080360867914
1739209636.0969086;-38.13080360867914
1739209636.0969167;-45.120503652039325
1739209636.0969248;-45.120503652039325
1739209636.0969331;-38.13080360867914
1739209636.0969412;-35.57807855764607
1739209636.0969493;-38.13080360867914
1739209636.0969574;-45.120503652039325
1739209636.0969656;-45.120503652039325
1739209636.0969737;-45.120503652039325
1739209636.0969818;-45.120503652039325
1739209636.0969899;-45.120503652039325
1739209636.0969982;-45.120503652039325
1739209636.0970063;-45.120503652039325
1739209636.0970144;-45.120503652039325
1739209636.0970225;-38.13080360867914
1739209636.0970306;-38.13080360867914
1739209636.0970387;-38.13080360867914
1739209636.0970469;-45.120503652039325
1739209636.097055;-45.120503652039325
1739209636.0970633;-33.981070128970906
1739209636.0970714;-45.120503652039325
1739209636.0970795;-45.120503652039325
1739209636.0970876;-45.120503652039325
1739209636.0970957;-32.816014438256545
1739209636.0971038;-26.991370085610722
1739209636.097112;-45.120503652039325
1739209636.09712;-33.981070128970906
1739209636.0971284;-38.13080360867914
1739209636.0971365;-33.981070128970906
1739209636.0971446;-38.13080360867914
1739209636.0971527;-45.120503652039325
1739209636.0971608;-45.120503652039325
1739209636.097169;-38.13080360867914
1739209636.097177;-38.13080360867914
1739209636.0971851;-38.13080360867914
1739209636.0971935;-35.57807855764607
1739209636.0972016;-38.13080360867914
1739209636.0972097;-38.13080360867914
1739209636.0972178;-38.13080360867914
1739209636.097226;-38.13080360867914
1739209636.097234;-33.981070128970906
1739209636.097242;-45.120503652039325
1739209636.0972502;-45.120503652039325
1739209636.0972586;-38.13080360867914
