CAN Message; 0x77:0de38b0394e6e760
Timestamp;Amplitude
1739209722.3284025;-45.120503652039325
1739209722.3284073;-45.120503652039325
1739209722.3284118;-35.57807855764607
1739209722.3284166;-32.816014438256545
1739209722.328421;-45.120503652039325
1739209722.3284256;-45.120503652039325
1739209722.3284304;-29.438486411369333
1739209722.328435;-38.13080360867914
1739209722.3284395;-45.120503652039325
1739209722.3284442;-45.120503652039325
1739209722.3284488;-35.57807855764607
1739209722.3284535;-38.13080360867914
1739209722.328458;-45.120503652039325
1739209722.3284626;-45.120503652039325
1739209722.3284674;-45.120503652039325
1739209722.328472;-38.13080360867914
1739209722.3284764;-38.13080360867914
1739209722.3284812;-38.13080360867914
1739209722.3284857;-45.120503652039325
1739209722.3284905;-38.13080360867914
1739209722.328495;-38.13080360867914
1739209722.3284996;-45.120503652039325
1739209722.3285043;-35.57807855764607
1739209722.3285089;-38.13080360867914
1739209722.3285134;-38.13080360867914
1739209722.3285182;-38.13080360867914
1739209722.3285227;-27.8777449560314
1739209722.3285275;-30.49652367304973
1739209722.328532;-45.120503652039325
1739209722.3285365;-45.120503652039325
1739209722.3285413;-45.120503652039325
1739209722.3285458;-45.120503652039325
1739209722.3285503;-45.120503652039325
1739209722.328555;-35.57807855764607
1739209722.3285596;-38.13080360867914
1739209722.3285644;-45.120503652039325
1739209722.328569;-35.57807855764607
1739209722.3285735;-38.13080360867914
1739209722.3285782;-45.120503652039325
1739209722.3285828;-45.120503652039325
1739209722.3285873;-38.13080360867914
1739209722.328592;-45.120503652039325
1739209722.3285966;-27.8777449560314
1739209722.3286014;-30.49652367304973
1739209722.328606;-45.120503652039325
1739209722.3286104;-35.57807855764607
1739209722.3286152;-35.57807855764607
1739209722.3286197;-30.49652367304973
1739209722.3286242;-45.120503652039325
1739209722.328629;-38.13080360867914
1739209722.3286335;-45.120503652039325
1739209722.3286383;-45.120503652039325
1739209722.3286428;-35.57807855764607
1739209722.3286474;-38.13080360867914
1739209722.3286521;-45.120503652039325
1739209722.3286567;-38.13080360867914
1739209722.3286612;-35.57807855764607
1739209722.328666;-45.120503652039325
1739209722.3286705;-45.120503652039325
1739209722.3286753;-45.120503652039325
1739209722.3286798;-45.120503652039325
1739209722.3286843;-38.13080360867914
1739209722.328689;-38.13080360867914
1739209722.3286936;-45.120503652039325
1739209722.3286984;-38.13080360867914
1739209722.328703;-45.120503652039325
1739209722.3287075;-38.13080360867914
1739209722.3287122;-31.141103565318915
1739209722.3287168;-45.120503652039325
1739209722.3287213;-45.120503652039325
1739209722.328726;-45.120503652039325
1739209722.3287306;-45.120503652039325
1739209722.3287354;-38.13080360867914
1739209722.32874;-38.13080360867914
1739209722.3287444;-45.120503652039325
1739209722.3287492;-32.81601443825658
1739209722.3287537;-35.57807855764607
1739209722.3287582;-38.13080360867914
1739209722.328763;-45.120503652039325
1739209722.3287675;-45.120503652039325
1739209722.3287723;-38.13080360867914
1739209722.3287768;-45.120503652039325
1739209722.3287814;-38.13080360867914
