CAN Message; 0x39:0599f75fb0e2ed76
Timestamp;Amplitude
1739209908.3941393;-45.120503652039325
1739209908.3941445;-38.13080360867914
1739209908.3941495;-38.13080360867914
1739209908.3941548;-45.120503652039325
1739209908.39416;-35.57807855764607
1739209908.3941653;-29.438486411369333
1739209908.3941705;-33.981070128970906
1739209908.3941758;-38.13080360867914
1739209908.3941808;-45.120503652039325
1739209908.394186;-45.120503652039325
1739209908.3941913;-38.13080360867914
1739209908.3941965;-35.57807855764607
1739209908.3942018;-45.120503652039325
1739209908.394207;-45.120503652039325
1739209908.394212;-45.120503652039325
1739209908.3942173;-45.120503652039325
1739209908.3942225;-38.13080360867914
1739209908.3942277;-35.57807855764607
1739209908.394233;-45.120503652039325
1739209908.3942382;-45.120503652039325
1739209908.3942432;-45.120503652039325
1739209908.3942485;-45.120503652039325
1739209908.3942537;-45.120503652039325
1739209908.394259;-45.120503652039325
1739209908.3942642;-45.120503652039325
1739209908.3942692;-45.120503652039325
1739209908.3942745;-45.120503652039325
1739209908.3942797;-38.13080360867914
1739209908.394285;-45.120503652039325
1739209908.3942902;-35.57807855764607
1739209908.3942955;-38.13080360867914
1739209908.3943005;-38.13080360867914
1739209908.3943057;-38.13080360867914
1739209908.394311;-32.816014438256545
1739209908.3943162;-45.120503652039325
1739209908.3943214;-45.120503652039325
1739209908.3943267;-38.13080360867914
1739209908.3943317;-45.120503652039325
1739209908.394337;-45.120503652039325
1739209908.3943422;-38.13080360867914
1739209908.3943474;-38.13080360867914
1739209908.3943527;-45.120503652039325
1739209908.394358;-38.13080360867914
1739209908.394363;-45.120503652039325
1739209908.3943682;-45.120503652039325
1739209908.3943734;-38.13080360867914
1739209908.3943787;-45.120503652039325
1739209908.394384;-45.120503652039325
1739209908.394389;-38.13080360867914
1739209908.3943942;-38.13080360867914
1739209908.3943994;-38.13080360867914
1739209908.3944046;-38.13080360867914
1739209908.39441;-38.13080360867914
1739209908.3944151;-45.120503652039325
1739209908.3944201;-38.13080360867914
1739209908.3944254;-45.120503652039325
1739209908.3944306;-45.120503652039325
1739209908.394436;-38.13080360867914
1739209908.3944411;-35.57807855764607
1739209908.3944464;-35.57807855764607
1739209908.3944514;-38.13080360867914
1739209908.3944566;-45.120503652039325
1739209908.3944619;-38.13080360867914
1739209908.394467;-38.13080360867914
1739209908.3944724;-45.120503652039325
1739209908.3944776;-45.120503652039325
1739209908.3944826;-45.120503652039325
1739209908.3944879;-38.13080360867914
1739209908.394493;-38.13080360867914
1739209908.3944983;-38.13080360867914
1739209908.3945036;-31.141103565318915
1739209908.3945086;-45.120503652039325
1739209908.3945138;-45.120503652039325
1739209908.394519;-45.120503652039325
1739209908.3945243;-33.981070128970906
1739209908.3945296;-45.120503652039325
1739209908.3945348;-45.120503652039325
1739209908.3945398;-45.120503652039325
1739209908.394545;-45.120503652039325
1739209908.3945503;-45.120503652039325
1739209908.3945556;-45.120503652039325
1739209908.3945608;-45.120503652039325
1739209908.394566;-45.120503652039325
1739209908.394571;-38.13080360867914
1739209908.3945763;-38.13080360867914
1739209908.3945816;-45.120503652039325
1739209908.3945868;-38.13080360867914
1739209908.394592;-38.13080360867914
1739209908.3945973;-45.120503652039325
1739209908.3946023;-38.13080360867914
1739209908.3946075;-33.981070128970906
1739209908.3946128;-45.120503652039325
1739209908.394618;-45.120503652039325
1739209908.3946233;-45.120503652039325
1739209908.3946283;-31.141103565318915
1739209908.3946335;-45.120503652039325
1739209908.3946388;-45.120503652039325
1739209908.394644;-38.13080360867914
1739209908.3946493;-38.13080360867914
1739209908.3946545;-45.120503652039325
1739209908.3946595;-45.120503652039325
1739209908.3946648;-45.120503652039325
1739209908.39467;-28.992665084841967
1739209908.3946753;-45.120503652039325
1739209908.3946805;-35.57807855764607
1739209908.3946857;-45.120503652039325
1739209908.3946908;-45.120503652039325
1739209908.394696;-45.120503652039325
1739209908.3947012;-38.13080360867914
1739209908.3947065;-38.13080360867914
1739209908.3947117;-27.267205301931607
1739209908.394717;-38.13080360867914
1739209908.394722;-45.120503652039325
1739209908.3947272;-45.120503652039325
1739209908.3947325;-38.13080360867914
1739209908.3947377;-38.13080360867914
1739209908.394743;-38.13080360867914
1739209908.394748;-38.13080360867914
1739209908.3947532;-45.120503652039325
1739209908.3947585;-38.13080360867914
1739209908.3947637;-38.13080360867914
1739209908.394769;-45.120503652039325
1739209908.3947742;-45.120503652039325
1739209908.3947792;-38.13080360867914
1739209908.3947845;-45.120503652039325
1739209908.3947897;-45.120503652039325
1739209908.394795;-45.120503652039325
1739209908.3948002;-45.120503652039325
1739209908.3948054;-38.13080360867914
1739209908.3948104;-35.57807855764607
1739209908.3948157;-45.120503652039325
1739209908.394821;-45.120503652039325
1739209908.3948262;-38.13080360867914
1739209908.3948314;-45.120503652039325
1739209908.3948367;-29.438486411369333
1739209908.3948417;-38.13080360867914
1739209908.394847;-45.120503652039325
1739209908.3948522;-35.57807855764607
1739209908.3948574;-45.120503652039325
1739209908.3948627;-45.120503652039325
1739209908.3948677;-38.13080360867914
1739209908.394873;-35.57807855764607
1739209908.3948781;-38.13080360867914
1739209908.3948834;-45.120503652039325
1739209908.3948886;-38.13080360867914
1739209908.394894;-45.120503652039325
1739209908.394899;-45.120503652039325
1739209908.3949041;-45.120503652039325
1739209908.3949094;-45.120503652039325
1739209908.3949146;-45.120503652039325
1739209908.3949199;-27.8777449560314
1739209908.394925;-28.21854285175415
1739209908.3949301;-45.120503652039325
