CAN Message; 0x1b8:0100cf642d3287c0
Timestamp;Amplitude
1739209905.1249375;-45.120503652039325
1739209905.1249464;-45.120503652039325
1739209905.124955;-45.120503652039325
1739209905.1249635;-45.120503652039325
1739209905.124972;-45.120503652039325
1739209905.124981;-38.13080360867914
1739209905.1249895;-38.13080360867914
1739209905.124998;-38.13080360867914
1739209905.125007;-38.13080360867914
1739209905.1250155;-33.981070128970906
1739209905.125024;-38.13080360867914
1739209905.1250327;-38.13080360867914
1739209905.1250415;-31.141103565318915
1739209905.12505;-35.57807855764607
1739209905.1250587;-45.120503652039325
1739209905.1250675;-45.120503652039325
1739209905.125076;-31.141103565318915
1739209905.1250846;-35.57807855764607
1739209905.1250932;-45.120503652039325
1739209905.125102;-38.13080360867914
1739209905.1251106;-38.13080360867914
1739209905.1251192;-32.816014438256545
1739209905.125128;-38.13080360867914
1739209905.1251366;-45.120503652039325
1739209905.1251452;-33.981070128970956
1739209905.125154;-45.120503652039325
1739209905.1251626;-38.13080360867914
1739209905.1251712;-45.120503652039325
1739209905.1251798;-45.120503652039325
1739209905.1251886;-45.120503652039325
1739209905.1251972;-38.13080360867914
1739209905.1252058;-38.13080360867914
1739209905.1252146;-28.58837851428586
1739209905.1252232;-32.816014438256545
1739209905.1252317;-45.120503652039325
1739209905.1252403;-45.120503652039325
1739209905.1252491;-33.981070128970906
1739209905.1252577;-30.49652367304973
1739209905.1252663;-45.120503652039325
1739209905.1252751;-45.120503652039325
1739209905.1252837;-33.981070128970906
1739209905.1252923;-45.120503652039325
1739209905.125301;-27.877744956031417
1739209905.1253097;-35.57807855764607
1739209905.1253183;-31.14110356531892
1739209905.1253269;-33.981070128970906
1739209905.1253357;-27.267205301931607
1739209905.1253443;-38.13080360867914
1739209905.1253529;-30.49652367304973
1739209905.1253614;-29.438486411369333
1739209905.1253703;-27.267205301931607
1739209905.1253788;-27.267205301931607
1739209905.1253874;-29.438486411369333
1739209905.1253963;-32.816014438256545
1739209905.1254048;-35.57807855764607
1739209905.1254134;-45.120503652039325
1739209905.125422;-38.13080360867914
1739209905.1254308;-26.487275050834715
1739209905.1254394;-33.981070128970906
1739209905.125448;-33.981070128970956
1739209905.1254568;-33.981070128970956
1739209905.1254654;-33.981070128970906
1739209905.125474;-38.13080360867914
1739209905.1254826;-35.57807855764607
1739209905.1254914;-29.438486411369354
1739209905.1255;-32.81601443825658
1739209905.1255085;-25.826314394896357
1739209905.1255174;-27.267205301931607
1739209905.125526;-32.816014438256545
1739209905.1255345;-31.141103565318915
1739209905.1255434;-38.13080360867914
1739209905.125552;-28.992665084841967
1739209905.1255605;-38.13080360867914
1739209905.125569;-28.992665084841942
1739209905.125578;-38.13080360867914
1739209905.1255865;-31.141103565318915
1739209905.125595;-31.141103565318915
1739209905.125604;-27.8777449560314
1739209905.1256125;-32.816014438256545
1739209905.125621;-26.991370085610722
1739209905.1256297;-31.141103565318915
1739209905.1256385;-27.267205301931607
1739209905.125647;-33.981070128970906
1739209905.1256557;-23.16150712794695
1739209905.1256645;-38.13080360867914
1739209905.125673;-27.87774495603143
1739209905.1256816;-35.57807855764607
1739209905.1256902;-32.81601443825658
1739209905.125699;-24.589719217205094
1739209905.1257076;-26.991370085610722
1739209905.1257162;-31.14110356531892
1739209905.125725;-38.13080360867914
1739209905.1257336;-23.16150712794695
1739209905.1257422;-45.120503652039325
1739209905.1257508;-27.267205301931607
1739209905.1257596;-38.13080360867914
1739209905.1257682;-38.13080360867914
1739209905.1257768;-45.120503652039325
1739209905.1257856;-24.589719217205094
1739209905.1257942;-33.981070128970906
1739209905.1258028;-26.487275050834715
1739209905.1258113;-24.746238672633048
1739209905.1258202;-28.58837851428586
1739209905.1258287;-27.267205301931607
1739209905.1258373;-33.981070128970906
1739209905.1258461;-27.8777449560314
1739209905.1258547;-45.120503652039325
1739209905.1258633;-33.981070128970906
1739209905.1258721;-28.992665084841942
1739209905.1258807;-28.58837851428586
1739209905.1258893;-33.981070128970906
1739209905.125898;-33.981070128970956
1739209905.1259067;-25.826314394896357
1739209905.1259153;-23.75329798047522
1739209905.1259239;-28.992665084841942
1739209905.1259327;-33.981070128970906
1739209905.1259413;-29.438486411369333
1739209905.1259499;-27.8777449560314
1739209905.1259584;-38.13080360867914
1739209905.1259673;-32.816014438256545
1739209905.1259758;-45.120503652039325
1739209905.1259844;-29.438486411369375
1739209905.1259933;-32.816014438256545
1739209905.1260018;-31.14110356531892
1739209905.1260104;-38.13080360867914
1739209905.126019;-33.981070128970906
1739209905.1260278;-31.141103565318915
1739209905.1260364;-25.826314394896357
1739209905.126045;-32.816014438256545
1739209905.1260538;-30.49652367304976
1739209905.1260624;-27.877744956031414
1739209905.126071;-30.49652367304976
1739209905.1260796;-23.16150712794696
1739209905.1260884;-25.62660358559016
1739209905.126097;-31.141103565318915
1739209905.1261055;-29.438486411369333
1739209905.1261144;-35.57807855764607
1739209905.126123;-38.13080360867914
1739209905.1261315;-23.506823629689542
1739209905.12614;-31.141103565318915
1739209905.126149;-22.54371790334745
1739209905.1261575;-45.120503652039325
1739209905.126166;-22.44878636800916
1739209905.126175;-45.120503652039325
1739209905.1261835;-26.991370085610722
1739209905.126192;-38.13080360867914
1739209905.1262007;-29.438486411369347
1739209905.1262095;-26.991370085610736
1739209905.126218;-33.981070128970956
1739209905.1262267;-28.992665084841967
1739209905.1262355;-27.267205301931607
1739209905.126244;-32.816014438256545
1739209905.1262527;-35.57807855764607
1739209905.1262615;-45.120503652039325
1739209905.12627;-31.141103565318915
1739209905.1262786;-33.981070128970906
1739209905.1262872;-28.58837851428586
1739209905.126296;-38.13080360867914
1739209905.1263046;-30.49652367304973
1739209905.1263132;-31.141103565318943
