CAN Message; 0x77:6502dc0cdf26193f
Timestamp;Amplitude
1739209666.5123537;-45.120503652039325
1739209666.5123565;-45.120503652039325
1739209666.5123591;-45.120503652039325
1739209666.512362;-45.120503652039325
1739209666.5123646;-38.13080360867914
1739209666.5123675;-45.120503652039325
1739209666.51237;-38.13080360867914
1739209666.5123727;-26.991370085610722
1739209666.5123756;-35.57807855764607
1739209666.5123782;-38.13080360867914
1739209666.512381;-45.120503652039325
1739209666.5123837;-38.13080360867914
1739209666.5123866;-45.120503652039325
1739209666.5123892;-38.13080360867914
1739209666.5123918;-45.120503652039325
1739209666.5123947;-33.981070128970956
1739209666.5123973;-38.13080360867914
1739209666.5124002;-45.120503652039325
1739209666.5124028;-38.13080360867914
1739209666.5124056;-45.120503652039325
1739209666.5124083;-45.120503652039325
1739209666.5124109;-45.120503652039325
1739209666.5124137;-38.13080360867914
1739209666.5124164;-28.58837851428586
1739209666.5124192;-38.13080360867914
1739209666.5124218;-45.120503652039325
1739209666.5124247;-38.13080360867914
1739209666.5124273;-35.57807855764607
1739209666.51243;-45.120503652039325
1739209666.5124328;-45.120503652039325
1739209666.5124354;-38.13080360867914
1739209666.5124383;-38.13080360867914
1739209666.512441;-45.120503652039325
1739209666.5124438;-45.120503652039325
1739209666.5124464;-38.13080360867914
1739209666.512449;-45.120503652039325
1739209666.512452;-45.120503652039325
1739209666.5124545;-45.120503652039325
1739209666.5124574;-45.120503652039325
1739209666.51246;-33.981070128970906
1739209666.5124626;-38.13080360867914
1739209666.5124655;-45.120503652039325
1739209666.512468;-38.13080360867914
1739209666.512471;-32.816014438256545
1739209666.5124736;-38.13080360867914
1739209666.5124764;-45.120503652039325
1739209666.512479;-38.13080360867914
1739209666.5124817;-32.816014438256545
1739209666.5124846;-38.13080360867914
1739209666.5124872;-45.120503652039325
1739209666.51249;-45.120503652039325
1739209666.5124927;-38.13080360867914
1739209666.5124955;-38.13080360867914
1739209666.5124981;-45.120503652039325
1739209666.5125008;-45.120503652039325
1739209666.5125036;-38.13080360867914
1739209666.5125062;-38.13080360867914
1739209666.512509;-45.120503652039325
1739209666.5125117;-38.13080360867914
1739209666.5125146;-38.13080360867914
1739209666.5125172;-45.120503652039325
1739209666.5125198;-38.13080360867914
1739209666.5125227;-35.57807855764607
1739209666.5125253;-33.981070128970906
1739209666.5125282;-33.981070128970906
1739209666.5125308;-38.13080360867914
1739209666.5125337;-33.981070128970906
1739209666.5125363;-33.981070128970906
1739209666.512539;-45.120503652039325
1739209666.5125418;-35.57807855764607
1739209666.5125444;-38.13080360867914
1739209666.5125473;-45.120503652039325
1739209666.5125499;-38.13080360867914
1739209666.5125527;-35.57807855764607
1739209666.5125554;-45.120503652039325
1739209666.512558;-45.120503652039325
1739209666.5125608;-45.120503652039325
1739209666.5125635;-38.13080360867914
1739209666.5125663;-38.13080360867914
1739209666.512569;-38.13080360867914
1739209666.5125718;-38.13080360867914
1739209666.5125744;-38.13080360867914
1739209666.512577;-38.13080360867914
1739209666.51258;-38.13080360867914
1739209666.5125825;-45.120503652039325
1739209666.5125854;-38.13080360867914
1739209666.512588;-45.120503652039325
1739209666.512591;-45.120503652039325
1739209666.5125935;-35.57807855764607
1739209666.5125961;-35.57807855764607
1739209666.512599;-38.13080360867914
1739209666.5126016;-45.120503652039325
1739209666.5126045;-33.981070128970906
1739209666.512607;-38.13080360867914
1739209666.51261;-38.13080360867914
1739209666.5126126;-45.120503652039325
1739209666.5126152;-38.13080360867914
1739209666.512618;-33.981070128970906
1739209666.5126207;-38.13080360867914
1739209666.5126235;-45.120503652039325
1739209666.5126262;-38.13080360867914
1739209666.512629;-38.13080360867914
1739209666.5126317;-45.120503652039325
1739209666.5126343;-45.120503652039325
1739209666.5126371;-35.57807855764607
1739209666.5126398;-38.13080360867914
1739209666.5126426;-45.120503652039325
1739209666.5126452;-45.120503652039325
1739209666.512648;-33.981070128970906
1739209666.5126507;-35.57807855764607
1739209666.5126534;-38.13080360867914
1739209666.5126562;-45.120503652039325
1739209666.5126588;-38.13080360867914
1739209666.5126617;-45.120503652039325
1739209666.5126643;-45.120503652039325
1739209666.5126672;-38.13080360867914
1739209666.5126698;-45.120503652039325
1739209666.5126724;-45.120503652039325
1739209666.5126753;-45.120503652039325
1739209666.512678;-45.120503652039325
1739209666.5126808;-45.120503652039325
1739209666.5126834;-45.120503652039325
1739209666.512686;-38.13080360867914
1739209666.5126889;-45.120503652039325
1739209666.5126915;-45.120503652039325
1739209666.5126944;-38.13080360867914
1739209666.512697;-45.120503652039325
1739209666.5126998;-45.120503652039325
1739209666.5127025;-35.57807855764607
1739209666.512705;-38.13080360867914
1739209666.512708;-38.13080360867914
1739209666.5127106;-35.57807855764607
1739209666.5127134;-38.13080360867914
1739209666.512716;-38.13080360867914
1739209666.512719;-45.120503652039325
1739209666.5127215;-45.120503652039325
1739209666.5127242;-45.120503652039325
1739209666.512727;-45.120503652039325
1739209666.5127296;-38.13080360867914
1739209666.5127325;-38.13080360867914
1739209666.5127351;-38.13080360867914
1739209666.512738;-45.120503652039325
1739209666.5127406;-38.13080360867914
1739209666.5127432;-45.120503652039325
1739209666.512746;-38.13080360867914
1739209666.5127487;-31.141103565318893
1739209666.5127516;-45.120503652039325
1739209666.5127542;-38.13080360867914
1739209666.512757;-38.13080360867914
1739209666.5127597;-45.120503652039325
1739209666.5127623;-38.13080360867914
1739209666.5127652;-32.816014438256545
1739209666.5127678;-45.120503652039325
1739209666.5127707;-45.120503652039325
1739209666.5127733;-38.13080360867914
1739209666.5127761;-38.13080360867914
1739209666.5127788;-45.120503652039325
1739209666.5127814;-45.120503652039325
1739209666.5127842;-45.120503652039325
1739209666.5127869;-38.13080360867914
1739209666.5127897;-35.57807855764607
1739209666.5127923;-35.57807855764607
1739209666.5127952;-38.13080360867914
1739209666.5127978;-35.57807855764607
1739209666.5128005;-38.13080360867914
1739209666.5128033;-35.57807855764607
1739209666.512806;-38.13080360867914
1739209666.5128088;-35.57807855764607
1739209666.5128114;-38.13080360867914
1739209666.5128143;-45.120503652039325
1739209666.512817;-45.120503652039325
1739209666.5128195;-32.816014438256545
1739209666.5128224;-38.13080360867914
1739209666.512825;-45.120503652039325
1739209666.5128279;-33.981070128970906
1739209666.5128305;-35.57807855764607
1739209666.5128334;-45.120503652039325
1739209666.512836;-33.981070128970956
1739209666.5128386;-38.13080360867914
1739209666.5128415;-38.13080360867914
1739209666.512844;-38.13080360867914
1739209666.512847;-45.120503652039325
1739209666.5128496;-38.13080360867914
1739209666.5128524;-35.57807855764607
1739209666.512855;-33.981070128970906
1739209666.5128577;-29.438486411369333
1739209666.5128605;-38.13080360867914
1739209666.5128632;-35.57807855764607
1739209666.512866;-38.13080360867914
