CAN Message; 0x98:0000a38659f4da2e
Timestamp;Amplitude
1739209795.157694;-45.120503652039325
1739209795.1576984;-33.981070128970906
1739209795.1577027;-45.120503652039325
1739209795.157707;-38.13080360867914
1739209795.1577115;-45.120503652039325
1739209795.1577158;-28.992665084841942
1739209795.15772;-28.992665084841942
1739209795.1577244;-31.141103565318915
1739209795.1577287;-33.981070128970956
1739209795.157733;-30.49652367304973
1739209795.1577373;-45.120503652039325
1739209795.1577418;-33.981070128970906
1739209795.157746;-32.816014438256545
1739209795.1577504;-45.120503652039325
1739209795.1577547;-24.292649948874775
1739209795.157759;-28.992665084841942
1739209795.1577632;-38.13080360867914
1739209795.1577675;-29.438486411369333
1739209795.1577718;-33.981070128970906
1739209795.1577764;-28.58837851428586
1739209795.1577806;-45.120503652039325
1739209795.157785;-33.981070128970906
1739209795.1577892;-33.981070128970906
1739209795.1577935;-35.57807855764607
1739209795.1577978;-45.120503652039325
1739209795.157802;-31.141103565318915
1739209795.1578066;-24.292649948874775
1739209795.157811;-27.8777449560314
1739209795.1578152;-33.981070128970906
1739209795.1578195;-33.981070128970906
1739209795.1578238;-45.120503652039325
1739209795.157828;-27.267205301931607
1739209795.1578324;-38.13080360867914
1739209795.1578367;-38.13080360867914
1739209795.1578412;-32.816014438256545
1739209795.1578455;-45.120503652039325
1739209795.1578498;-38.13080360867914
1739209795.157854;-45.120503652039325
1739209795.1578584;-45.120503652039325
1739209795.1578627;-38.13080360867914
1739209795.157867;-45.120503652039325
1739209795.1578715;-45.120503652039325
1739209795.1578758;-45.120503652039325
1739209795.15788;-38.13080360867914
1739209795.1578844;-31.141103565318915
1739209795.1578887;-45.120503652039325
1739209795.157893;-45.120503652039325
1739209795.1578972;-38.13080360867914
1739209795.1579018;-35.57807855764607
1739209795.157906;-45.120503652039325
1739209795.1579103;-45.120503652039325
1739209795.1579146;-45.120503652039325
1739209795.157919;-38.13080360867914
1739209795.1579232;-45.120503652039325
1739209795.1579275;-45.120503652039325
1739209795.1579318;-45.120503652039325
1739209795.1579363;-38.13080360867914
