CAN Message; 0x1d3:00007f4287be82e8
Timestamp;Amplitude
1739209681.0707855;-45.120503652039325
1739209681.0707939;-45.120503652039325
1739209681.0708022;-45.120503652039325
1739209681.0708106;-33.981070128970956
1739209681.070819;-45.120503652039325
1739209681.0708272;-45.120503652039325
1739209681.0708354;-45.120503652039325
1739209681.0708437;-45.120503652039325
1739209681.070852;-38.13080360867914
1739209681.0708604;-45.120503652039325
1739209681.0708687;-35.57807855764607
1739209681.0708768;-27.267205301931607
1739209681.0708852;-45.120503652039325
1739209681.0708935;-38.13080360867914
1739209681.0709019;-35.57807855764607
1739209681.0709102;-33.981070128970906
1739209681.0709186;-45.120503652039325
1739209681.0709267;-45.120503652039325
1739209681.070935;-45.120503652039325
1739209681.0709434;-38.13080360867914
1739209681.0709517;-38.13080360867914
1739209681.07096;-38.13080360867914
1739209681.0709684;-38.13080360867914
1739209681.0709765;-45.120503652039325
1739209681.0709848;-38.13080360867914
1739209681.0709932;-45.120503652039325
1739209681.0710015;-45.120503652039325
1739209681.0710099;-32.816014438256545
1739209681.071018;-45.120503652039325
1739209681.0710263;-45.120503652039325
1739209681.0710347;-38.13080360867914
1739209681.071043;-38.13080360867914
1739209681.0710514;-45.120503652039325
1739209681.0710597;-45.120503652039325
1739209681.0710678;-35.57807855764607
1739209681.0710762;-27.267205301931607
1739209681.0710845;-38.13080360867914
1739209681.0710928;-38.13080360867914
1739209681.0711012;-45.120503652039325
1739209681.0711095;-33.981070128970906
1739209681.0711176;-45.120503652039325
1739209681.071126;-45.120503652039325
1739209681.0711343;-38.13080360867914
1739209681.0711427;-33.981070128970906
1739209681.071151;-38.13080360867914
1739209681.0711591;-45.120503652039325
1739209681.0711675;-38.13080360867914
1739209681.0711758;-38.13080360867914
1739209681.0711842;-45.120503652039325
1739209681.0711925;-45.120503652039325
1739209681.0712008;-45.120503652039325
1739209681.071209;-45.120503652039325
1739209681.0712173;-45.120503652039325
1739209681.0712256;-45.120503652039325
1739209681.071234;-35.57807855764607
1739209681.0712423;-38.13080360867914
1739209681.0712507;-38.13080360867914
1739209681.0712588;-38.13080360867914
1739209681.0712671;-45.120503652039325
1739209681.0712755;-38.13080360867914
1739209681.0712838;-45.120503652039325
1739209681.0712922;-38.13080360867914
1739209681.0713003;-38.13080360867914
1739209681.0713086;-38.13080360867914
1739209681.071317;-38.13080360867914
1739209681.0713253;-45.120503652039325
