CAN Message; 0x62:030ac892050e4fa1
Timestamp;Amplitude
1739209797.1037304;-38.13080360867914
1739209797.1037345;-32.816014438256545
1739209797.1037388;-38.13080360867914
1739209797.1037428;-33.981070128970906
1739209797.1037471;-38.13080360867914
1739209797.1037514;-32.816014438256545
1739209797.1037555;-38.13080360867914
1739209797.1037598;-45.120503652039325
1739209797.1037638;-45.120503652039325
1739209797.103768;-45.120503652039325
1739209797.1037724;-38.13080360867914
1739209797.1037765;-45.120503652039325
1739209797.1037807;-38.13080360867914
1739209797.1037848;-45.120503652039325
1739209797.103789;-38.13080360867914
1739209797.1037934;-38.13080360867914
1739209797.1037974;-45.120503652039325
1739209797.1038017;-45.120503652039325
1739209797.1038058;-38.13080360867914
1739209797.10381;-33.981070128970906
1739209797.1038144;-45.120503652039325
1739209797.1038184;-45.120503652039325
1739209797.1038227;-45.120503652039325
1739209797.1038268;-45.120503652039325
1739209797.103831;-35.57807855764607
1739209797.1038353;-38.13080360867914
1739209797.1038394;-45.120503652039325
1739209797.1038437;-38.13080360867914
1739209797.1038477;-33.981070128970906
1739209797.103852;-45.120503652039325
1739209797.1038563;-38.13080360867914
1739209797.1038604;-33.981070128970906
1739209797.1038647;-38.13080360867914
1739209797.1038687;-45.120503652039325
1739209797.103873;-38.13080360867914
1739209797.1038773;-32.816014438256545
1739209797.1038814;-33.981070128970906
1739209797.1038857;-45.120503652039325
1739209797.1038897;-38.13080360867914
1739209797.103894;-38.13080360867914
1739209797.1038983;-45.120503652039325
1739209797.1039023;-45.120503652039325
1739209797.1039066;-33.981070128970906
1739209797.1039107;-32.816014438256545
1739209797.103915;-33.981070128970906
1739209797.1039193;-45.120503652039325
1739209797.1039233;-38.13080360867914
1739209797.1039276;-38.13080360867914
1739209797.1039317;-38.13080360867914
1739209797.103936;-35.57807855764607
1739209797.1039402;-38.13080360867914
1739209797.1039443;-45.120503652039325
1739209797.1039486;-38.13080360867914
1739209797.1039526;-38.13080360867914
1739209797.103957;-38.13080360867914
1739209797.1039612;-45.120503652039325
1739209797.1039653;-38.13080360867914
1739209797.1039696;-38.13080360867914
1739209797.1039736;-38.13080360867914
1739209797.103978;-38.13080360867914
1739209797.1039822;-38.13080360867914
1739209797.1039863;-35.57807855764607
1739209797.1039906;-38.13080360867914
1739209797.1039948;-38.13080360867914
1739209797.103999;-33.981070128970906
1739209797.1040032;-45.120503652039325
1739209797.1040072;-45.120503652039325
1739209797.1040115;-45.120503652039325
1739209797.1040158;-38.13080360867914
1739209797.1040199;-38.13080360867914
1739209797.1040242;-38.13080360867914
1739209797.1040282;-45.120503652039325
1739209797.1040325;-38.13080360867914
1739209797.1040368;-35.57807855764607
1739209797.1040409;-35.57807855764607
1739209797.1040452;-45.120503652039325
1739209797.1040492;-35.57807855764607
1739209797.1040535;-35.57807855764607
1739209797.1040578;-35.57807855764607
1739209797.1040618;-45.120503652039325
1739209797.1040661;-38.13080360867914
1739209797.1040702;-38.13080360867914
1739209797.1040745;-38.13080360867914
1739209797.1040788;-45.120503652039325
1739209797.1040828;-33.981070128970906
1739209797.104087;-38.13080360867914
1739209797.1040912;-45.120503652039325
1739209797.1040955;-38.13080360867914
1739209797.1040998;-45.120503652039325
1739209797.1041038;-45.120503652039325
1739209797.104108;-45.120503652039325
1739209797.1041121;-45.120503652039325
1739209797.1041164;-38.13080360867914
1739209797.1041207;-38.13080360867914
1739209797.1041248;-45.120503652039325
1739209797.104129;-45.120503652039325
1739209797.1041331;-31.141103565318915
1739209797.1041374;-38.13080360867914
1739209797.1041417;-45.120503652039325
1739209797.1041458;-45.120503652039325
1739209797.10415;-38.13080360867914
1739209797.104154;-45.120503652039325
1739209797.1041584;-38.13080360867914
1739209797.1041627;-45.120503652039325
1739209797.1041667;-31.141103565318915
1739209797.104171;-38.13080360867914
1739209797.104175;-38.13080360867914
1739209797.1041794;-38.13080360867914
1739209797.1041837;-38.13080360867914
1739209797.1041877;-38.13080360867914
1739209797.104192;-33.981070128970906
1739209797.104196;-45.120503652039325
1739209797.1042004;-31.141103565318915
1739209797.1042047;-33.981070128970906
1739209797.1042087;-45.120503652039325
1739209797.104213;-38.13080360867914
1739209797.104217;-38.13080360867914
1739209797.1042213;-38.13080360867914
1739209797.1042256;-38.13080360867914
1739209797.1042297;-38.13080360867914
1739209797.104234;-33.981070128970906
1739209797.104238;-45.120503652039325
1739209797.1042423;-35.57807855764607
1739209797.1042466;-38.13080360867914
1739209797.1042507;-45.120503652039325
1739209797.104255;-45.120503652039325
1739209797.104259;-35.57807855764607
1739209797.1042633;-38.13080360867914
1739209797.1042676;-45.120503652039325
1739209797.1042717;-45.120503652039325
1739209797.104276;-45.120503652039325
1739209797.10428;-45.120503652039325
1739209797.1042843;-38.13080360867914
1739209797.1042886;-38.13080360867914
1739209797.1042926;-45.120503652039325
1739209797.104297;-38.13080360867914
1739209797.104301;-45.120503652039325
1739209797.1043053;-45.120503652039325
1739209797.1043096;-45.120503652039325
1739209797.1043136;-35.57807855764607
1739209797.104318;-38.13080360867914
1739209797.104322;-38.13080360867914
1739209797.1043262;-45.120503652039325
1739209797.1043305;-38.13080360867914
1739209797.1043346;-45.120503652039325
1739209797.104339;-45.120503652039325
1739209797.104343;-45.120503652039325
1739209797.1043472;-45.120503652039325
1739209797.1043515;-45.120503652039325
1739209797.1043556;-35.57807855764607
1739209797.1043599;-35.57807855764607
1739209797.104364;-45.120503652039325
1739209797.1043682;-38.13080360867914
1739209797.1043725;-30.49652367304973
1739209797.1043766;-33.981070128970906
1739209797.1043808;-45.120503652039325
1739209797.104385;-45.120503652039325
1739209797.1043892;-35.57807855764607
1739209797.1043935;-38.13080360867914
1739209797.1043975;-45.120503652039325
1739209797.1044018;-45.120503652039325
1739209797.1044059;-38.13080360867914
1739209797.1044102;-33.981070128970906
1739209797.1044145;-45.120503652039325
1739209797.1044185;-45.120503652039325
1739209797.1044228;-35.57807855764607
1739209797.1044269;-35.57807855764607
1739209797.1044312;-45.120503652039325
1739209797.1044354;-38.13080360867914
1739209797.1044395;-26.487275050834715
1739209797.1044438;-38.13080360867914
1739209797.1044478;-45.120503652039325
1739209797.1044521;-38.13080360867914
1739209797.1044564;-38.13080360867914
1739209797.1044605;-38.13080360867914
1739209797.1044648;-45.120503652039325
1739209797.1044688;-45.120503652039325
1739209797.104473;-33.981070128970956
1739209797.1044774;-45.120503652039325
1739209797.1044815;-45.120503652039325
1739209797.1044858;-45.120503652039325
1739209797.1044898;-45.120503652039325
1739209797.104494;-38.13080360867914
1739209797.1044984;-38.13080360867914
1739209797.1045024;-45.120503652039325
1739209797.1045067;-38.13080360867914
1739209797.1045108;-45.120503652039325
1739209797.104515;-45.120503652039325
1739209797.1045194;-45.120503652039325
