CAN Message; 0x98:0000c44af5f7abac
Timestamp;Amplitude
1739209685.4074976;-45.120503652039325
1739209685.4075077;-38.13080360867914
1739209685.407518;-35.57807855764607
1739209685.407528;-45.120503652039325
1739209685.407538;-45.120503652039325
1739209685.407548;-28.992665084841942
1739209685.407558;-31.141103565318915
1739209685.4075682;-38.13080360867914
1739209685.4075782;-38.13080360867914
1739209685.4075882;-38.13080360867914
1739209685.4075983;-38.13080360867914
1739209685.4076083;-38.13080360867914
1739209685.4076185;-38.13080360867914
1739209685.4076285;-35.57807855764607
1739209685.4076385;-38.13080360867914
1739209685.4076486;-45.120503652039325
1739209685.4076586;-35.57807855764607
1739209685.4076688;-45.120503652039325
1739209685.4076788;-45.120503652039325
1739209685.4076889;-38.13080360867914
1739209685.4076989;-45.120503652039325
1739209685.407709;-31.141103565318915
1739209685.4077191;-28.58837851428586
1739209685.4077291;-45.120503652039325
1739209685.4077392;-38.13080360867914
1739209685.4077492;-38.13080360867914
1739209685.4077592;-45.120503652039325
1739209685.4077692;-45.120503652039325
1739209685.4077795;-35.57807855764607
1739209685.4077895;-35.57807855764607
1739209685.4077995;-33.981070128970956
1739209685.4078095;-45.120503652039325
1739209685.4078195;-38.13080360867914
1739209685.4078298;-38.13080360867914
1739209685.4078398;-45.120503652039325
1739209685.4078498;-33.981070128970906
1739209685.4078598;-45.120503652039325
1739209685.4078698;-38.13080360867914
1739209685.40788;-28.58837851428586
1739209685.40789;-45.120503652039325
1739209685.4079;-45.120503652039325
1739209685.40791;-38.13080360867914
1739209685.4079201;-38.13080360867914
1739209685.4079304;-45.120503652039325
1739209685.4079404;-38.13080360867914
1739209685.4079504;-38.13080360867914
1739209685.4079604;-38.13080360867914
1739209685.4079704;-38.13080360867914
1739209685.4079807;-45.120503652039325
1739209685.4079907;-45.120503652039325
1739209685.4080007;-45.120503652039325
1739209685.4080107;-38.13080360867914
1739209685.4080207;-38.13080360867914
1739209685.408031;-33.981070128970906
1739209685.408041;-25.826314394896354
1739209685.408051;-38.13080360867914
1739209685.408061;-45.120503652039325
1739209685.408071;-38.13080360867914
1739209685.4080813;-31.141103565318893
1739209685.4080913;-38.13080360867914
1739209685.4081013;-35.57807855764607
1739209685.4081113;-45.120503652039325
1739209685.4081213;-45.120503652039325
1739209685.4081316;-38.13080360867914
1739209685.4081416;-38.13080360867914
1739209685.4081516;-35.57807855764607
1739209685.4081616;-45.120503652039325
1739209685.4081717;-38.13080360867914
1739209685.408182;-45.120503652039325
1739209685.408192;-38.13080360867914
1739209685.408202;-27.8777449560314
1739209685.408212;-45.120503652039325
1739209685.408222;-45.120503652039325
1739209685.4082322;-38.13080360867914
1739209685.4082422;-32.816014438256545
1739209685.4082522;-45.120503652039325
1739209685.4082623;-45.120503652039325
1739209685.4082723;-38.13080360867914
1739209685.4082825;-38.13080360867914
1739209685.4082925;-45.120503652039325
1739209685.4083025;-45.120503652039325
1739209685.4083126;-38.13080360867914
1739209685.4083226;-35.57807855764607
1739209685.4083326;-38.13080360867914
1739209685.4083428;-45.120503652039325
1739209685.4083529;-45.120503652039325
1739209685.4083629;-32.816014438256545
1739209685.4083729;-38.13080360867914
1739209685.408383;-45.120503652039325
1739209685.4083931;-38.13080360867914
1739209685.4084032;-32.816014438256545
1739209685.4084132;-33.981070128970906
1739209685.4084232;-45.120503652039325
1739209685.4084332;-45.120503652039325
1739209685.4084435;-38.13080360867914
1739209685.4084535;-38.13080360867914
1739209685.4084635;-45.120503652039325
1739209685.4084735;-38.13080360867914
1739209685.4084835;-35.57807855764607
1739209685.4084938;-38.13080360867914
1739209685.4085038;-45.120503652039325
1739209685.4085138;-45.120503652039325
1739209685.4085238;-45.120503652039325
1739209685.4085338;-38.13080360867914
1739209685.408544;-35.57807855764607
1739209685.408554;-38.13080360867914
1739209685.408564;-38.13080360867914
1739209685.408574;-45.120503652039325
1739209685.408584;-45.120503652039325
