CAN Message; 0x1d3:0000bdda04b84aa2
Timestamp;Amplitude
1739209613.5699182;-32.816014438256545
1739209613.5699198;-33.981070128970906
1739209613.5699217;-45.120503652039325
1739209613.5699234;-38.13080360867914
1739209613.5699253;-45.120503652039325
1739209613.569927;-45.120503652039325
1739209613.569929;-45.120503652039325
1739209613.5699308;-38.13080360867914
1739209613.5699325;-45.120503652039325
1739209613.5699344;-38.13080360867914
1739209613.569936;-45.120503652039325
1739209613.569938;-45.120503652039325
1739209613.5699396;-27.267205301931607
1739209613.5699415;-30.49652367304973
1739209613.5699434;-45.120503652039325
1739209613.569945;-38.13080360867914
1739209613.569947;-32.816014438256545
1739209613.5699487;-35.57807855764607
1739209613.5699506;-45.120503652039325
1739209613.5699522;-38.13080360867914
1739209613.5699542;-45.120503652039325
1739209613.569956;-45.120503652039325
1739209613.5699577;-45.120503652039325
1739209613.5699596;-38.13080360867914
1739209613.5699613;-38.13080360867914
1739209613.5699632;-35.57807855764607
1739209613.569965;-35.57807855764607
1739209613.5699668;-38.13080360867914
1739209613.5699687;-38.13080360867914
1739209613.5699704;-38.13080360867914
1739209613.5699723;-38.13080360867914
1739209613.569974;-35.57807855764607
1739209613.5699759;-38.13080360867914
1739209613.5699775;-45.120503652039325
1739209613.5699794;-45.120503652039325
1739209613.5699813;-45.120503652039325
1739209613.569983;-38.13080360867914
1739209613.569985;-32.816014438256545
1739209613.5699866;-38.13080360867914
1739209613.5699885;-45.120503652039325
1739209613.5699904;-38.13080360867914
1739209613.569992;-35.57807855764607
1739209613.569994;-38.13080360867914
1739209613.5699956;-38.13080360867914
1739209613.5699975;-45.120503652039325
1739209613.5699992;-45.120503652039325
1739209613.5700011;-38.13080360867914
1739209613.570003;-33.981070128970906
1739209613.5700047;-45.120503652039325
1739209613.5700066;-45.120503652039325
1739209613.5700083;-38.13080360867914
1739209613.5700102;-45.120503652039325
1739209613.5700119;-38.13080360867914
1739209613.5700138;-32.816014438256545
1739209613.5700157;-30.49652367304973
1739209613.5700173;-45.120503652039325
1739209613.5700192;-35.57807855764607
1739209613.570021;-38.13080360867914
1739209613.5700228;-45.120503652039325
1739209613.5700245;-38.13080360867914
1739209613.5700264;-38.13080360867914
1739209613.5700283;-38.13080360867914
1739209613.57003;-45.120503652039325
1739209613.570032;-45.120503652039325
1739209613.5700336;-38.13080360867914
1739209613.5700355;-45.120503652039325
1739209613.5700371;-38.13080360867914
1739209613.570039;-45.120503652039325
1739209613.570041;-45.120503652039325
1739209613.5700426;-38.13080360867914
1739209613.5700445;-38.13080360867914
1739209613.5700462;-38.13080360867914
1739209613.570048;-38.13080360867914
1739209613.5700498;-45.120503652039325
1739209613.5700517;-45.120503652039325
1739209613.5700536;-38.13080360867914
1739209613.5700552;-45.120503652039325
1739209613.5700572;-38.13080360867914
1739209613.5700588;-45.120503652039325
1739209613.5700607;-38.13080360867914
1739209613.5700624;-35.57807855764607
1739209613.5700643;-33.981070128970906
1739209613.5700662;-45.120503652039325
1739209613.570068;-45.120503652039325
1739209613.5700698;-35.57807855764607
1739209613.5700715;-38.13080360867914
1739209613.5700734;-45.120503652039325
1739209613.570075;-38.13080360867914
1739209613.570077;-45.120503652039325
1739209613.5700788;-45.120503652039325
1739209613.5700805;-45.120503652039325
1739209613.5700824;-38.13080360867914
1739209613.570084;-38.13080360867914
1739209613.570086;-35.57807855764607
1739209613.5700877;-33.981070128970906
1739209613.5700896;-45.120503652039325
1739209613.5700915;-45.120503652039325
1739209613.5700932;-33.981070128970906
1739209613.570095;-38.13080360867914
1739209613.5700967;-45.120503652039325
1739209613.5700986;-45.120503652039325
1739209613.5701003;-45.120503652039325
1739209613.5701022;-45.120503652039325
1739209613.5701041;-33.981070128970906
1739209613.5701058;-35.57807855764607
1739209613.5701077;-38.13080360867914
1739209613.5701094;-45.120503652039325
1739209613.5701113;-38.13080360867914
1739209613.570113;-38.13080360867914
1739209613.5701149;-38.13080360867914
1739209613.5701168;-32.816014438256545
1739209613.5701184;-45.120503652039325
1739209613.5701203;-45.120503652039325
1739209613.570122;-38.13080360867914
1739209613.570124;-38.13080360867914
1739209613.5701256;-45.120503652039325
1739209613.5701275;-45.120503652039325
1739209613.5701294;-45.120503652039325
1739209613.570131;-45.120503652039325
1739209613.570133;-35.57807855764607
1739209613.5701346;-45.120503652039325
1739209613.5701365;-45.120503652039325
1739209613.5701385;-45.120503652039325
1739209613.5701401;-38.13080360867914
1739209613.570142;-45.120503652039325
1739209613.5701437;-38.13080360867914
1739209613.5701456;-35.57807855764607
1739209613.5701473;-45.120503652039325
1739209613.5701492;-45.120503652039325
1739209613.570151;-45.120503652039325
1739209613.5701528;-31.141103565318893
1739209613.5701547;-33.981070128970906
1739209613.5701563;-45.120503652039325
1739209613.5701582;-45.120503652039325
1739209613.57016;-45.120503652039325
1739209613.5701618;-33.981070128970906
1739209613.5701637;-45.120503652039325
1739209613.5701654;-45.120503652039325
1739209613.5701673;-45.120503652039325
1739209613.570169;-38.13080360867914
1739209613.5701709;-45.120503652039325
1739209613.5701725;-38.13080360867914
1739209613.5701745;-38.13080360867914
1739209613.5701764;-45.120503652039325
1739209613.570178;-45.120503652039325
1739209613.57018;-33.981070128970906
1739209613.5701816;-32.816014438256545
1739209613.5701835;-45.120503652039325
1739209613.5701852;-45.120503652039325
1739209613.570187;-45.120503652039325
1739209613.570189;-45.120503652039325
1739209613.5701907;-45.120503652039325
1739209613.5701926;-45.120503652039325
1739209613.5701942;-45.120503652039325
1739209613.5701962;-45.120503652039325
1739209613.5701978;-45.120503652039325
1739209613.5701997;-45.120503652039325
1739209613.5702016;-38.13080360867914
1739209613.5702033;-35.57807855764607
1739209613.5702052;-38.13080360867914
1739209613.5702069;-45.120503652039325
1739209613.5702088;-38.13080360867914
1739209613.5702105;-31.141103565318893
1739209613.5702124;-45.120503652039325
1739209613.5702143;-45.120503652039325
1739209613.570216;-45.120503652039325
1739209613.5702178;-38.13080360867914
1739209613.5702195;-38.13080360867914
1739209613.5702214;-45.120503652039325
1739209613.570223;-45.120503652039325
1739209613.570225;-45.120503652039325
1739209613.570227;-45.120503652039325
1739209613.5702286;-38.13080360867914
1739209613.5702305;-33.981070128970906
1739209613.5702322;-45.120503652039325
1739209613.570234;-45.120503652039325
1739209613.5702357;-38.13080360867914
1739209613.5702376;-38.13080360867914
1739209613.5702395;-45.120503652039325
1739209613.5702412;-38.13080360867914
1739209613.5702431;-35.57807855764607
1739209613.5702448;-45.120503652039325
1739209613.5702467;-30.49652367304973
1739209613.5702484;-33.981070128970906
1739209613.5702503;-45.120503652039325
1739209613.5702522;-38.13080360867914
1739209613.5702538;-45.120503652039325
1739209613.5702558;-38.13080360867914
1739209613.5702574;-38.13080360867914
1739209613.5702593;-38.13080360867914
1739209613.570261;-33.981070128970956
1739209613.570263;-32.81601443825658
1739209613.5702648;-32.816014438256545
1739209613.5702665;-38.13080360867914
1739209613.5702684;-45.120503652039325
1739209613.57027;-38.13080360867914
1739209613.570272;-35.57807855764607
1739209613.5702739;-38.13080360867914
1739209613.5702755;-28.58837851428586
1739209613.5702775;-31.141103565318915
1739209613.5702791;-35.57807855764607
1739209613.570281;-38.13080360867914
1739209613.5702827;-38.13080360867914
1739209613.5702846;-38.13080360867914
1739209613.5702865;-38.13080360867914
1739209613.5702882;-33.981070128970906
1739209613.57029;-38.13080360867914
1739209613.5702918;-32.81601443825658
1739209613.5702937;-38.13080360867914
1739209613.5702953;-38.13080360867914
1739209613.5702972;-45.120503652039325
1739209613.5702991;-38.13080360867914
1739209613.5703008;-45.120503652039325
1739209613.5703027;-45.120503652039325
1739209613.5703044;-33.981070128970906
1739209613.5703063;-31.141103565318915
1739209613.570308;-45.120503652039325
1739209613.5703099;-38.13080360867914
1739209613.5703118;-35.57807855764607
1739209613.5703135;-38.13080360867914
1739209613.5703154;-45.120503652039325
1739209613.570317;-38.13080360867914
1739209613.570319;-38.13080360867914
1739209613.5703206;-45.120503652039325
1739209613.5703225;-45.120503652039325
1739209613.5703244;-38.13080360867914
1739209613.570326;-35.57807855764607
1739209613.570328;-38.13080360867914
1739209613.5703297;-38.13080360867914
1739209613.5703316;-38.13080360867914
1739209613.5703332;-38.13080360867914
1739209613.5703351;-38.13080360867914
1739209613.570337;-45.120503652039325
1739209613.5703387;-38.13080360867914
1739209613.5703406;-35.57807855764607
1739209613.5703423;-45.120503652039325
1739209613.5703442;-45.120503652039325
1739209613.5703459;-33.981070128970906
1739209613.5703478;-38.13080360867914
1739209613.5703497;-28.992665084841942
1739209613.5703514;-45.120503652039325
1739209613.5703533;-45.120503652039325
1739209613.570355;-45.120503652039325
1739209613.5703568;-35.57807855764607
1739209613.5703585;-35.57807855764607
1739209613.5703604;-38.13080360867914
1739209613.5703623;-45.120503652039325
1739209613.570364;-29.438486411369347
1739209613.570366;-38.13080360867914
