CAN Message; 0x24:047bd49632cb6d96
Timestamp;Amplitude
1739209669.3721194;-38.13080360867914
1739209669.3721278;-45.120503652039325
1739209669.3721359;-32.816014438256545
1739209669.3721442;-28.58837851428586
1739209669.3721523;-38.13080360867914
1739209669.3721604;-35.57807855764607
1739209669.3721688;-35.57807855764607
1739209669.372177;-38.13080360867914
1739209669.3721852;-45.120503652039325
1739209669.3721933;-35.57807855764607
1739209669.3722017;-45.120503652039325
1739209669.3722098;-33.981070128970956
1739209669.372218;-45.120503652039325
1739209669.3722262;-35.57807855764607
1739209669.3722343;-45.120503652039325
1739209669.3722427;-45.120503652039325
1739209669.3722508;-38.13080360867914
1739209669.372259;-35.57807855764607
1739209669.3722672;-32.816014438256545
1739209669.3722754;-27.8777449560314
1739209669.3722837;-45.120503652039325
1739209669.3722918;-35.57807855764607
1739209669.3723001;-33.981070128970906
1739209669.3723083;-45.120503652039325
1739209669.3723164;-38.13080360867914
1739209669.3723247;-38.13080360867914
1739209669.3723328;-45.120503652039325
1739209669.3723412;-45.120503652039325
1739209669.3723493;-45.120503652039325
1739209669.3723574;-45.120503652039325
1739209669.3723657;-38.13080360867914
1739209669.3723738;-38.13080360867914
1739209669.3723822;-38.13080360867914
1739209669.3723903;-38.13080360867914
1739209669.3723984;-38.13080360867914
1739209669.3724067;-45.120503652039325
1739209669.3724148;-45.120503652039325
1739209669.3724232;-35.57807855764607
1739209669.3724313;-45.120503652039325
1739209669.3724396;-45.120503652039325
1739209669.3724477;-45.120503652039325
1739209669.3724558;-45.120503652039325
1739209669.3724642;-38.13080360867914
1739209669.3724723;-38.13080360867914
1739209669.3724806;-45.120503652039325
1739209669.3724887;-45.120503652039325
1739209669.3724968;-38.13080360867914
1739209669.3725052;-38.13080360867914
1739209669.3725133;-45.120503652039325
1739209669.3725216;-35.57807855764607
1739209669.3725297;-45.120503652039325
1739209669.372538;-45.120503652039325
1739209669.3725462;-45.120503652039325
1739209669.3725543;-45.120503652039325
1739209669.3725626;-45.120503652039325
1739209669.3725708;-45.120503652039325
1739209669.372579;-38.13080360867914
1739209669.3725872;-45.120503652039325
1739209669.3725953;-38.13080360867914
1739209669.3726037;-45.120503652039325
1739209669.3726118;-38.13080360867914
1739209669.37262;-38.13080360867914
1739209669.3726282;-38.13080360867914
1739209669.3726363;-45.120503652039325
1739209669.3726447;-45.120503652039325
1739209669.3726528;-45.120503652039325
1739209669.372661;-45.120503652039325
1739209669.3726692;-45.120503652039325
1739209669.3726776;-38.13080360867914
1739209669.3726857;-38.13080360867914
1739209669.3726938;-38.13080360867914
1739209669.3727021;-38.13080360867914
1739209669.3727102;-38.13080360867914
1739209669.3727186;-35.57807855764607
1739209669.3727267;-38.13080360867914
1739209669.3727348;-45.120503652039325
1739209669.3727431;-33.981070128970906
1739209669.3727512;-45.120503652039325
1739209669.3727596;-45.120503652039325
1739209669.3727677;-45.120503652039325
1739209669.372776;-38.13080360867914
1739209669.3727841;-35.57807855764607
1739209669.3727922;-45.120503652039325
1739209669.3728006;-45.120503652039325
1739209669.3728087;-38.13080360867914
1739209669.372817;-45.120503652039325
1739209669.3728251;-45.120503652039325
1739209669.3728333;-38.13080360867914
1739209669.3728416;-38.13080360867914
1739209669.3728497;-45.120503652039325
1739209669.372858;-45.120503652039325
1739209669.3728662;-38.13080360867914
1739209669.3728745;-33.981070128970906
1739209669.3728826;-45.120503652039325
1739209669.3728907;-45.120503652039325
1739209669.372899;-32.816014438256545
1739209669.3729072;-33.981070128970906
1739209669.3729155;-45.120503652039325
1739209669.3729236;-38.13080360867914
1739209669.3729317;-35.57807855764607
